,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.431133236851387,0,0,0,0,0,0,0.0474508141999003,0.272891739235787,0,0,0.156076890476661,-0.0233210658210598,0,0,0.0704731484969996,0,0,0,0,0,0,0,0,0,0,0,0,0.0678945954012848,0,0,0,0,0,-0.0249844664166697,0,0,0,0,-0.00120211802834547,0.0788449769549187,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.10205704016725,0.276404900783637,0,0,0,0,0,0,8.67361737988404e-19,0,0.333943584899782,0.0887338639383231,0,0.0795387155511229,0,0,0,0.0632030771340519,0,0,0,0,-0.035360546808835,0,0,0,0,0,0,0.0206449342964838,0,0,0.0499411941366387,0,0.000427957758132997,0,0,0,0,0,0.000936048617028537,0
X601939.CH.EQUITY,0.247203890761556,0,0,0.476280086736141,0.0830730090036745,0.0778171303050959,0,0,0,0.0301938151451263,0,0,0,-0.00104138419970498,0,0,0,-0.0427633537603722,0,0,0,0,0,0,0,0,0,0.159566743394027,0,-0.0510356944332124,0,0,0,0,0,0,-0.0115146851144064,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.212344534803199,0,0,0,0,0,0.0119721263960857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273345179942783,0,0.195515981612069,0,0,0,0.0476054245663542,0,0,0,0,0,0,0,0,0,0,0.0983285406722156,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0307403448474029,0,0,0.197206641653432,0,0.223585454909781,0,0,0,0,0.165144569970117,0,0,0,0,0,0.1712629044722,0,-0.238187541763162,0,0,0,0.0463418075204457,0,0,0,-0.0874585266592629,0,0,0,0,0,0.183412749892316,0,0,0,0,0.152221767358514,0,0,0,0,0,0,0,0,0.146124667013046
X601988.CH.EQUITY,0,0,0,0,0.294228266476103,0,0,0,-1.73472347597681e-18,0.0813596160152712,0.179211699963505,0,0,0,0,0.154537954103294,0,0,0,0,0,0,0,0,0,0.0916443363463649,0,0,0,-0.173410825256786,0,0,0,0,0,0,-0.00663123223709676,0,0,0,0,0.110219510893603,0,0,0,0,0,0,-0.0335550103777857
X600036.CH.EQUITY,0,0,0,0,-0.0228458295788462,0,0,0,0,0,0,0.157550582011404,0,-0.0670037851580206,-0.0147985739412437,-0.0191756400137033,0.0907617551487327,0.014680560366521,-0.0959409922606459,0,0,0,0,0,-0.0332806732409724,0.598140518605054,0,0.0703984197831311,0,0,0.116686751838489,0,0,0,0,0,0,0,0,0,0,0,0.214151464773421,0,0.0350557695750812,0,0,0,0.0777517831447835
X1299.HK.EQUITY,0,0,0,0,0.274195160541835,0,0,0,0,0,0,0,0,0.049821390376805,0,0,0.0874615958611996,0,0,0,0,0,0,0,0,0,0.0745775404665716,0,0.229169795512719,0,0.000354798686217585,0.260142252238463,0,0,0.0111658239681771,0,0,0,0,0,0,0,0,0,-0.0723023185122706,0.0191105836792227,0,0,0
X601628.CH.EQUITY,0,0.167852459120512,0,0.0165423909277605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11078188746012,0,0,0,0,0,0,0,0.139603990519833,0,0,0,0,0,0,0,0,0,0,0,0.394345492255081,0,0,0.17338858536576,0,0.021071303176912,0,0.0394683533753394,0,0,0,0
X601328.CH.EQUITY,0,0,0.360459576459091,0.0314810927954572,0,0,0,0,0,0,0,0,0.41479212559805,0,0,0,0,0,0,0,0.0229713629411271,0.0860984191454244,0.127424668697346,0,0,0,0,0,0,0,-0.0115975469047881,0,0,0,0,0,0,0,0,0.0689664662937939,0,-0.0787774919703355,0.221656530661881,0,0,0,0,0,0.0811439707050639
