,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0722850067940257,0,0.636872880883081,0,0,9.58710335199637e-05,0,0,0,0,0,0,0,0,0,0,0.116588325403819,0,0,0,0,0,0,0,0,0,0,0.0379106192384894,0,0,0,0,0,0,0,0,0,0,0,0,-0.00870070025357855,0,0,0,0,0,0.059849165065087,0
X601318.CH.EQUITY,0,0,0,0,0,0.00309733880010373,0,0.102381433382031,0.0465012073257197,-0.0527144200859819,0,0,0,0.214787173850325,0,0,0,0,0,0.45064819087166,0,0.00759608403420525,0,-0.0822062714150701,0,0,0,0,0,0,0,0.10919899142427,0,0,0.0748506525184169,0.0666357114464295,0,0.103975315878323,0,0,0,0,0,0,0,0,0,0,0,0.0540045462829348
X601939.CH.EQUITY,0,0,0,0,0.561968283454895,0,0,0,0,0,0.175554628243528,0,-0.081534841534867,0,0,0,0,0,0,0,0.0199311269816144,-3.46944695195361e-18,0,0,0.444299381535741,0,0,0,0,0,0.0227137798715133,0,0,0,0,0,0,0,0,-0.127993387877818,0,0,0,-0.0961218858738308,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0
X601288.CH.EQUITY,0.0526877366809719,0,0.106292834627304,0,0,0,0.23339075845297,0,0,0.0489733790080365,0,0,0,0.0596286289730302,0,0,0.0845551208524382,0,0,0,0,0,0,0,0.178466239087928,0,0,0,0,0,0,0,0,0,0,0,0.252875074166031,-0.00103428875381938,0,0,0,0,-0.0835319012866879,0,0,0,0,0,0,-0.0542815388344995
X600036.CH.EQUITY,0.0111567602604773,0.243255473993252,0,0,0.0804286653258228,0,0,0.128911930923939,0,0,0,0,0,0.280415233398189,0,0,0,0,0.116918261939724,0,0,0,0,0,0,0.254451778168043,0,0.0659477882345942,0,0.0166320704225572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662426096671,0,0,-0.0231787737883475
X601988.CH.EQUITY,0.154898716585537,0,0,0,0.215847250274092,0.317039293233732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920715313028324,0,0,-0.0216816091709967,0,0.0334148259313355,0,0,0,0,0.0217492739546197,0.204887979033409,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.133303870398801,0,0.111263472733109,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.164364519804536,0,-0.105381087032004,0,0,0,0,0.258737491910572,0,0,0,0,0,0,0,0,0,0,-0.0874600920759461,0,0,0.164448114830062,0,0.0276741732211789,0.387581780602686,0.0534699768173796,0,0,-0.0170313165614145,-8.67361737988404e-19,0,0,0,0,0.150575138997322,0.114354037798859,0,0,0,0,0.0894918378727922,0.119485455918679,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178815418340158,0,0,0,0,0,-0.159634539690652,0,0,0,0,0.205577840452285,0,0,0,0.0692728479741734,0,0,0.399890649999276,0.0599767051368778,-0.0492486131196345,0,0,0,-0.0386817233111125,0,0,0,0,0,0,0.215333842518771,0.181164379284962,0,0,0,0,0,0.125338890532224
X388.HK.EQUITY,0,0.0921748898962687,0,0.122440334810303,0,0,0,0.047249808077403,0,0,0,0,0.0104303255069244,0,0,0,0,0,0,0,0.0683082391450806,0.135278038436471,0,0.0618215126805322,0,0,0,0,0,0,0.150866753751873,0,0,0,0,0,0.144100521714113,0.092942240576245,0,0,-0.244543551407773,0,0,0.028005303644871,0,0,0.281615627459068,0,0,0
