,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.426787529161036,0,0,0,0,0,0.00332178168680643,0,0,0,0,0.365234741027624,0,0,0,0,-0.0458167092503373,0,0,0,0,0,0,0,0,0,0.0758165311387775,0,0,-1.38777878078145e-17,0,0,0,0.000821027571181169,0,0,0,0,0,0,0,0,0.00467880867804441,0,0.111278647559677,0,0
X601939.CH.EQUITY,0.143624194108156,0,0,0,0,0,0,0,0,0,0,0.0262611613518477,0,0.263050364297807,0.297112185695352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116492542519528,0,0,0,0,0,0,0,0,0,0,0,0.132341420998578,0,0,0
X601318.CH.EQUITY,0,0.085264464605462,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377900903333762,0.0839828964834428,0,0,0.313235223979426,0,0,0,0,0,0.111480245374329,0,0,0,0,0.0478393446468033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153615319915728,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184617894157435,0,0,0,0,0,0,0.186096451929176,0,0,0.0605914565597638,0,0,0,0,0,0,0,0.0322716663575309,0,0,0,0.136921957748675,0,0,0.0167005992376675,0,0,0,0,0,0,0.0652000457090997,0,0,0,0.120332850806713,0,0,0,0,0,0.119269435900085,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.312937463626831,0,0,0.229009320101029,0,0,0,0.702819589578426,0,0,0,0,0,0.682260408155414,-0.646160400988745,0,0,0,0,0.0942316750266937,0,0,0,0,-0.00742988228400969,0,0,0,0,0.0867035799644078,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447
X1299.HK.EQUITY,0,0,0,0,0,0.0643876181519843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174519725122226,0,0,0.100677446558051,0,0,0.0777847151983897,0.0784995243069524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36433139061846
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0
X601658.CH.Equity,0,0,0,-0.03947091457565,0,0,-0.110930179582468,0,0,0,0,0,0.149688597458751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122689270832954,0,0,0,-0.341655970327695,0.238627042779391,0.0710572643539361,0,0,0,0.414103757556263,0,0,-3.46944695195361e-18,0,0,0,1.12492123736116,0,0,-0.42781862699947
