,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.217771524644788,0,0,0,0,0,0,0,0.189451289014471,0,0,0,0,0,0,0,0,0.216795972810477,0,0,0,0,0.203011323204723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435892444261401,0,0.0215219242481325,0,0,0,-0.0706819188271068,0,0,-0.0472922298674787
X601318.CH.EQUITY,0,0,0,0,0,0,0.145943847919422,0,0.0979041487473875,0,0,0,0.143022510582465,0,0,0,0,0.220183024387433,0.123027284771908,0,3.46944695195361e-18,0,0,0,0,0.0807995910611843,0,0,0,0,0,0,0,0,0,0.113321138086592,0,0,0,0.126976118438819,0.0503992011943708,0,0,0.0405232641619776,0,0,0,0.00390957382676287,0
X601939.CH.EQUITY,0,0,0,0.591037926801943,0,0.0385345843345227,0,0,0,0.313000626022287,0,0,0,0,0,0,0,0,0,0,0.122487563345907,0,0,0,0,0,0,0,0,0,-0.00514861632118996,0,0,-8.67361737988404e-19,0,0,0,-0.0247101756813254,0,0,0,0.0917465229200696,0,0.0440319978770302,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.396780470196452,0,0,0,0.94096393660075,0,0,0,0,-0.118879761260336,0,0,0,-0.306812464755491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519803667926558,0,0.190990135824718,0,0,0,0,0,0,-0.0366953020457031,0,0,0,0.0529269038215957,0
X5.HK.EQUITY,0,0.0670354432368486,3.46944695195361e-18,0,0,0.138462863494203,0.348788937615274,0,0,0,0,0,0,0,0,0.016306006672264,0,0,0,0,0,0,0,0,0,0,0,-0.188836914994166,0,0,0,0,0,0,0,0,0.120376743788366,0,0,0.304901370404323,0,0,0,0,0,0,-0.0931317478223286,0,0.0470823423271706
X601988.CH.EQUITY,0,0,0.250548941362969,0,0.144043127432905,0,0.13642960200788,0,0,0,0,0,0,0,0.14978409532816,0,0,0,0,0,-0.231677722746244,0,0,0,0.198733320685835,0,0,0,0,0,-0.123120939122485,0,0.0212586391101704,0,0,0,0,-0.00381771315233382,0,0,0,0.0444174842605278,0,0,0,0,0,0,-0.0095102813703095
X1299.HK.EQUITY,0,0,0,0,0.222428567305543,0,0,0,0,0,0,0,0,0,0,0,0.191929361335453,0,6.93889390390723e-18,0,0,0,0,0,0,0.035780834664266,0,0.0345606755690375,-0.11690614608282,0.0878743358132473,0.0535525091261649,0,0,0,0,0,0.536346178046909,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.438566641084963,-0.0588424549207701,0.104723226287044,0.0810657896263063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475412133357501,0.0320054932340608,0,0,0,0,0,0,0.234684648452896,0,0,0,0,-0.127550941282093,0.223889467479861,0.285289977766726,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.149183461802203,0,0.00508853087769504,-0.102297298920393,0,0,0,0,0,0,0,0.00870927195981358,0,0,0,0.0188920704588704,0.128005656802753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467472537463018,0,0,0,0,0.192299166228821,0,0.0892462102342591,0.0700861470519931,0,0,-0.0240131424420161,0,0
X601328.CH.EQUITY,0,0,0.219008941192722,0,0.0183056680457521,0,0,0.746459406710282,0,0,0,0,0,0.0669279575285114,0,0.110387423401501,0,0,0,0.0304161833265909,0,0,0,0.0998476500831503,-0.0487699985729992,0,0,0,0,0,0,0,-0.030337066446513,0,0,0,-0.176083534968354,-0.135687505254168,0,0,0,-0.0541744480170421,0,-0.0414762115773288,0,0,0,0,0
