,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.438060705156074,0,0.154113122940211,0.0159686144457736,0,0,-0.0364774667999546,0,0,0,0,0,0,0,0.0258172845151678,0,0,-0.0544091366512579,0,0,0,-0.00750653890378396,0,0,0,0.0271877639599995,0,0,0,0,0.0521101096371643,0,0,0,0,0,0,0,0,0,0,0.292562340283061,-0.0204011679369354,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0159756594998698,0,0,0,0,0,0,0.103506626731113,0,0,0.227955987192265,0,0,0,0.0167212879687093,0,0,0,0,0,0,0.131277865830621,0.0787963655763467,0,0,0.341309222115521,0,0,0.0623902747793855,0,0,0,0,0,0,0,0,0,0,0.0467116888389996,0
X601939.CH.EQUITY,0,0,0,0.765463822172199,0,0,0,0,0,0,0.118652610287353,0,0,0,0,0,0.0892915234020302,0,0,0,0,0.00510727073469166,0,0.0166292236198488,0,0.00624591987988487,0,0,0.0745052995253292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.799162913768938,0,-0.00525092261493287,0,0,-0.0576388424804181,0,0,0.10498107913032,0,0,0,0,0.0463296497321721,0,0,0,0,0.0071586036980308,0,0.263816924282857,0,0,0.0490163600136236,0,0,-3.46944695195361e-18,0,0,0,0,-2.71050543121376e-20,0,0,0,0,-0.162144442886292,0,0,-0.179122761997835,0,0,0,0,-0.000722413474862362,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.244079043235013,0,-2.77555756156289e-17,0,0,0,0,0,0,0.384110711929709,0,0,0.0140444809722193,0,0,0,0,0,0,-0.079223324386667,0,0,0,0,0,0,0.124936612577987,0,0,0,0,0,0,0,0,0,0.10464516181245,0.262992814298584,0,0,0
X600036.CH.EQUITY,0.217214504862856,0,0,0.273550802250866,0,0,0,0,0,-0.0435554728219948,0,0,0,0,0,0,0.270066191347351,0,0.0380942911641699,0,0,0,0,0,0,0.0248894612803168,0,0,0,0,0.0552332479168585,0,0,0,0,0,0,0.031138619738847,0,0,0,0,0,0.102934755131435,0.0282924142824441,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00825609175794521,0,0,0.0232306189517819,0,0,0.15903787464873,0,0,0,0,0,0,0,0,0,0,0.000834371160718151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228626498694286,0,0,0,0.0340230147408411,-0.038487873444513,-0.0748129653542108,0,0.930083589227259
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0984099058749595,0,0,0.0937222540513918,0,0,0,0,0,0,0,0,0,0,0,0.360170999538209,0,0,0,0.0556803162009194,-0.197437945364653,0.0737197867514042,0,0,0,0,0,0,0.208849608971966,0,0,0.175480672362788,0,0.115101833030963,0.0142278206348698,-0.0162280236817471,-0.0967545567278701,0.0310996595545209,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220014286837033,0,0,0,0,-0.120304438475974,0,0,0,0,0,0,0,0,0.3351968504111,0.0304267100932458,0.0498577330283988,-0.0272374302223514,0,0,0,0,-0.0908247080471401,0,0.264091090082364,0,0,0.0602123081344338,0,0.154002786491115,0,0.191399848265181,0.0588791952977181,0,0,0.282024302189752,0
X388.HK.EQUITY,0,0.0012094621358787,0,0,0.423949077232884,0,0,0.0552960622125114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127351284225134,0,0,0,0,-0.0237887221849274,0,0,0,0,0,0,0,0,0.298171922525971,0,-0.203587474504123,0,-0.140211780944139,0,0,-0.0671703877258402,0.300818274721587,0,0,0,0
