,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X11.HK.EQUITY,0,0,0.102410726843858,0,0.0448845016789276,0.260261356593734,0.00566359523391035,0,0,0,0,0.107537643818097,0,0,0,0,0,0,0,0.0892442522780341,0,0,0,0,0,0,0,0,0,0.589319546902311,0,0,0,-0.159777443631474,0,0,0,0,0,0,0,0,0,0.261771460785311,0,0.083984546747538,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0.0254937669773606,0.0337445739892456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481086955557764,0,0.0289621384052837,0,0,0,0,0.682906511720177,0,0,0,0.178304511262192,-0.0558612245428604,0,0,0.0397979780697313,0,0,0,0,0,0.0243094692482867
X388.HK.EQUITY,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0760443396295045,0.226548057340718,0,0.408175339129827,0,0,0.0980458287404073,0,0.126900840926299,0,0,0,0,0,0,0.18004229935006,0.123465764233189,0,0,0,0,0.0114366475402739,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.122001696148433,0.186711125517468,0,0,0,0,0.0840143300881718,0,0.0877137117173225,0,0,0,0.00597835694812877,0,0.064698018431982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148745162212293,0,0,0,0,0.420662900639179,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.280452965208958,0,0,0,0,0,0,0,0,-0.0928462644797406,0,0,0.21259623178357,0,0,0,0.146161262096453,0,0,0,-0.117724659758502,0,0.31174980999213,0.352191851684612,-0.0205438492192243,-0.226459829979863,0,0,0.421409063423536,0,0,-0.0367562687727073
X2388.HK.EQUITY,0,0.164938146889856,0,0,0.206099210556181,-0.460808064992141,0,0,0,0,0,-0.223274347397206,0,0,0,0,0.532189999031011,0,0,0,0,0,0,0,0,0.238471063523201,0,-0.165373439109221,0,-0.118857400956973,0,0,-0.175855558486114,0,0,0,-0.0209849905259549,0,0,0,0,0.300891328133415,-0.119712026958539,0,0,0,0,0,0
X688.HK.EQUITY,0,0.26831911724662,0,0,0,0,0,0,0,0,0,0,0,0,-0.0972980871426105,0,0,0,0.0722810640168593,0,0,0,0,0,0,0,0.167756268702942,0.0172840934911232,0,0,0,0,0,0,0.253700890950896,0,0,0,0,0,0,0.175479572664319,-0.283437495658178,0,-0.257350036827739,0.111843916816456,0.078232665669469,0,0
X600016.CH.EQUITY,0,0,0,0.00164717308427158,0,0,0,0,0,0.164535891940624,0,0,0.177501543872836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000622251038670187,0,0,0,0,0,0.102851672844374,0,0.0711871868446549,0,0,0.446493494650275,0,0,0,0
X601998.CH.EQUITY,0.180073340484654,0,0.0477968722096792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426069530145766,0,0,0,0,6.93889390390723e-18,0.312913217303152,0,0,0,0,0,0,0,0,0,0.043547812381628,0,0,0,0,0.113035854066421,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.100052652112822,0,0,-0.0602360088746787,0,0,0,0,0,0,0.0694175830606532,0,0,0,0.0719510257623474,0,0,0.0289983067116366,0,0,0,0,0,0,0,0,0,0,0,0,0.129594868839747,0,0,0.0468407878957762,0.182597611623453,0,0,0.378175023081332,0,0,0,0.0174282239679889,0.0463233189184453,0,0,0,0.0285482554151563,0
