,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.374897421955821,0,0,0.171579521790266,0,0,0,0,0,0,0,0,0,0,0,0.0374850214665425,-0.0391399522816667,0,0,0,0,0,0,0.110465684465165,0,0,0,0,0,0,0,0,-0.00688754007862091,0.195191935354066,0,0,0,0,0,0,0,0.188749522417452,0,-0.12742942699566,0,0,-0.222146354204078
X601318.CH.EQUITY,-0.0214657281083467,0,0,0,0,0,0,0,0,0,0,0.0849970168347209,0,0.0683926473415934,0,0,0.352842168433846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682859130758215,0.321281492185301,-0.0512972487454072,0.237757518637855,0.0457030576220578,0,0,0,0,0,-0.10702436616087
X601939.CH.EQUITY,0.0803706174397314,0,0,0,0,0,0,0,0,0,0.114059560337288,0,0,0,0,0,0,0,0,0.225811351681192,0.0139669220779482,0,0,0,0,0.32361047730543,0,0,0,0,0,-0.00368084521931638,0,0,0.100252170300398,0,0,0,0.010783348997156,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.331327181880004,0,0,0,0.0390292022270228,0.0584774989397809,0,0,0.213222756782866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103609367386062,0.146413106653629,0,0,0,0.174607759144964,0,0,0.201968993758477,0,0,0,0,0.0251476636395768,0,0
X5.HK.EQUITY,-0.0256492971511647,-0.194356100813052,0,0.416360468741742,0,0,0,0,-0.308158632403728,0.0261062160034925,0.181349487879823,0.148357383669096,0,0,0,0.206948137850766,-0.0267093026443537,0.271993760357441,0,0.192684778902811,0,0,0.374486189258562,-0.215202872213849,0,0,0,0,0,0,0,0,-0.112042465990437,-0.141256261230122,0,0,0,0,0,0,0,0,0.171871164283053,0,0,0,0,0,0
X601988.CH.EQUITY,0.00849037491596125,0,0,0.081042783471351,0,0,0,0,0,0.213630535542681,0.0815877261602035,0,0.0623561471103344,0,0,-0.0896844937112829,0,0,0,0,0,0.37468583546002,0,0,0,0,0.049657294533466,0,0,0,0,0,0.0329750899324438,0,0,0,0,0,0,0,0,0.0398816517234936,0,0,0,0,0.189311290495119,0,0
X600036.CH.EQUITY,0,0.39625497494913,0,0,0,0,0,0,-0.129975406727838,0,0,0,0,0.21812311448908,0,0,0,0,0.122147674545302,0,0.0100730670962933,0,0.185391879521737,0,0,0,-0.0493199217619589,0,0,-0.0954285435364587,0,0,0.18040592825347,0,0,0,0.0182498487489831,0,0,0.208211017410243,0.0288864603448001,0,0,0,0,0,0.0155484802039319,0,0
X1299.HK.EQUITY,0,0.119092850519638,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0524424892487659,0.168110586782335,0,0,0.193511244694493,0.233763726987405,0,0.180431502141878,0,0.0256495245058808,0.0511853910349408,0,0,0,0.0638355170359208,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.211649058047999,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-1.73472347597681e-18,0,0,0,0,0,-3.46944695195361e-18,0,0.0291407102190205,0,0,0.0778994093251821,0,0,0,0.233285825890833,0,0,0,0,0,0.0796785264561039,0.0713579935234162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131736504884976,0,0.192787295437028,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,-1.73472347597681e-18,0,0.0359469690779734,0,0,0.112244916999666,0,0,0,0,0,0,0,0,0,0,0.271282804064854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478133337844322,-0.00817912988228053,0.23865413263181,0,0,0,0,0.191755015590759,0,-0.113454069983731,-0.0331273142538461,0,0,0,0,-0.0724962243608335,0
X601328.CH.EQUITY,0.051574209397926,0,0.0660396398242089,0,0.0932722748450274,0.388819075126569,0,0,0,0,0,0.171198919147501,0.134204666812658,0,0,0,0,0,0,0,0,0.010303988213711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068355763697674,0,0,0.0878948352968624,0
