,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0.0633699122856964,0,0,0,0,0,0,0,0,0,0,0,0.00670125351121175,0,0.139918700426085,0,0,0,0.151534141015061,0,0.426832341810533,0,0,0,0,0,0,0,0,0,0.134588689182243,0,0.124167979162388,0,0.0195246277531681,0,0,0,0.258995160506332,0,0
X601601.CH.EQUITY,0,0.274315781290665,0.218552877138517,0,0,0,0.101069623460368,0,0.0580947595780229,0,0,0,0,0.154963561204103,0,0,0,0,0,0,0,0,0,0,0,0,-0.043352333357313,0,0,0.186701387819186,0,0,0,0,0,0,0,0,0.057650305065571,0,0,0,-0.0736684166471809,0,0,-0.142400441515351,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.153139235626032,0,0,0,0.178058346449172,0,0,0,0,0.0779074988418109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474968205207733,0,-1.38777878078145e-17,0,0.114576876083472,0,0,0,0,0,0.144906737744744,0,0,0,0.239371284407942,0,0,-0.427471244092254,0,0
X11.HK.EQUITY,0.392339017338357,0,-0.0929523019785997,0,0.142325455922082,0,0,0.238708914330127,0,0,0,0,-0.0148713534906902,0,0,0,0,0,-0.0480477303563173,0,0.127198004505065,0,0.359269488975397,0,0,-0.198982568430389,0,-0.0639993653305947,0,0,0,0,0.0287927382406795,0,0,0.0412189440386673,0,0,-0.0778142526238713,0,0,0,-0.0924602587176548,0,0,0,-0.0397497632678678,0,0
X388.HK.EQUITY,0,0,0.234164715732309,0,0,-0.106204142476351,0,0.710697911733902,0,0,0.0687757344989044,0,0,0,0,0,0,0,0,0.028143633905123,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0929096197642511,0,0,0,-0.14647834661981,0,0,0,-0.149751667742692,0,0,0.289844049856145,0,0,0,0,0,0,0,0.120871591320418
X601998.CH.EQUITY,0,0,0,0,0.0791599450400171,0,0,0,0,0,0.129285939345265,0,0,0,0,0,0,0,0,0,0,0,0,0.134036345992487,0,0.262446455633687,0,0,0.0946021467866961,0.0657082738192726,0,0,0,-0.114013131030968,0,0,0,0,0,0,0,0,0,0.0564058693101275,0,0,0.0144011118011385,0,0
X267.HK.EQUITY,-1.73472347597681e-18,0,0,0,0.365657656553086,0,0.00446352188918297,0,0,0,0,0,0,0,0.0812493739919864,0,0,0,0.0846061054424938,0,0,0.164796752956574,0.00988073254934054,0,-0.0408411872170386,0,0,0,0,0,0,0,0.113943509483665,0.0778184900245001,0,0,0,0,0,0,0,0,0,0,0,0,0.109155729829948,0,0
X688.HK.EQUITY,0,0,0,0,0,-0.189918796995567,0,0.0578564401930306,0,0,0,0,0,0,0,0,0.276469121475084,0,0.267475688916018,0.18718985384761,0,0,0.0527562178574155,0,0,0,0.0498452674321398,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.10290406211944,0,0,0,0,0,-0.27865596005771,0,0,0.185378759299285
X2388.HK.EQUITY,0,0,0,0,0.513468889680214,0,0,0,0.0800874628547234,0,0,0,0,-0.0591230400351148,0.171891280865599,0,0,0.0845848835678238,0,0,-0.0613939016753033,0.452211392596946,0,0,0,-0.0140510865109442,0,0,0,-0.0185275845279696,0,0,0.0603191294844237,-0.039274916562104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.185338065836699,0,0,0,0,0.0967581503981828,0,0.103342757593647,0,0,0,0,0,-0.0647085680982831,0,0,0,0,0,0,0,0,0,0,0.0331661395102087,0,0.0598985763551298,0,0.00518693290826858,0,0,0,0,0.0970963041117163,0.0552637078245624,0,0,0,0.419033430898435,0.132439207679425,0,0,8.67361737988404e-19,0
X600030.CH.EQUITY,0,0.0658461847555857,0,0,0,0,0,0,0,-0.0511363264787521,0,0,0,0,0,0,0,0.0517013162582615,0.136114988975317,0.0628242245970759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177153585087768,0.452734186073429,0,0,0.130602268857913,0,0,0.0486994368437191,0,0.0226896058437962,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.022499691088629,0,0,0,0,0,0,0,0,0,-0.0950562700213338,0.254222894010704,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159261373547922,0.357313505300562,0,0.12440050912515,0,0,-0.0998093394933863
X2007.HK.EQUITY,0,-0.0358866411395847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13917905839835,0.0218710548368273,0,0,0.00773471302197364,0.0215535447895948,0,0,0,0,0,0,0,0,0,0,0.300711759995514,0,0,0,0,0,0,0.322569016983007,0,0,0,0,0,0,0,0.00153226018419004
X1109.HK.EQUITY,0,0,0,0,0,0,0,0.0907419567017113,0,0,0,0,0.226977531423117,0.212993681922548,0.125738149162395,0,0.0534249933664923,0,0,0,0,0.359180763354857,0,0,0,0,0.0606961754055654,0,0,0,0,0,0,0,0,-0.0203094931959502,0,0,0,-0.222479220256625,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0.0376271862226881,0,0,0,3.46944695195361e-18,0,0,0,0.25965445834057,0,0,0,0,0.284962414589126,0,0.0932625928118866,0.185277385355043,0,0,0.158822302150821,0,0,0,0,-0.146292881665517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187402454843064,0,-0.0414630590484686,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0.13988464920252,0,0,0.276903079190454,0,-0.253352869759784,-0.177434861052056,0,0,0.013780723408425,0,-0.123031867125959,0,0,0.519891874076264,0,0,0.0364526852407009,0,0,0,0,0,0,0,0,0,0,0,0,0.142489831051936,-0.153776121732788,0.100249343024266,0,0,0,-0.108057797967412,0,0,0,0.124556640941532,0,0,0,0,0,0
X12.HK.EQUITY,0.00984582431980672,0,0,0,0,0,0,0.392650187451042,0.111720945110139,0,0,0,0,0,0.02665946853307,-0.0532699758064854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586176387845745,0,0,0.264763977696037,0,0,0,0,0,0,-0.107269127731674,0.194883113420799,0,0,0,0,0.0472344256181199,0.125006687626888,0,0
X002142.CH.EQUITY,0.0166678107704903,0.173876705840788,0.0346727021034065,0,0,0.0736362096309094,0,0,-0.0329764139471015,0.105416515636533,1.73472347597681e-18,0,0,0.2461021125466,0,0,0.0399567986951684,0,0,0,0,0,0,0,0,0,0,-0.00630972124938396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183681194572934
X823.HK.EQUITY,0,0,-0.0478641433394732,0,0,0,0,0,-0.0292050346360253,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0661911296824851,0,-0.261384732091317,0,0,0.425533548919019,0,0,0,0,0,0,0,0.047352689000381,0,0,0,0,0,0,0,0,0.175453596866495,0.0903469093571639,0,-0.104744398930783,0,0,0,0.32004799048101,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163130126847259,0,-0.00690534909446667,0,0,0,0,0,-0.0052025032634607,0,-0.0450222419526171,0,-0.0305759370905339,0,0,0,0,0,0.0999399779701881,0.0501637771820216,0,0,-0.172454793981489,0,0,0,-0.0889525034659893,0.233555260205209,0.227936168794408
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722405394909685,0.153463489643484,-0.145728927972281,0,0,0,0,0,0,0,0,0,0,0,-0.0959696962043834,0.0753633799464095,0.22316450045201,0,0.181897230109581,0,0,0,0,0,0,0,0.0984686829053528,0,0.245083892500107,0.318531639996433,0,0,0,0,0,0
X601688.CH.EQUITY,0.033005791557298,0,0,-0.429753562499412,0.166397556743265,0,0.366232268659726,0,-0.027831709043266,0,0,0,0,0,-0.192094730808834,0,0,0,0,-0.360048162923492,0,0,0,0,0.338887345259628,0,0.462348800597786,0,-0.0515925160022966,0,0,0,0,0,0,0,0,0.509873028520335,0,0,0,0,0,0,0.0557249020716651,-0.168662412254478,0.232714513730224,0,0
X601211.CH.EQUITY,-0.0711549612475842,0,0,0,0.0300266760328293,0,0.0761969416280446,0,0,0,0,0,0,-0.0237880986865536,0,0,0,0,0,0,0.0267606546198802,0,0.101556675993234,0,0.251910096270399,0,0,0,0,-0.133934016024916,0,0,0,0.124494594484011,0,0,0,0.194184768365308,0,0,0,0,0.0263834893502365,0,0,0,0,0.20851609620549,0
X600837.CH.EQUITY,0,0,0,0,0,0.0454477256682424,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301351337844634,0,0,-0.133692515836887,0,0,0,0,-0.020866123621339,0,0,-0.104868595749117,0,-0.00114728329010351,0,0,0,0,0.153350955800306,0,0,0,0,0,0,0,0.233267247352195,0,0,0.302644282085925,0.2820802830845
X601229.CH.EQUITY,0,0,0.381739304120602,0.26285492393359,0.120452894468293,0,0,0,0,0,0,0,0,0.0713283702402508,0,0.112526674163259,0,0,0,0,-0.0293726785933381,0,0,0,0,0,-0.282000289529098,0,0,0.161809821028101,0,0,0,0,0,0,0,0,0,0,0,0,-0.11554829952742,0,0,0,0,0.393649751520216,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.254917187773639,-0.119332556987902,0,0,0,0,0.251104653859777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276995100895966,0,0,0,0,0.154297211217663,0,0,0,0,0,0,0,0.0462590764436664,0,0.129638618816028,0.184532413133374,0,0,0
X1997.HK.EQUITY,0.0750237793918416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182957985850726,0.0365878739699214,0,0,0,0.105294120730654,0,0,0,0,0,0.00900471550324556,0,0.0606440124908843,0,0.0995286414932606,0,0.283729499449432,0,-0.110256594486898,0.0236592104552854,0,0.0759104003725272,0,0,0,0,0,0,0,0,0.281014514306379,0,0
X601169.CH.EQUITY,0,0,0,0,0.0947255512391542,0.0624816096912555,0,0,0,0,0.432214311834396,0.0283789280803683,0,0,0,0,-0.0371786345046602,0,0,0,0,0,0,0,0,0.250928998822465,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0,0,0,0,0.00934003587892417,0,0,0,0.281933254630901,0,0,0.103775800033639,0,-0.0680795507026059
X2882.TT.EQUITY,-0.104544078702562,0,0,-0.0598512035455666,0,0,0,0,0,-0.0752796641129072,0,0,0.116705934557207,0,0,0,0.160934387552254,0,0,0.122782629727996,0,0,0.0524412797035353,0,0,0,-0.0578057725119825,0,0,0,0,0,0,0,0,0,0.0634318525398733,0,0.00722663593462925,0,0,0,0,0,0,0.328062096472191,1.73472347597681e-18,0,0
X600015.CH.EQUITY,0,0,0,0,0.235290108489801,0,0,0,0,0,0,0,0,0.0202830860630906,0,0,0,0.0118128932603482,0,0,0,0,6.93889390390723e-18,0.017113153709863,0,0.436509670009199,0,0,0.0175091461872639,0,0,0,0,0,0,0,0,0,0.00567645368484894,0.0910437781501429,0,0.235913438897238,0,0,0,0.0190434409171783,0,0.0673319826372955,0
X000166.CH.EQUITY,0.042013625333285,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0747998662599459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150620936498205,0.0896373138963834,0,0,0,0,0,0.137087912114173,0,0,0,0.161842675848097,0,0,-0.00230754977209456,0,0,0,0,0.165198574343514,0.400329862148564
X2881.TT.EQUITY,0.192722182478313,0,0,0,0,0,0,-5.42101086242752e-20,-0.0946201444478142,0,0,0,0,-0.127731994675587,-0.0482014143951086,0,0,0.277949614802187,0,0,0,0.011583823924125,0,0,0,0,0,0,0,0,0,0,0,0,0.0306497945018275,-0.111769770105682,0,0,-0.203246679743174,0.163134812558523,0,0,0.61021346097353,0.0836754268299849,0,0,0,0,0
X17.HK.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0881891472652809,0,0,0,0,0.0565264347278432,0,0,0,0,0.147980144590601,0,0,0,0,6.93889390390723e-18,0,0.221071092068349,0,0,-0.0979629083578028,0,0.0423326469759569,0,0,0,0,0.194380164186554,0.275536814454426,0,0,0,0,0,0,-0.0308020446869769
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215819414291836,0,0,0,0,0,0,-0.0672176488877981,0,0.112800778402832,0,0,0,0.259486128074691,0.215215190764875,0,0,0,0,0,0.0040057068156483,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0428262695219241,0,0,0,0.216683180862233,0,0.119473243397575,0,0,0.0170737778675399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343607061700111,0.254676810654696,0.0827187402252485,6.93889390390723e-18,0,0,0,0,0,0.0200200462194673,0,0.188262160419644,0,0,0,0
