,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.515169310781262,0,0,0,0.0757771486211487,0,0,0.065520113643289,0.193329569175196,0,0,0.17480892349691,-0.0278452461328954,0,0,0.0320546434189073,0,0,0,0,0,0,0,0,0,0,0,0,0.067852045877037,0,0,0,0,0,0,0,0,0,0,-0.0375278605868495,0.0283172469633469,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00885435221526928,0.109692574538024,0.272683613168424,0,0,0,0,0,0,0,0,0.335274225232774,0.0867750772439906,0,0.075843465440692,0,0,0,0.0632112418493661,0,0,0,0,-0.0379287152424828,0,0,0,0,0,0,0,0.0182266590323813,0,0.0426761123348704,0,0,0,0,0,0,0,0,0.00605118425243679
X601939.CH.EQUITY,0.158063789872094,0,0,0.486387961489283,0.0661059813004829,0.089614882510017,0,0,0,0.0626306082574918,0,0,0,-0.0298640975766644,0,0,0,-0.016695123222173,0,0,0,0,0,0,0,0,0,0.183356227218961,0,-0.00575324555371451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.211686261473358,0,0,0,0,0,0.011883129836414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273515409272045,0,0.195492855622454,0,0,0,0.0474312347054775,0,0,0,0,0,0,0,0,0,0,0.096213610161282,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565785451752175,0,0,0.207412290359864,0,0.206200993793562,0,0,0,0.212041964972848,-0.00851068431476655,0,0,0,0,0,0.19563339955312,0,-0.244548932015531,0,0,0,0.0459725014106681,0,0,0,-0.061230459940752,0,0,0,0,0,0.189903432338774,0,0,0,0,0.0806131767858598,0,0,0,0,0,0,0.171382351664946,-0.00759025745236091,0
X601988.CH.EQUITY,0,0,0,0,0.346306049216391,0,0,0,1.73472347597681e-18,0.0845968331335645,0.126950479626803,0,0,0,0,0.158766488006736,0,0,0,-0.0360104721274966,-0.0511926197485176,0,0,0,0,0.206421449618305,0,0,0,-0.241085802317911,0,0,0,0,0,0,0,-0.00366319775537705,0,0,0,0.0558994382602184,0,0,0,0,-0.0190680956639396,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0394188496423541,-0.114460278153533,-0.0999206102685965,0,0.0912046795638324,0,-0.0749796289235513,0,0,0.0973014373919027,0,0,0,0.520771247466095,0,0.0210559142774126,0,0,0.0681439425806017,0,0,0,0,0,0.0512367946399276,0,0,0,0,0.046632228972305,0.255809894225423,0,0,0,0.0933298520065549,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303376036763144,0,0,0,0,0,0,0,0.0734547357937896,0,0.0629116850477983,0,0.118942920792784,0,0.0375238269101886,0,0,0,0.230296650713294,0,0,0,0,0,0,0,0,0,-0.0765566178169678,0,0,0,0
X601628.CH.EQUITY,0,0.148195014103261,0,0.0503247196647145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104567647688275,0,0,0,0,0,0,0,0.147783212749948,0,0,0,0,0,0,0,0,0,0.0208931083750094,0.36636199816322,0,0,0,0.118948369071119,0,0.0565436117268289,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.366549131011351,0.0371573450780616,0,0,0,0,0,0,0,0.42025561427637,0,0,0,0,0,0,0,0,0.0234591765408021,0.0869614750257223,0.125664976572776,0,0,0,0,0,0,0,-0.0153380944869922,0,0,0,0,0,0,0,0,0.0561169466540402,0,-0.0847709353677999,0.218870846945317,0,0,-0.0044364862910476,0.080349550374892,0,0
