,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.0455954615322943,0.406784670217067,0,0,0,0,0,0,0.0924852978791405,0.210243198769318,0,0.166571213454085,0,-0.0307708921210653,0,0.0328985504605943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056858786864193,0,0,0,0,0,0,0,0,0,0,0.0568267741510693,-0.0313598977106925,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0346433515434479,0.0945445840210648,0.277248370637709,0,0,0,0,0,0,0.0579182988992768,0.343648635499048,0.0896270218671563,0,0,0.0649152263144058,0,0,0,0,0.018273906169947,0,0,0,-0.0415729025961222,0,0,0,0.00118415628160611,0,0,0,0,0,0.0623225822696579,0,0,0.00108603778837392,0,0,0,0,0,0
X601939.CH.EQUITY,0.231973866131047,0,0,0.458456501464156,0.0400010950936794,0.0754995410071746,0,0,0,0.0767808222162593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119376279194242,0,-0.0452029798619429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.197932550251487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214566029914528,0,0,0.195386065557146,0,-0.000755590534007113,0,0.00734128106495271,0,0,0,0,0,0,0,0,0,0.215456449998032,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0811686479848824,0,0,0.232759464293663,0,0.169463452405743,0,0,0,0.31123912715573,0,0,0,0,0,0.112807051279507,0.0031426771053475,0,-0.221138875825796,0,0,0,0,0.273964528481816,0,0,-0.122143167206452,0,0.0209019929573353,-0.061062550070207,0,0,0.142744890286356,0,0,0,0,0,0,0,0,0,0,0,0.119757135030515,0,0
X601988.CH.EQUITY,0,0,0,0,0.202610300741401,0,0,0,0,0.194012713252556,0,0,0.19395288266856,0,0,0,0,0,0,0,0,0,0,0,0.221660073890385,0.0376669552482101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300716182937189,0,0,0,-0.0558056209119376,0,0
X600036.CH.EQUITY,0,0.0654814510212036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382297948665601,0,0,0,0,0,0,0.738557453881205,-0.0237546832639579,0,0.0282051858900694,0,0,0.146593483316476,0,0,0,0,0,0,0,0,0,0,0.0979254975878089,0,0.0727461374299262,-0.0350695265275035,0,0,-0.00401504911808981,0
X1299.HK.EQUITY,0,0,0,0,0.262023972762069,0,0,0,0,0,0,0,0.0505727586329069,0,0,0,0,0,0.081513448781422,0,0,0,0,0,0,0,0.0692785252184667,0,0.136970094283302,0,0.0139521352137511,0.29154898772778,0,0,0.100721515727938,0,0,0,0,0,0,-0.0762682661597258,0,-0.0603032731813138,0,0.0542810379436663,0,0,0
X601628.CH.EQUITY,0,0.156185063513297,0,0.0394612177284664,0,0,0,0,0,0,0,0,0,0,0,0,0.0672580476261663,0,0,0,0,0,0,0,0.146672328199558,0,0,0,0,0,0,0,0,0,0,0,0,0.377294316328515,0,0,0.126307405846672,0.0634492795539165,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.20837770907755,0,0.0961025310272861,0,0,0,0.0224811611507901,0,0,0,0,0.333612103310775,0,0,0,0,0,0,0,0,0,0,0.324864345186625,0,0,0,0,0,0,0,-0.0305342915282964,0,0,0.0622703795817562,0,0,0,0,0,0,0,0.0827976401625812,-0.0146058292895453,0,0,-0.0363114582296836,0.102858912834078,0,0
