,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.374167168185827,0,0.16421493228415,0,0.136732359233852,0,0,0.194870998156086,-0.0547130285721717,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923404465801942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554302298572028,0,0,0,0,0,0,0,0,0,0,0.0604307185124749,0
X601939.CH.EQUITY,0.398072242280651,0,0,0.235911830155907,0,0,-0.135551587679005,0,0,0.0206003403424738,0.0356728047894081,0,0.183037958180042,0,-0.0879438860116752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036300133882391,0,0,0,0,0,0,0,0,0.208969306200541,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.216560219164112,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260379833465732,0,0,0,0,0,0,0.181026728844359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258984482202177,0,0,0,0,0.218496813950043,-1.73472347597681e-18,0,0,0,0,0,0.111099338710473
X601288.CH.EQUITY,0.500258541255016,0,0,0,0.198602542065151,0,0,0,0,0,0,0,0.0747598214069872,0,0,0,0,0,0,0.0129245935380017,0.118449546186598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507860346730472,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381067045605067,0,0,0,0,0,0.264975903446312,0,0,0,0,0,0.356565757196743,0.0873764284242541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368450852360048,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.27849460468156,0,0,0,0,0.0920710277727382,0,0,0,0,0,0,0.0101918277546049,0,0,0,0,0,0.0433624248253805,0.185151313125282,0,0,0.0916187640837312,0,0,0,0.0159817134354451,0,0,0,0.172707131539468,0,0,0,0,0,0.10544195737938,0.0157016292457386,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0848594595932091,0,0,0.05884351689178,0.12271036538514,0,0,0,0,0,0,0,0,0,0.0246772559731901,0,0,0,0.147116598184529,0,0,0,0,0,0,0,0,0.219903846141373,0,0,0,0,0,0,0.0922903047421816,0,0,0,0,0.117247096747736,0,0
X5.HK.EQUITY,0,-0.100277678027647,0,0,0,0,0,0,0,0,0,0,0.225805435328475,0.264691263759133,-0.118988685629729,0,-0.333197116735752,0,0,0,0.140339515617992,0,-0.432675868619712,0.510156610428698,0,0,-1.38777878078145e-17,0,0.665825186600565,0,0,0,0,0,0,0,0,0,0.287672110460287,0,0,0,0,-0.27269060080296,0,0,0,0,0,0
X601628.CH.EQUITY,0.000923555368626379,0,0.0973166477562239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652627623030718,0,0,0,0.0417849939941749,0.0260866122145557,0,0,0.131343285670332,0,0.231525606792615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676959455526828,0,0,0,0.251778711355222,0,0.094910170644067,0
X601658.CH.Equity,0,0,0,0.0418633011286638,0.19732013797486,0,0,0,0,0,0,0,0.262604605791982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876363330383288,0.173448037781851,0,0,0,0,0,0,0,0,0,0,0.0447299678303184,0,0,0,0,0,0,0,0.352161368358399,0,0,0
