,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0,0.281976840482445,0.0354809668450151,0,0,0,0.311580774761317,0,0,0,0.0795043566621658,0,0,0.0355617471937095,0,0,0,0,0,0,0,0,0.157609770591123,0,0,0.00927484239532724,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.120707700147646,0,0,0,0,0,0,0,0,0,0,0,-0.0274719674793533
X601318.CH.EQUITY,0,0,0.297970850475456,0,0,0,0,0,0.079008844422684,0,0,0,0.00308901332842412,0,0,0.204393322495063,0,0,0,0,0.0207648441444649,0,0,0,0,0,0,0,0,0.0818485344489024,0,0,0,0,0,0.0703782735341768,0,0,0,0,0,0.0406224287830412,0,0.0863844082049586,0,0,0,0,0,0
X601939.CH.EQUITY,0.407219776045438,0.157863942550403,0,0,0,0,0,0.122965144223492,0,0,0,0,0,0,0.141652416523568,0,0.0655399604946571,0,0,-0.17159614685669,0,0,0,0,0.152538483908514,0,0,0,0,0.18919433997356,0,0,0.232391302651374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106546462370988,0
X600036.CH.EQUITY,0,0,0,0,0,0.239890173032883,0,0,0.0594873208375866,0,0,-0.0348684984780287,0.133992770559401,0,0.0351511676923835,0,0,0.263885628207807,0,0,0,0,0.0167864983063315,0,0.423081868652163,0,0,0,0,0.020574208617632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0162474556980972,0.495906050285195,0,-0.0834528652718166,0,0.0934297970784595,0,0,0,0,0,0.0210741101205168,0,0,0,0,0.0638615242241057,0.123006791924774,0,0,0,0,0,0.0881751340109166,0,0,0.0404825863817651,0,0,0,0,0,0,0,0,0,0,0,0,0.0481597586756585,0,0,0,0.0117723570038286
X1299.HK.EQUITY,0,0,-0.0349795491758945,0,2.16840434497101e-19,0,0,-0.0397830811804852,0,0.134938340618722,0,0,0,0,0,0,0,0,0,0,0,0,0.105907244240422,0,0,0,0,0,0,0,0,0,0.0515130429317034,0,0,0,0,0.0349947831245024,0.154500329242222,0,0.251807347847995,0.117696303885549,0.0694656671261176,0,0,0,0,0,0,0.257129315758699
X601628.CH.EQUITY,0.141801996696894,0,0,0,0,0.0199540625235798,0,0,0,0,0,0,0,0,-0.221659880136606,0,0,0,-8.67361737988404e-19,0.203039373169298,-0.0711227194704124,0,0,0,0.0160651205992578,0,-0.15555008023042,0,0,0,0,-1.73472347597681e-18,0,0,0.611723131887721,-0.0127984378480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0581937990018827,0.0218044476829555,0.477954214855641,0,0,0,0,0.0168249299903009,0,0,0.080306854384502,0,0,0,0.209771468780167,0,0,0,0,0,0,0,0,0,0.0359522485761732,0.0137262651991698,0.0615153387351777,0,0,0,0,0,0,0,0.0013139400222898,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.241525026161836,0,0,0,0,0,0,0,-0.0198443376558118,0,0.019536181470304,-0.0541529340343846,0,0,0,0,0,0,-0.18969452465884,0,0,0.128844607713417,0,0,0.0516568723407547,0.125403487104111,0,0,0,0,0,0.129135227211037,0,-0.0535167174191443,0,0,0,0,0,0,0.0976896048856807,0.175140226045681,0,0,0.105318008922362,0,0,0,0.0164647716486271
X388.HK.EQUITY,0,0,0,-0.247925052318088,0,0.171093916188607,-0.0246202832529737,0,0,0,0.0755118729139523,0,0,0,0.123189315380486,-0.0285991528016596,0,0,0.115252267279661,0.525558914080601,0,-0.0283490382891495,0,0,0,0,0,0.00868541450864972,0,0,0,0,-0.0301684772358325,0,0,0,0,0,0,0.234402230859211,0,0,0,0,0,0,-0.370633113886016,0.0643355254019906,0,0.053964486811237
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0502138738484011,0.181574889083486,0,0.147368231530481,0,0,0,0,0,0,0,0,0,0,0.0204353366968368,0.198547105485715,0,0,0.364714084247197,0,0,0,0,0.0161308749916404,0,0.0103820407323422,0,0,0,0,0,0,0,0,0.00800555618676676,0,-0.0193553944917611,0,0
X601658.CH.Equity,0,0,0,-0.258976222009642,0.141229766352797,0,0.0623819822379262,0.332179167246868,0,0,0.339404705200167,0,0,0,0,0,0.354447166229542,0,0,0.19633584511561,0,0,0,0,0,0,0,0,0,0,0,-0.369817151222607,0,0,0,0,0,0.136161035564879,0,0,0,0,0,0,0,0,0,0,-0.014961819179912,0
