,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.0870960752612394,0,0.394188705873535,0,0,0.102089495348949,0,0.109016634490565,0,0,0,0,2.77555756156289e-17,0,0.189569886194144,0,0,0,-0.0718831054042795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872132986581271,0,0,0,0,0,0,0,0,0,0,0,0.0661355517239679,0
X601939.CH.EQUITY,0.223580269369916,0,0,0.0349929903983716,0.0743342717644233,0,0,0,0,0,0,0.0695370449203906,0,0.334372753845323,0,0.206712350097772,0,0,0,0,0,0,0,-0.0514969048448432,0,-0.086807932106328,0,0,0,0,0,0.063688591139489,0,0.0262533070025208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898775,0,0,0,0.0289345739207084,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.388551318957584,0.0308800544344326,0,0,0.354737244141153,0,0,0,0,0,0.0991243471397559,0,0,0,0,0,0,0.0515336014390761,0,0,0,0,0,0,0,0,0,0,0,0.0195369456256932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322632650807184
X601988.CH.EQUITY,0,0,0,0.271871259914882,0,0,0,0,0,0,0,0,0,0.0883568959964515,0,0.100841494817527,0,0,0,0,0.268004506746827,0,0,0,0.00323654647114277,0,0,0,0,0,0.0383782146380447,0.0509418477405654,0,0,0.122855084147996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0241124486147798,0,0,0,0,0,0,0.266446048320658,0,0,0,0,0.504305973700481,0,0,-0.245914564515957,0,0,0,0.0980932177838125,0,0,0,0.0289728222742111,0,0,0,0,0,0.553653773861976,0,0,0,0,0,0,0,-0.12448549199722
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,0,0,0,0,0,0,1.73472347597681e-18,0.224540453267655
X1299.HK.EQUITY,0,0,0,0,0,0.184955434132035,0,0,0,0,0,0,0,0,0,0,0,0.207073738386374,0,0.130961461214772,0,0,0,0.0961285351453109,0,0,0,0.0762374821633553,0,0,0,0,0.147012526008174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.00525050859383869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.558806951648479,0,0,0,0.330731402212984,0,-0.0586245129976032,0,1.24452821799977,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.287329580654695,0,0,0,0,0,0,0,0,0,0.212498563671556,0,0,0,0.0278678288062306,0,0,0.0865403863912141,0,0,0,0,0,0.0756551044754132,0,0,0,0.0452012719586938,0,0,0,0.0042859862668509,0,0.0829348700145761,0,0,0,0,0.0587897996784327,0,0,0.117612463880346,0,0,0.0854867967159488,0,0
X601166.CH.EQUITY,0,0,0,0.0835780597559988,0,0,0.137067991693496,0,0,0,0,0,0,0.0387019596830869,-0.058716268478325,0.00919447551058537,0,0,0,0,0,0,0,0.0154124708677551,0,0,0,0,0,0.337800606947396,0,0,0,0,0,0,0,0.0708422740241009,0,0,0,0,0,0,0.321060898282838,0,0,0,0,0.0606838022224303
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386254247748697,0.5632091353211,0,0.0936312793763133,0,0,0,0,0,0.128133281710418,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.177659870071525,0,0,0,0,0,0.0112665650365148,0,0,0,0.380915249078777,0,0,0,0.0706062326995564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.257320158440258,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121422063776932,0,0,0.314723977553689,0,0,0,0,0,0.00160229464278539,0,0.11950983519852,0,0,0.255505084791952,0,0.0816149352313427,0,0
X000001.CH.EQUITY,0,0.272895904397802,0,0,0,0,0.137428566550069,0,0,0,0,0.102940355956018,0,0,0,0,0,0.0736935284887368,0,0,0,0,0,0.0310268590866011,0,0,0,0,0,0.0259755391725143,0,0,0,0.0893413555180675,0,0,0,0,0,0.117768355474004,0,0,0.107385628539059,0,0,0,0,0,0.042758863826022,0
X16.HK.EQUITY,0,0,0,0,0.222759392944043,0,0,0,0.0773486784962441,-0.0723256984786873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00204980595611358,0,-0.0130653700230786,0,0,0,-0.122009177144253,0,0.694379476635388,0,0.0943675157658975,0,0,0,0,0,0,0,0,0.0283783758373478,0,0,0.0212860459496546
X388.HK.EQUITY,0,0,0,0.0353570844690866,0.0871803222985466,0,0,0.0647198768075868,0.191262714231149,0,0,0,0,0,0,0.151035379808564,0.0469540544254328,0,0,0,0,0,0.0341353425387136,0,0,0,0,0,0,0,0,0,0,0.0671605854698751,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.28584223976126
X601319.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.308248369579134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216510618006126,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.368069355252363,0,0.0448900408795877,0,0,0.135780338457723,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.0500065515520098,0.174782870243946,0,0,0,0.119812457575523,1.73472347597681e-18,0,0,0.0387406244649203,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.495744196118976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12243661771571,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.132635248669919,0,0,0.244333776461656,0,0,0,0,0,0.271867900484102,0,0,0,0,0,0,0,0,0.0360675489280618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630721219036746,0,0,0,0,0,0,0,0,0,0.271701375735887,0,0,0,0,0
