,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0.506029685225356,0.260003930149601,0.0179769368048596,0,0,-0.0631413793242065,0,0,0,0,0,0,0,0,0.0101952552025286,0,-0.0720176430341302,-0.0360291431391875,0,0,0,0,0.0388496277417333,0,0,0,0,0.10521829094847,0,0,0,0,0.0146083757417384,0,0,0,0,0,0,0,0.354648848049348,0,0,-0.0181931816640975,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0.0251907189241186,-0.00638189025744643,0,0,0,0,0,0.100415678906962,0,0,0,0.430573546754008,0,0,0,0,0,0,0,0,0,0,0.0854423932228725,0,0.147745306453069,0,0,0,0,0.141288287112322,0,0,0,0,0,0,0,0,0,0,0.0376313661290094,0
X601939.CH.EQUITY,0,0,0,0,0.665865783570562,0,0,0,0,0.006343336661203,0,0.306120236087004,0,-0.0368085149620822,0.0442009081671966,0.024524729195728,0,0,0.0232571306559346,0,0,0,0,0.0277975098992076,0,0.0460479141354316,0.0209405631129378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592054359763255,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.16924230067765,0.176521076213029,0,0,0,0,0,0,0.345774481078386,0,0,0,0,0.114375370553493,0.0775661950327433,0,0,-0.0543378441185975,0,0,0,0.0295527572920478,0,0.0504337196740155,0,0,0.176497091737805,0,0,0,0,0,0,0,0,0,0,0,0.130427213473835,0,0
X601288.CH.EQUITY,0.160895486672973,0,0.793680115487604,0,0,0,0,-0.0795861583880386,0,0,0,0.051686435590041,0,0,0,0,0.0397243115630617,0.0228583437262036,0,0,0.00867658319729504,0,0,0,0,0,0,0,0,0.0219066877450732,0,0,0,0,0,0.0280786568101024,0,0,-0.0851447085411188,0,-0.18408163594448,0,-0.0142278910850363,0,0,0,0,0,0,0.0671398420406337
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0
X601988.CH.EQUITY,0.0740544201476362,0,0,-0.0270318352041586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060253631742727,0,-0.0073790063815924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282878638843015,0,0,0,0,0,0,0,0.930137306791425,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.270309909922572,0,0,0,0.10070859450243,0,0,0,0,0,0,0,0.216119557486344,0,0,0,0,0,0,0,-0.0781197715571305,0.0562856951640852,0,0,0,0,0,0.0462105425319924,0.059012877303002,0,0,0,0,0,0.167080019623316,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759305028138052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295680596838461,0.0648299644540943,0,0,0,0,0,-0.252984840106679,0,0,0,0,0,0,0.0697150397441659,0.341196111069677,0.104199956765393,0,0,0.0589104271850585,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0
