,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.155117826759018,0,0,0,0,0,0,-0.030559990943156,0,0,0,0,0,0,0,0,0,0,0,0,0.0382093834516957,0.358193823328323,0.304101419494498,0,0.192637704134379,-0.195960920066226,0,-0.0445370006966502,0,0.0160079696412704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.231393308233745,0,0,0,-0.0880104316961448,0,0,0,0.0349590779535247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386303012169437,0.185665680119454,0.0243885620087543,0,0,0,0.227498341411609,0,0.140747834975072,0,0,0,0,0,0,0,0,0,0,0,0.0538171592194908
X601939.CH.EQUITY,0,0,0,0.802137104635238,0,0,0,0,0,0,0.00100601809402003,0,-0.0393888152580182,0,0,0.0418681865052788,0,0.118036606176065,0.0502757173448771,0,0,0,0,0,0,0.0363257339560935,0,0,0,0,0,0,0,0,0,0,0,0.045329202916489,0,0,0,0,0,0,0,0,0.00492589923224338,0,0,0
X601288.CH.EQUITY,0,0,0.946628970763848,0,-0.115703925150997,0,0,0,0,0,0,0,0,0,0.00617204907644871,0,0.0724491491890728,0,0.00338651933067664,0,0.0206169635370962,0,-0.00894834422907118,0,0,0.0771291253565702,0,0,0,0,-0.0407727691155184,0,-3.46944695195361e-18,0,0,0.0888788280845223,0,0,0,-0.0185932375512931,0,0,-0.0777465529314807,0,0,0,1.0842021724855e-19,0,0,0
X601628.CH.EQUITY,0.00906892571922347,0,0,0,0,0,0,0,0,0.258700972119653,0,0.201773522455599,0,0,0,0,0,0,0,0.130520573305792,0,0,0,0,0,-0.138761030759916,0,0,0,0,0,0,0,0.0108449405493206,0,0,0,0.416489246880029,0,0,0,0,0,0,0,0.117692674596543,0.274956332968446,0,0,0
X600036.CH.EQUITY,0,0,0.323486437282912,0.0828129963683449,0,0,0,0,0.0698248074738057,-0.0088277774419383,0,0,0,0,0,0.0866964016893443,0,0.103731622921945,0,1.73472347597681e-18,0,0,0,0,0,0.0432423815700547,0.0245991196082744,0,0,0,0.104251879055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.131968437127287,0.0827267885454988,0,0.0573239330595779,0,0,0,-0.0230690570549075,0,0,0,0,-0.000942189843426974,0,0,0,-0.0475372672825378,0,-0.0191432603509669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107504677403377,0,0,0,0,0,0.00653192882930714,1.05595339277742
X1299.HK.EQUITY,0,0,0,0,0.0290813739131826,0,0,0,0.034705697270337,0.116899625797556,0,0,0.0853356048087495,0,0,0,0,0,0,0,0,0,0.249255967112051,0,-0.133518259940168,0,0,0,0,0.242098420141506,0,0.190612627596072,0,0,0,0,0,0,0,0,0.185131480543584,0,0,0,-0.0517552198483193,0,0.14457626244663,0,0.0399819718418458,0
X5.HK.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0141597967858651,0,-0.32875739714039,0,0,0,0,0,0,0.165527821917875,0,0,0.531644385958271,0,0,0,0,0,0,0,0,0,0.0654033040943262,0,0,0,-0.110627485146268,0.0337519814323286,0.134192905771982,0,-0.142202271723036,0,0.0606034599762607,0
X388.HK.EQUITY,-0.0974751647829184,0,0,0,0.249013482921981,0,0,0.0745001827639075,0.0315582104947538,0,0,0,0,0,0.149722448493085,0,0.100723032392669,-0.240874984388225,-0.21250152814898,0,0,0,0.576145319746515,0,0,0,0.137548335562599,0.350600117029944,0,0,0,0.0327197380092521,-0.203060146394567,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.321122556002041,0
