,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.204637000483751,0,0.0311827157706773,0,0,0.400768855813141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254507162254193,0,0.0349121881077207,0,0,0,0,0,0,0.0807128793492274,0,0.0501430008091105,0,0,0,0,0,0,0.0116192318760799,0,0,0,-0.092503159266476,0
X601318.CH.EQUITY,0,0,0.261010566882839,0,0,0,0,0,0.0845947816515773,0,0.0932961049089915,0,0,0,0.19258980818419,0,0,0,0,0,0,0.0586266566508465,0,0,0,0,0,0.168320605731807,0,0,0,0,0,0.0537741830861022,0.0146080502919402,0,0,0,0,0.00669644758618693,0,0,0,0,0.0608052341885609,0,0.036654422008801,0,0,0
X601939.CH.EQUITY,0.465423020275137,0,0,0,0,0,0.00503724993534372,0.248008507708183,0.288987624558823,0,0,0,0,0,0,0,0.00693937029211737,0,0,0,0,0,0,0,0,0.0772061075838205,0,0.281472182132003,0,0,-0.0435284109244429,0,0,0,0,0.0123197395076864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.156366592844036,0,0,0.0620364176505679,-0.104976444887578,0,-0.104629151078399,0.151510465210974,0,0,0.162150454509435,0,0,0,0.163645587328574,0,0,0,0,0,0.405380702645282,0,0.0336467024503758,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748310621296201,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0338685580737184,0,0,0,0,0.481715922205974,0,-0.0445562408796823,0,0.0363808236264056,0,0,0,0,0,0,0,0.107026806316095,0,0,0.0861934804697795,0,0,0,0.0778275522078743,0.084008496682001,0,0,0,0,0,0,0,0.0238415147684755,0,0,0,0,0,0,0,0,0,0,0.0391024089329616,0,0.0192748097942726,0.0847065077522801
X1299.HK.EQUITY,0,0,-0.0595039683367536,0,0,0,0,0,0,0.160009113416644,0,-0.0938143717322573,-0.0743587874333745,0,0,0,0,0,0,0,0,0,0.159731474202262,0,0,0,0,0,0,0,0,0,0,0,0,0.116973961813986,0,0.0523500145464715,0,0.227854338389835,0,3.46944695195361e-18,0,0.250708139243339,0,0.0831562844866955,0,0,0.183271830456336,0
X601628.CH.EQUITY,0.119251104566603,0,0,0,0,0,0,0,0,0,0,0,-0.0136481973041482,0,0,-0.191848596961866,0,0,0.241307295601259,0,0,-0.0172696343512725,0,-0.125888154428341,0,0,0,0,0,0,0,0,0,-0.0398485402192519,0,0,0.565958632527917,0.0243448358086007,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0709018190696058,0,0.451678906400327,0,0,0,-0.0894343236631099,0,0,0,0,0,0,0,0.27757000404003,0,0,0,0,0,0,0.047744672303945,0,0,0.0767297072177148,0,0,0,0,0,0,0,0.00273412621813596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0701733189690425,0,0,0,0,0,0,0,0.157213284142832,0,0,0,0,0,0,0,0,0,0,0,0.113821358433063,0,0.0624025459294111,0,0,0,0,0,0,0,0,0,0,0.152574946301984,0,0.0448546534354372,0,0,0.368726086478055,0,0,0.0423803610311529,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.311226910789506,0,0.2566477300447,0,0,-0.0379829202106659,0,0,0,0,0,-0.0107705004479372,0,0,0.166623091431894,0.261274202396444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567122574824283,0,0,0.16621499090883,0,0,0,-1.73472347597681e-18,0,0,0.111904928656385,0,0,0.0372353579980798,0
