,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.172569874472489,0.200391512884982,0,0,0,0,0,0,0,0,0,0,0,0.0444951449961477,0,0,-0.191125353346636,0,0,0,0,0,-0.291052019718729,0,0.0487662675325156,0,0.865866000761708,-0.151666451065361,0,-0.0998546205077598,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.136359266773388,0,0.19244052480045,0.0183888766929531,0,0,0,0.0299077730387743,0,0.0594021342850857,0,0,0.10939417963277,0,0,0.0770825109978697,0,0,0.0623424506174632,0,0,0,0,0,0,0,0,0,0,0,0,0.0515855950309189,0,0.306814576775713,0,0,0,0,0.101832349454653,0,0,0,0
X601939.CH.EQUITY,0.149276263086749,0,0,0,0.00400205188662978,0,0,0,0,0.253084974704019,0,0,0,0,0,0,0,0.122908884403244,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0845987883034071,0,0,0,-0.148477153038181,-0.115479413123857,0,0,0.0703409275918885,0,0.427288399115979,0,0,0,0.0756954514609118,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.550578592713671,0.293631146518619,0.085811809967541,0.56514008191067,0,0,0,0.272117092880434,0.118587254410034,0,0,0,0,0,0,0,0,-0.362614989147673,0,0,0,0,0,0,0,-0.755373607815757,0,0,0,0,0,0.0226364710473923,-0.367335490646735,0,0.289648995361495,0,0,0,0,0.39329174190066,1.73472347597681e-18,0
X5.HK.EQUITY,-0.0177374158397466,-0.10511032618854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51942234004423,0,0.0332022956383493,0.538862585521987,0,0,0,0,0.0905662098391236,-2.77555756156289e-17,0,0,0,-0.187079357693762,-0.0524138893574942,-0.075410895883261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248701919333708,0,0,-0.16499946009537,0
X601988.CH.EQUITY,-0.467028779246547,0,0,-0.0358129015186818,0.58638305592854,0,0,0,0,0,0,-0.0578892243934658,0,0,0,0,0,0,0,0.967128263844949,0,-0.0923496841696768,0,0,-0.0633191888531103,0,0,-0.141170626140333,0,-0.614804030397799,0,0,0,0,0,0,0,0,0.0272098681091862,0,0,0,0.157836168751282,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0991791637502296,0.485609432676833,-0.0414819049984848,0,0,0,0,-0.105448126758181,-0.016408831331982,0.481369841160705,0,0.148600394121683,0,0,0,0,0,0,0,0,0,-0.0997203834722719,0,0,0.280557530614003,0,0,0.0805974390616338,0,0,0.0921156369218905,0,0,-0.297714843173446,0,0,0,0,0,0,0,0.224146812989898,0,0,0.119795501273134,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.130586371766209,0.0115592399418126,0,0,0.132787756644249,0,0,-0.0823957590651114,0,0,0.142463418968415,0.0301405848802413,0,0,0.050810764245054,0,0,0,0,0,0,0.151387308177274,0,0,0,0,0,0.146689493228964,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.00568549380748426
X601628.CH.EQUITY,0,0.0670819925190394,0.0159526434793241,0.0092356699919693,0,0,0,0,0,0,0.145223118249478,0,0,0.334774800357914,0,0,0,0,0,0.0246631697635532,0,0,0,0,0,0,0,0,0,0,-0.0536225792982829,0,0,0,0,0.176051268523435,0.162286297853047,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0159015609040323,0.0614838984781527,0.0459962487687254,0,0,0.585389577657378,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.233000436070523,0.241534340050343,0,0,0,0,0,0,0,0,0,0,0,-0.0766295362150274,-0.027609091934549,0,1.73472347597681e-18,0,-0.308202212312854,0.0500509221311103,0,0,0,0,-0.0281058129511867
