,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.17793345646832,0,0.18311252580997,0,0.159009382636824,0,0,-0.064206417265866,0,0,0,0,0,0,0,0,0.0727365642522782,0,0,0.139827405643575,0,0,0,0,0,0,0,0,0,0,0,0,0.0669695079735232,0,0,0.00894256923915107,0.0282258586642136,0,0,0,0,0,0,0,0,0.172196755362165,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0832932127095486,0,0,0.0383505265418787,0,0,0.152605452514075,0,0,0.0118871685975441,0,0,0.394032609873589,0,0,0,-0.0777007532225089,0,0,0,0.0962135342668441,0,0,0.14136550557302,0,0,0,0.228527425449083,0,0.126275139183257,0,0,0,0,0,0,0,0,0,0,0,0.018528594730131,0
X601939.CH.EQUITY,0,0,0,0,0.287922149774853,0,0.209910575886697,0,0,0,0.135986585659456,0,-0.14538028154365,0,0.0206638650060318,0,0,0,0,0,0.0996940458423975,0,0.487167594855191,0,0,6.93889390390723e-18,0,-0.0662860408891092,0,0,0,0,0,0,0,0,-0.044034167793606,0,0,0,-0.0129839963622089,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.0351455245900697,0,0,0.0805484223143126,0,0,0,0,0,-0.127507721092705,0.300326220907911,0,0,0,0,0.0600979220857999,0,0,0.10575445821742,0,0,-0.154058572599971,0,0,0.0355848313816715,0,0,0.382421284449719,0.258957260117464,0,0,0,-0.0136717661679789,0,0,0,0,0,0,0.121078495020324,0,0,0,0
X601288.CH.EQUITY,0.0887447906228508,0,0.0385922615671914,0,0,0,0,0,0,0.037928049975661,0,0,0,-1.73472347597681e-18,0,0.55041545284397,0,0,0,0,0.0748750447978001,0,0.157563211693477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108506173125654,0,0,0,0,0,-0.044070315443614,0,0.0416012494983894,0,0,-0.0111584166275019,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.184043803770415,0,0,0.293144186541665,0.279409816206653,0,0,0,0,0,0,0,0.0413327516310222,0,0.0980771606877888,0,0,0,0,0.157320041280728,0,0,-0.0412842036107752,0,0,0,0,0,0,0.0908295290448178,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,-0.153033308909754,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.169211680197917,0,-0.11316892323145,0.105957591436845,0,0,0,0.249142997310086,0,0,0,0,0,0,0,0.0244631256029777,0,0,-0.116516218800997,0,0,0.16737037900499,0,0,0.474610859987385,0,0,0,0,0,0,0,0,0,0,0.00882320680329473,0,0.0338337269772746,0,0.148984565920465,0,0,-0.0433493787374199,0,0,0,0,0.163800581901304
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623351066845408,0,0,0,0,0,0,-0.153051895177066,0,0,0.0273954588136851,0,0.016155964022098,0,0,0,0,0.124450504339638,0.448623313391944,0,0,0,0.134118657874512,0,0,0,0,0,0,0,-0.175572264142102,0,0.257724944919938,0,0.232532244075341,0,0,0,0,0.174201690634289,0
X388.HK.EQUITY,0,0.139384413360687,0,0,0,0,0,0,0,0,0,0,0,0.118367595062958,0,0,0,0,0,0,0,0,0,0,0.0187697260537317,0,0,0,0,0,0,0.394413506414952,0,0.171476618709426,0,0,0.0444250443788444,0,0,0,0,0.0297764915029894,-0.231909457478113,0,0,0.326543893527253,0,0,0,0
