,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.232678971579811,0,0.11678438012794,0,0,0,0,0.25391346444782,0.05829739936026,0,0.160876955027056,0,0,0,0,0,0.107295406034582,0,0,0.0148962099043533,0,-0.0664351602388007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366510242848825,0,0,0,0,0,0,0,0,0.0301774077536584,0,0,0,0
X601939.CH.EQUITY,0.458487258585195,0,0,0.0178347292184506,0,0,-0.0321462198362798,0,0,0,0.191732096622692,0,0.22822106862837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086157707119767,0,0,0,0,0,0,0,0,0,0.000192297104266319
X601318.CH.EQUITY,0,0,0,0,0.14816451182442,0,0,0,0,0,0.00573460084819226,0.287472823480299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241653507378286,0,0,0,0,0,0,0.00686959858051907,0,0,0.0738477717429958,0,0,0.0691909860722673,0,0,0
X601288.CH.EQUITY,0.424685781757549,0,0.0177960304306078,0,0.209109544634368,0,0,0,0,0,0,0,0.0163071328515289,0,0,0,0,0,0,0.0720848178192266,0.119496036630897,0.0417452022128291,0,0,0,0,0,0,0,0,0.0183717141288533,0,0,0,0,0,0,0,0,0,0.0307443182191765,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.235786336226707,0,0,0,0,0,0,0.278958543453786,0.310631265331369,0,0.0919023696051172,0.0309063312143573,0,0,0,0,0,0,0,0,0,0.0364923868823363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533100792939429,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0196609344102839,0,0,0,0,0,0,0,0,0.409571068856041,0,0,0,0,0,0,0,0,0,0,0.0527905766034461,0.0138072110035432,0.126798096259507,0,0,0,0,0,0,0,0,0,0,0.0863293017559446,0,0,0,0.0580437570259459,0,0,0,0,0,0,0,0,0,0.265162483595709
X1299.HK.EQUITY,0,0,0,0,0,0.117635429939635,0,0,0,0,0,0,0,0,0,0,0,0.00564785077614251,0,0,0,0,0,0,0,0,0.074373379882204,0,0,0.158495730657838,0,0.0455335466453391,0,0,0.1984930811111,0,0,0,0,0,0,0,0,0,0,0,0,0.199582869779804,0,0
X5.HK.EQUITY,0,-0.0391055011574274,0,0,0,0,0,0,0,0,0,0,0,0,0.340754746772692,0,0,-0.176893537721837,0,0,0,0,0.945402183796564,-0.817079979550954,0,0,0,0.604451597310996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301995256835946,0,0,0,0,-0.248716218252008,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.334681292783132,6.93889390390723e-18,0,0,0,0,0.199156162218211,0,-6.93889390390723e-18,0.11238206877284,0,0,0,0,0.0529375239894467,0,0,0,0,0,0,0,0,0,0,0.0642464689536936,0,0,0,0,0.0801541955721525,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.349157001637193,0,0,0,0.0706609549657709,0.099456466888962,0,0,0,0,0,-0.340486363360903,0,0,0,0,0,0,0,0.0868477600768689,0,-6.93889390390723e-18,0,0,0,0,0.726215322127335,0,0,0,0,0,0,0,-0.0161121199630216,0,0,0,-0.122751269307053,0,0,0,0.475054246963027,0,0,0,-0.117749254871039
