,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.599231547750546,0,0.0207569014744299,0,0,0,0,0,0.0846235463494115,0.0884397768009659,0,0,0,0,0,0,0.0691169663543045,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.0101277575870163,0,0,0,0.103069819896723,0,0.00998286887049252,-0.000241125062209024,0,1.73472347597681e-18,-0.0135592972956475,0,0.0290606958412763,-0.0390186449896413
X601318.CH.EQUITY,0,0,0,0.118779230631565,0,0,0,0,0.0589417516306569,0,0,0,0,0,0,0,0,0,0.231198674186568,0,0,0,0,0,0,0.0383219200029773,0,0,0.0410755488968616,0,0,0,0.114086045599073,0,0,0,0,0,0,0.194654411885665,0.0755979968753783,0,0,0,0,0,0.0784581305715875,0,0
X601939.CH.EQUITY,0.154691739142915,0,0,0.303980535529363,0,0.254493248860669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995677477554084,0,0,0,0.080532560706531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502648994669412,0,0
X601288.CH.EQUITY,0.013488319389829,0,0.290115700117871,0,0,0,0,0,0,0.21381871295105,0,0,0,0,0,0,0,0,0.0506461902962481,0,0,0,0,0,0.0126961952077214,0.223359734493377,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0730936013996546,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0440424337740766,0,0.565080253050079,0,0,0,0,0,0,0.111482942634377,-0.279773439742728,0.23371775227695,0.229273865883282,0,0,0,0,0,0,0,0,-0.129048600166087,0,0,0.117291207366918,0,0,0.111843617851855,4.33680868994202e-19,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.715608661750896,0,0,-0.0735661702475533
X601988.CH.EQUITY,0.0726241704649353,0,0.197747368111911,0,0.0376171841189864,0,0,0,0.0503775985622687,0,0,0.0731139279896449,0,0.129005322254846,0,0,0,0,0.122396754269753,0,0,0,0.422336092893637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409786693009321,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246896203551995,0,0,0,-0.0230269204322468,0,0,0,0,0,0.0753475223225002,0,0,0,0,0,-0.00779093016024675,0.700558939136296,0,0,0.0287380803816766,0.0975498301594174,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0667842044663828,0,0,0.0497554633260686,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0431092174958367,0,0,0,0,0.261310331336359,0,0,0.170863571329077,0,0,0,0,0.0715700787319548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.162573905683963,0,0,0.0108859113984425,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457941963417997,0,0,0,0,0,0,0,0.152230624371126,0,0,0,0,0,0,0,0,0,0,0.369345304813605,0,0,0,0.215498902015959,0.0646805756294077,0,0,0.0187902699470131,0,0,0,0
X601328.CH.EQUITY,0,0,0.0676046205370847,0,0,0,0.140840738724151,0,0,0,0,0,0,0.206916123296751,0,0,0,0,0,0,0,0.240677546719047,0,0,0,0,0,0,0.0772830513868176,0,0,0.00353132470366741,0.0355605090505528,-0.00737129496302715,0,0,0.0116153443532218,0,0,0.237372690719422,0,0,0,0,0.0335487408676364,0,0,0.0140390737807536,0
