,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0642026693194895,0.220496532239186,0,0,0,0,0,0,0.467008892823862,-0.218169047373912,0,0,0,0,0,0,-0.118353528044084,0,-0.0264796095315201,0,0,0,0,0,0,0,0.73488065448511,0,0,0,-0.0184014107003225,-0.0672878832909032,0.0332267791734118,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.046695907291234,0,0.20410169628736,0.0109122864221442,0,0,0,0,0.08394811769082,0,0,0,0.0865975742905994,0,0,0.0445509461185351,0,0,0,0,0,0,0,0,0,0,0,0,0.186698452262772,0,0,0.21159668387564,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.212141357898067,0,0,0,0,-1.73472347597681e-18,0,0,0,0.225085549319595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104096491772826,0,0,0,0,0,-0.00148371890978387,-0.158731301105897,-0.198931336178067,0,0,0,0.0986648140569469,0,0.516497243773365,0,0,0.0348618413402364,0,-0.00691162357819426,0.145956949397173,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.110656726776872,0,0.0582767806945806,0.527689158755016,0,0,0,0.0104929116805315,0.123005628097752,-0.391946488655298,0,0,-0.288464016721917,0,0,0,0,0,0,6.93889390390723e-18,0.0132376765542257,0,0,0,0,-0.400036050917781,0,0,0,0,0,0.0521879370263614,0,0,0,0,0,0,0,0.548700236208447,0,0
X5.HK.EQUITY,0,0,0,0,0,0.126818129424982,0,0.132973544349331,0,0,0.050198242743529,0.0305011637114266,0,0,0.253165748555633,0,0,0.151903688902435,0,0,0.036621717255226,0,0,0,0,0,0,0,-0.0490302730228722,0,0,0,0,0,0,0,0,0.0341477857543307,0.0233298599804786,0,0,0,0,0,0,0,0,0,0.172152895467358
X601988.CH.EQUITY,-0.0256677948435535,0,0,-0.0271057859327682,0.437930071120246,0,0,0,0,0,0,0,0,0,0,0.0514281958054415,0,0.055179986960964,0,-0.230993955332396,0,0,0,0,0.357660067322589,0,0,-0.0480134117209443,0,-0.445786589719723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310366219188057,0.155731195152684,0,0,0
X600036.CH.EQUITY,0,0.31185449374795,-0.0425970961061704,0,0,0,0,-0.165841574528113,0,0.578721136706044,0,0,0,0,0,0,0.10958358767329,0,0,0.321426469063274,0,0,0,0,0,0,0,0.10383426042015,0,0,0,0,0,-0.116385339160514,0,0,0,0,-0.0223384295326555,0,0,0,0,0,0,-0.0486813452068736,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.242808522001702,0,0,0,0,0,0,0,0,0,0,0,0,0.0175753228387877,0.0764811821738072,0,0,0,0,0,0,0.253905509654809,0,0,0,0,0.0854981604952748,0,0,0.0865566547114082,0,0,0,0,0,0,0,0,-0.0655284168099773,0,-0.113579662150914,0,0,0.0419014043855573,0
X601628.CH.EQUITY,0,0.0653245134140942,0,0.0666150636034924,0,0,0,0,0,0,0,0,0.0628417872299231,0.105950756116392,0,0,0,0,0,0,0,0,0,0,0.13885584332843,0,0,0,0,0,0,-0.0403967194227582,0,0,0.157601264249535,0.161340604263257,0,0,0,0,0,0.25474063406776,0,0,0.169952284068953,0,0,0,0
X601328.CH.EQUITY,0,0,0.122985759621861,0.0560386517051339,0,0,0.661958671262902,0,0,0,0,0,0,0,0,0,-0.00803429193163309,0,0,0.243969444554234,0,0,0,0,0,0.265586166442119,0,0,0,0,0,0,0,0,0,0,0,-0.0925525830655221,0,0,0,0.018732612387328,0,0,0,-0.456589161915012,0,0,0
