,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.23577471948851,0,0,0.0872990245310565,0,0.241271783974676,0,0,0,0,0,0.12801792692701,0,0,0,0,0,0,0,0,0,0,0,0,0.0383303725107571,0,0,0,0,0.0942250185182906,0,0,0,0,0,0.0226300423160715,0,0,0,0,0,0,0.107187712242389,0,0,0,0
X601318.CH.EQUITY,0.13176921947467,0,0,0,0,0,0,0,0.184579513764486,0,0,0,0,0,0,0,0.241286563728763,0.0451868166611919,0,0,0,0,0,0,0.0316428580697162,0,0,0,0,0,-0.0596682287944291,0.148664724594469,0,0,0,0.122615450889343,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0557397824783551,0,0.048694567287873,0,0.0893002267379703,0
X601939.CH.EQUITY,0.0607785120302566,0,0,0.268670705683371,0,0.0503244824069174,0,0,0,0,0,0,0,0.42296041013406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437507932950581,0,0.0660213916814395,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299786397547447,0,0.102311200389255,0,0,0.352274608366226,0,0,0,0,0,0,0,0,0.0250790846457177,0,0,0,0,0,0,0.00567351676263133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462378184750046,0,0,0,0.0596796629106617,0,0,0,0.106438688344237,0.00772143486646759
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749939012332957,0,0,0,0.0683170267438191,0,0,0,0,0,0.0971311222818137,0.14493787792952,0,0,0.55400544287626,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0352159244895387
X601988.CH.EQUITY,0.223781573576262,0,0.0103306718482375,0,0,0,0,0,0,0,0,0.195681381729283,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.168228025247671,0,0,0,0,0,0.0548595797138417,0,0,0,0,0,0,0,0,0.286685407073569,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605912,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481285,0.0153258113010975,0,0.106723170762226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378703347856519,0,0,0.170817948606969,0.0133278577003496,0.0714930752616521,0,0,0,0,0,0,0,0,0.272651856964086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0
X601658.CH.Equity,0,0,0,0,0,0,-0.640187957398626,0,0,0,0,0,0.215131325794509,0,0,-0.596485146735573,0,0,0,0,0,0,0,0.471889272453694,0,0,0,-0.00235336245187959,0,0,0.224485582249117,0,0,0,0,0.0391964397146897,0,0,0,0,0.42372811275713,-0.294640606628199,0,0,0,0.750211208714225,0,0,0,-0.0513854347195155
