,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.146020647058475,0,0.650525124727077,0,0,0.000408301793752152,0,0,0,0,0,0,0,0,0,0,0.110431972869296,0,0,0,0,0,0,0.0114527509744945,0,0,0,0.0695992276324369,-0.0229460960614206,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0235547211194572,0,0.014355048477843,0,0,0,0,0.256869753909441,0,0,0,0,0,0.529386886853374,0,0,0,0,-0.062374710973281,0,0,0,0,0,0,0.0558768715981988,0,0,0,0,0,0.112398807827918,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.351332769857378,0,0,0,0,0,0.140630430610271,0,0,0.0781227451358484,-0.106102768559632,0.100772034521695,0.196031718408649,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0522613896069596,0,0,0,0,0,0,0,0,0,0,0.177144898859982,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0
X601288.CH.EQUITY,0.16121908004308,0,0.00240325761660889,0,0,0,0,-0.0483161937888238,0,0.0156512626468873,0,0,0,0.0211144695836587,0,0,0.621482859498686,0,0,0,0,0,0,0,0,0,0,0,0.0239617419946645,0,0,0,0,0,0,0,0.0688326356151086,0,0,0,0,0,0,0,0,0,0.0411538289382312,0,0,-0.049392752890142
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0817510548945828,0,0,0.245104770923757,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403354447794749,0,0,0,0,0,0,0,0,-0.0406373080337806,-2.16840434497101e-19,0,0.011106117920469,-0.0672179369168833,0,6.93889390390723e-18,-0.0045286085269101,0,0,-0.0752385098709866,0,0,0,-0.0567709423696535,0,0,0,0,-0.135202414056096,0.896910541543177,0
X1299.HK.EQUITY,0,0,-0.129645608629125,0,-0.0792181305827025,0,0,0,-0.0154829356900718,0.279863930098543,0,0,0,0,0,0,0,0,0,0,-0.124662477981641,0,0,0,0.188743355584197,0,0.373210645141556,0,0,0,0,0,0,0,0,0,0.0692413478313467,0.0598853123758594,0,0,0,0,0.0567231224865745,0,0.156795683999317,0,0,0.119738893702602,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270488550307757,0,0,0,0,0,-0.121804428477901,0,0,0,0,0.180250890314799,0,0,0,0.0314681531757641,0,0,0.373483264224047,0.0450767400045368,-0.0784833229439409,0,0,0,-0.0894881333819199,0,0.10702373844694,0,0,0,0,0.195288415771161,0.0193781834267443,0.187428496407803,0,0,0,0,0.140655441861512
X388.HK.EQUITY,0,0,0,0.136813106538336,0,0,0,0.0584366115781578,0,0,0,0,0,0.0600615404819044,0,0,0,0,0,0,0.0653581012920655,0.121854265612356,0,0,0.0785341698837605,0,0,0,0,0,0.178988962802121,0,0,0,0,0,0.0702291818597879,0.102170198357789,0.185369940209785,0,-0.302943399246087,0,0,0,0.0342377783645392,0,0.254998115978685,0,0,0
