,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.219669325521806,0,0.309051210969021,0,0,0,-0.0213838825952635,0.244058890802388,0,0.117569261266916,0.0304537257444264,0,0,0,0,0,0,0,0,0,0,-0.131943456743194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102461347675758,0,0.0106248378166607,0
X601939.CH.EQUITY,0.353792212462684,0,0,0.286605017719482,0,0,-0.0959491227836054,0,0,0,0.00277336976005343,0,0.140044844926118,0,-0.0647215797962425,0,0,0,0,0,0,0,0,0,0,0.0316051715577562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201206091675644,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0
X601288.CH.EQUITY,0.471861214672496,-6.93889390390723e-18,0,0,0.258436392452588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087242538382628,0,0,0,0,0,0,0,0,0,0,0.0273686437041223,0,0.0348939615413979,0,0,0,0,0,0,0,0.0708849302168191,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.204153861320988,0,0.243944758266764,0,0,0,0,0,0.254131162874093,0,0,0,0,0,0.359190710544461,0,1.38777878078145e-17,0,-0.0267843024927834,0,0,0,0,0,0,0,0,0,0.0317800155744254,0,0,0,0,0,0,-0.0977369390612227,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0
X1299.HK.EQUITY,0,0,0,0,0,0.0848826919585614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055739824523111,0.244769965802338,0,0,0.130178139645833,0,0,0,0.134188250502058,0,0,0,0,0,0,0,0,0,0,0,0.146695379407701,0.044360416705653,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330692466727163,0,0,0,-0.295812822037912,0,0,0,0,0.893550741279759,-0.782425408625774,0.0355808757354531,0,0.627012583355536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305919055219289,0,0,0,0,0,-0.207337855524235,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.324271497448317,0,0,0,0,0,0.208862760053198,0,0,0,0,0,0,0,0.185677572813179,0,0,0.0658250206581466,0,0,0,0,0,0,0,0.0417392512433824,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0982005674979156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323483358290142,0,0,0,0,0,0,0.362657367143309,0,0,0,0.131780063218055,0.059130468404344,0,0,0,0,0,0,0,0,0,0,0,0,0
