,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0336969620426483,0,0.658304720856397,0,0.013008845119268,0,0,-0.0302233139403781,0,0,0,0,0,0,0,0,0.092982505200615,0,0,0,0,0,0,0,0,0,0,0,-0.00298329870929903,0,0,0,0,0,0,0,0,0,0,0,0,-0.014723702402902,0,0,0,0,0.165310630898298,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0070280039012273,-0.0303867902854261,0,0,0,0.169093104516704,0,0,0,0,0,0.466079756456511,0,0,0,0,0,-0.093355495028262,0,0,0,0.109956267383774,0,0.115551686299757,0,0,0.157563922474495,0,0,0.10538196647871,0,0,0,0.0192752580671396,0,0,0,0,0,0,1.38777878078145e-17,0.0433200556954485
X601939.CH.EQUITY,0,0,0,0,0.23654804385078,0,0.246611109177492,0,0,0,0.1578118733476,0,-0.107280604671784,0,-0.00648149088454263,0,0,0,0,0,0.090396470710934,-0.0705197899156132,0,0.515127664673182,0,0,0,0,0,-0.0305033820062105,0,0,0,0,0,0,0,-0.0404526073953796,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000664467711805162,0,0,0,0,0,0.414198038290691,0,0,0,0.0132034302383606,0.0952937883291063,0,0,0,-0.0347587981320257,0,0,0,0,0.0427531168312168,0.302584654418587,0,0.204993949104163,0,0,0,0,0,0,0,0,0,0,0,0.0757829621459695,0,0,0
X601288.CH.EQUITY,0.207031070670226,0,0,0,0,0,0.148528132759638,-0.0107596066413872,0,0.034898658865683,0,0,0,0,0,0,0.178241544543527,0,0,0,0.119913369438302,0,0,0.217519217919868,0,0,0,0,0,0,0,0,0,0.0224630639515473,0,0,0.162279091375535,0,0,0,0,0,0,-0.0414573687304205,0,0,0.0214486339194305,0,0,-0.0738003942900012
X600036.CH.EQUITY,0,0.25691554889515,0,0,0,0,0,0.0506691600974301,0,0,0,0,0,0.276152542069317,0,0,0.0195424158900929,0,0.107570991872622,0,0,0,0,0,0.235112694375622,0,0,0,0.0651702340271904,0.076360413480073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.012696040033184,0,0.111898534224567,0,0.277895237768268,0.288618980753277,0,0,0,0,0,0,0,0.0863268094437668,0,0,0,0,0,0,0.106665022244351,0,0,0,0.0988106138154784,-0.0728117765793797,0,0,0,0,0,0.0666683733716546,-0.0819636078737433,0,0,0,0.0488499093370124,0,0,0,0,0.0706705761373313,0,-0.103253728037494,-0.022161891735612,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.168606767176808,0,0,0,0,0.320429453066251,0,0,0,0,0.0828294855153651,0,0,0,0,0,0,0,0,0,0,0.115836961649073,0.390207009030957,0,0.101657530556138,0,0,0,0,0,0,0,0,0.0346565320994559,0,0,0,-0.110526607926453,0,0,0.105691722488813,0,0,0.214971193049004,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.111701534458187,0,0,0,0,0,-0.10707439822917,0,0,0,0,0.0533635869850014,0,0,0,0.108595494653761,0,0,0.379714804815224,0.145432406310357,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0706777312164251,0.2034507874491,0.276137521974357,0,0,0,0,0.0935164362649259
X388.HK.EQUITY,0,0.148635640211653,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0342265659588375,0,0,0,0.242244556397895,0,0,0,0,0.17436939905159,0,0,0,0,0,0,0.155429179958107,0,0,-0.104022130309479,0,0,0,0.0288995142075544,0,0.114123975129087,0,0,0
