,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.231780994071445,0,0,0,0,0,0,0,0,0,0,-0.27054331910137,0,0,0,0,0,0,0,0,0,0,0,-0.319268748383507,0,0,0.786022080959698,0,-0.180390369624138,0,0,-0.0510883418000568,0.268727112196031,0,-0.0225178176099307,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145279321504764,0,0.121544918122491,0.0318300927561557,0,0,0,0.0401780457401881,0,0,0.028708746222546,0.148349727517492,0,0,0,0,0,0,0.0402360836197779,0,0,0,0,0.0644852724482364,0,0,0,0,0,0,0,0,0,0.372370744137195,-0.0771696250588405,0.0273747223245918,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.22984680217297,0,0,0,0,0,0,1.38777878078145e-17,0.0115068816621063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105008707921458,0,0,0,0,0.0386764774251888,0,0.0328548412281472,0,0,0,0,0,0,0.345347582726743,0,0,0,-0.00650176248666733,0.0961775322770369,0,-8.67361737988404e-19,0,0,0,0.0382462455389417
X601288.CH.EQUITY,0,-8.67361737988404e-19,0,0,0,0.243199622762774,0,0,0,0.00653974788904868,0,0,0.0835560807497625,0,0,0,0,0,0.126447480732422,0,0,0,0,0,-0.0181927495748256,0,0.114881982811497,0,0,0,0,0,0,0,0,-0.0769370808607671,0,0,0,0.292328164660761,0,0.0097968870775078,0,0.127928948908507,0,0,0,0.0814195077171299,0
X5.HK.EQUITY,-0.101903295861731,-0.252028209421676,0,0.113451330215438,0,0,0,0,0,0,0,0,0,0,0,0,0.326538338341415,0,0,0.126632047781596,0,0,0.198676447311004,0.405649577552918,0,0,0,0,0,-0.05391699795539,0,0,0,0,0,0,0,0,0,0,0,0.181671594074659,0.0363026412749343,0,0,0,-0.0387490059089271,0,0
X601988.CH.EQUITY,0.192112628991376,0,0.00812208178261888,0.608893391049042,0,0,0,0,0,0,0.108298211480263,0,0.152571086595314,0,0,0.0988117938129019,-0.0904946267172052,0,0,0,0,0.0217446002972153,0,0.0371776876660082,0,-0.0226252687752433,0,0,0.0102796751809285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.722744493456506,0.0465760198092067,0,0,0,0,0,-0.164903265799767,0,0,-6.93889390390723e-18,-0.124979789443803,0,0,0,0,0,0,0.0773133427791872,0,0,0,0,0,0.058052170848492,0,0,0,0.0405817615487484,0.0929648069237231,0,0,0,0,0,0,0,0,0,0,0.228764201654688,0,0,0,0.0384905504829112,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39492275629308,0,-0.110240134894039,0.100941569585047,0.104875066549429,0,0,0.0256175265123689,0,0.0744229784763722,0.233318239202629,0,-0.16336407240614,0,0,0,0,0,0,0,0,0,0,-0.0307814669638965,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.172462330293742,0,0.0183083846952797,0,0,0,0,0,0,0,0,0,0.268860523418996,0,0,0,0,0.00101791204794099,0,0,0,0,0,0.145417339467666,0,0,0,0,-0.0402604999813624,0,0,0,0,0,0,0.113096258797671,0,0,0.0887657531042498,0,0,0,0,0,0,0,0,0.108292187201406
X601328.CH.EQUITY,0,0,0.035440042204118,0.342662539799721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169434050590308,0,0,0,0.156692668368064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
