,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.436623608121241,-0.00824810938139002,0.142014419193059,0.015160110786943,0,0,-0.0404129443139078,0,0,0,0,0,0,0,0.0297526095037127,0,0,-0.0593886167680076,0,0,0,0,0,0,0,0.0308738648886424,0,0,0.0665351618242613,0,0,0,0,0,0,0,0,0,0,0,0.00684310012020132,0.290383817480978,-0.0279541969345414,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0241366201574015,0,0,0,0,0,0.097138810519143,0,0,0,0.178558096626524,0,0,0,0,0.0346028405810996,0,0,0,0,0,0.123598937083836,0,0.0591922854148499,0,0,0.369487256299796,0,0.059205158575552,0,0,0,0,0,0,0,0,0,0,0.0471340862810333,0
X601939.CH.EQUITY,0,0,0,0.760730438860499,0,0,0,0,0,0.000678862138704162,0.072195557880135,0,0,-0.0362341814806979,0,0.140730278776657,0,0,0,0.0935506669737895,0,0,0.0107845617897522,0,0,0,0,0,0.0416918326419699,0,0,0,0,0,0,0.0160688808991384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.149866083551368,0,0.842945438913727,0,-0.0295047900320661,0,0,-0.0477586865181579,0,0,0,0,0,0,0,0,0.0095993632767448,0,0,0,0.0356279563029448,0,0,0.088389267192412,0,0,0,0,0,0,0,0,0,0,0.0643743956702372,0,0,0,0,0,0,0,-0.144716208792495,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00160120493063344,0,0.0866216605060437,0,0,0.1630391188846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00888052936886507,0,0,0,0,0,0,0,0,0,-0.00888229686106461,0,0,6.93889390390723e-18,-0.136766663525753,-0.00412079032508174,0,0.89903743885755
X1299.HK.EQUITY,0,0,0,0,0.0882835280733089,0,0,0,0,0.271752003267336,0,0,0,0.0898819484419579,0,0,0,0,0,0,0,0.267451123149269,0,0,0,0,0,0.0516211314403551,0,-0.072661798894943,0.0846803094568701,0,0,0,0,0,0,0,0,0,0,0,0,0.146639456666089,0,0,0,0.0223853748222292,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.254628467995976,0,0,0,0,0,-0.106498397933369,0,0,0,0,0,0,0.314762360474468,0,0,0.0646066108456662,0.114157964858148,0,0,0,0,-0.107816562885837,0,0,0.0728015034395419,0,0,0.115869037823541,0,0,0.302415869083262,0.168519638158795,0,0,0,0.0601642161657321,0
X388.HK.EQUITY,0,0.163530526934372,0,0,0.295444579006398,0,0,0.0318635357874657,0,0,0,0,0,0,0,0,0,0,0,0,0.0562257576455152,0.14225339602748,0,0,0.046483510608198,0,0,0,0,0,0,0,0,0,0,0,0,0.139025312552319,0.0432310211061204,0,0,0,-0.273749037210055,0,0,0.228365843268683,0,0.00279535625866373,0,0
X601658.CH.Equity,0,0.0543075417251985,0.0841571803479611,0.192298153144746,0,0,0,0,0,0,0,0,0,0,0,0.115975866298404,0,0.0124550666521899,0,0.00390012238393631,0,0,0,0,0,0,0.0612792550508553,0,0,0,0,0.183638173803433,0,0,0,0,0.0316076513012336,0,0,0.0700752549282842,-0.0255313683333902,0,0,0,0,0,0.00938594989586196,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0314748187386613,0,0,0,0,0.0395927158796775,0,0,0,0.465360054382606,0,0,0.0328410010132582,0,0,0.00049613631066972,0,0,0,0,0,0.0406073875734105,0,0,0,0,0,0,0.0747221964666282,0.0157636863113763,0,0,0,0,0.207337726591287,0,0,-0.0638492993300388,0,0,0,0,0,0.254264194733719,0,0
