,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.110579652428145,0,0.312074301528603,0,0.0600206958180324,0,0,0,0,0,0,0,0,0,0.00289402762240016,0.221163634913705,0,0,0,-0.071868439880228,0,0,0,0,0.00758116850532026,0,0,0,0,0.0381708633179411,0,0,0,0.124776073583666,0,0,0,0,0,0.131778279820152,0,0.0638506878673199,0,0,0,0,0.00167192611737571,0.184447610589209
X601318.CH.EQUITY,0,0,0,0.0820686004405125,0,0,0,0,0.154969039402718,0,0,0,0.113922300835035,0,0,0,0,0.0449588910582976,0,0,0.113528935662172,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.110482189404376,0,0,0,0.126061909623659,0,0,0,0,0,0,0,0,0,0,0,0,0.00849965536266678,0,0
X601939.CH.EQUITY,-6.93889390390723e-18,0,0,0,0.211276024997671,0,0,0,0,0,0,0.123000657375662,0,0.112672158934876,0,0,0,0,0.128766431452579,0,0,0,-0.00177793030821398,-0.154132479026183,0.470586792896753,0,0.165649795969015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107719842633279,0,0,0
X600036.CH.EQUITY,-3.46944695195361e-18,0.193897289350439,0,0,0,0,0.103301310147938,0.109680526414299,0,0,0,0,0.174469017176779,0.0708835080722766,0,0,0,0,0,0,0,0,0,0,0,0.255928783174878,0,0.060855097851275,0,0.0146661924433357,0,0,0,0,0,0,0,0,0,0.0344061462111606,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.225259203473326,0,0.0727341764000667,0,0,0.0219923761745699,0,0.184924697045447,0,-3.46944695195361e-18,0,0.160608001022258,0,-0.0126560904484387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119328664385315,0,0,0,0,0,0,0,0,0,0,0,0,0.0276356760584642,0,0,0.20557489339794,0,0,0,0,0
X601628.CH.EQUITY,0.168926315797974,0,0,-0.0750855342849791,0,0,0,0,0,0.0610620061579849,0,0,0,-0.0881829471121041,0,0,-0.0130675473221282,0,0.0442502577201956,-0.091228401260763,0,0,0,0.138808432579471,0,-0.0326355293389541,0,0,0,0,0,0,0,0,0,0.676804958086756,0,0,0,0,0,0,0,0,0,0,0,0.14401055949673,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.145263647165005,0,0,0,0,0,0,0,0,0,0,0,0,0.103742816016499,0,0,0,0,0,-0.267778448846833,0,0,0.00125634517053516,0,0,0,0,0,0,0.07801748947862,0.30127308718814,0,0.160629734107064,0.0689674299251403,0.106959206508008,0,0.0521540697401036,0,0,0,0
X601988.CH.EQUITY,0.0339256241723257,0,0,0.197310105212723,0.45078904455381,0,0,0,0,0,0,0,0.106752198200527,0,0,0,0,0,0,0.0995617881857888,0,-0.0582999809681496,0.169036509646769,0,0,0.249340726843007,0,-0.0864607231021783,0,-0.0746957622870005,0.127961335435709,0,-0.105758010488806,0,0.0856559997766394,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0217296652514326,0,0,0,0.186085156353529,0
X5.HK.EQUITY,0,0,0,0,0,0.0158710129633616,0,0.0406676420441295,0,0.0184209837981267,0,0,0,0,0,0,0,0,0,0,0.20388640956231,0.107838824272695,0.157795722091071,0,0,0,0,0,0,0.0311320343457034,0,0,0,0,0.0037468856576105,0,0,0,0.245029448779582,0,-0.0700308948839333,0,0,0.18936438330274,0,0,0,0.0594278710398205,0,0
X388.HK.EQUITY,0,0,-0.124471871295662,0,0,-0.147237252114417,0.160700381524278,0,0,0,0,0,0.000892527488736671,0,0,0,0,0,0,0,0,0,0.0908544803743724,0.481032093014966,0,-0.0101235022139276,0,0,0,0,0,0,0.0972705623570355,0,0,0,0,0,0,0,0.158201370531979,0,0,0,-0.0135657733079873,0.0830224357190957,0,0,0,0
