,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.651638998862386,0,-6.93889390390723e-18,0.0209638664605276,0,0.0614869174564006,0,0,0,0,0,0.073851408832614,0,0,0,0,0.0486874039786194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0562990412208396,0,-0.0374445867329572,0.0433549898679913,0.0199091922985675,0,0,-0.0201516749640538,0,0
X601939.CH.EQUITY,0.162521024589554,0,0,0.553465604902103,0,0.006859129513422,0,0,0,0,0.0231552100631739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765515800267431,0,0,0,0,0,0.130922691204744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071731,0,0,0,0,0,0,0,0.0856618070053874,0.295224657319176,0,0,0,0,0,0,0.141298559689517,0,0,0,0,0,0,-3.46944695195361e-18,0.0481459597541971,0,0,0,0.00322421444317474,0,0.066753043493994,0.192061172269157,0,0.0138952639575582,0,0,0,0.0199419352062423,0,0,0.0642714803056519
X601288.CH.EQUITY,0.116491376718423,0,0.006536939076155,0,0,0.0640568155794032,0,0,0,0.0825122119213003,0,0.0366364778997424,0,0,0,0,0,0,0,0,0,0,0,0,0.150469817602819,0,0.296849736418037,0,0,0.153343584336703,0,0.0581972919555264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0404016034882789,0,0.321663676992671,0,0,0,0,0,0,-0.320103252981478,0.221118697273598,0,0,0.118055780399266,-0.125864397114728,0,0,0,0,0,0,0,0,0,0.304652917788927,0,0,0.233328625294585,0.168475770980173,0,0,0,0,0,0,0,0.0548969156892543,0,0,0,-0.471137077698849,0,0,0
X601988.CH.EQUITY,0.263656199217911,0,0,0,0,0,0,0,0.114838436973823,0,0,0,0.00630398572233758,0.181157079712476,0,0,0,0,0,0,0,0,0.389989549055436,0,0,0,0,0,0.0475760030976363,0.0385138622830053,0,0,0,0,0,0,0,0.0357418995837194,0,0,0,0,0,0,0,0,0,-0.0257608482011967,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0456084373742067,0,0,0,0,0,0,0,-0.0338718571598779,0.00884583181747424,0,-3.46944695195361e-18,0,0,0,0,0.712555947173944,-0.0130226564617211,0.0506183006825527,0,0,0.120127707701776,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0951360937078688,0.0687222814555096,0,0,-0.0228567948650403,0,0
X1299.HK.EQUITY,0,0,0,0,0.234477916563015,0,0,0,0,0,0,0,0.171683098729336,0,0,0,0,0,0,0.124764902682314,0.00711165582475386,0,0,0,0,0,0,0.184744035113447,0.126575583945211,0,0,0,0,0.135956957684482,0,0,0,0,0,0,0,0,0,-0.112189022876817,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609526,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.029312847686522,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171816187528428,0,2.77555756156289e-17,0,0,0.115082987689891,0,0,0,0,0,0,0.256718604666465,0,0,0,0,0,0,0,0.224862344454233,0,0,0,0,0.065624659553697,0,0,0,0,0.00607940253322691,0,-0.00585862798759021,0,0,0,0,0,0.198596897317078,0,0,0,0.00221843668676099,0,0,0,0.0278527969971324,0
