,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0.0736786475225026,0,0,0,0,0,0,0.361173817767282,0,0,0,0,-0.0028773435757881,0,0,0,0,0.050145883324552,0,0,0,0,0.0675662358329082,0,0.171251187096078,0,0,0,0.208282761322185,0,0,0,0,0,-0.136608679189192,0,0,0,0,-0.0539463757600787,0,0,0,0,0,0,0,0.0760713738940089,-0.0128970892217983
X601939.CH.EQUITY,0.0946342097893801,0,0,0.343749315416556,0,0,0,0,0,0,0,0,0,0.216674391285699,-0.0933143527636773,0,0,0,0,0,0,0,0,0,-0.0371762904431639,0.289021220247385,0,0,0,2.77555756156289e-17,-0.0643584883073693,0,0,0,0,0,-0.0454167230541902,0,0,0,-0.0282486419387429,0,0,0,-0.0766806832707675,0,0,0.0799075870080845,0.12489144731526,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.492495565332394,0,0,0.11947211508157,0,0,0,0,0,0.0995841082504888,0,0.116547899772905,0.0228309124023875,0,0,0,0,0,0.142704307817524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155680560341323,0,0,0,-0.0416459611900441,0,-0.0289553337637755,0,0,0,0,0.0338711800658892,0,-0.0952565917421042,0,0
X601988.CH.EQUITY,0,0.170769480773375,0,0.340306538287884,0,0,0,0,0,0.25541659670672,0,0,0,0,-8.67361737988404e-19,0.230007529161786,0,0.0566141665403868,0,0,0,0,0,0,0.179423765127955,0,0.0735832864397125,0,0,0,0,0,0,0,0,0,-0.553270589360671,0,0,0,0.0657701751947188,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.179051354953369,0.0164044881119845,0,0,0,0,0,0.0987825566345562,0,0,-0.029550373204914,0.124209500869733,0,0,0,0,0.169860398580489,0,0,-0.0217404498700991,0,0,0.131470718510745,0.0296161256210249,0,0,0,0,0,0,0,0.367945213117393,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0310392719977204,0,0,0,0.0615747123565583,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.15454539443729,0,0,0,0,0,-0.140392946716144,0,0,0,0,0,0,0,0,0,0.293436590170042,0,0.106233524285514,0,0.0239830958261734,0,0,0,0,0.00416203146633106,0,0,0,0,0,0,0,0,0,0,0.120492612620443,0,0,0,0,0.060465095932049,0.25145986414737,0,0
X601658.CH.Equity,0,0,0,0,0.118489693597181,0,0,0,0,0,0,-0.106916903434202,0,0.114737327544696,0,0,0,0.096791944219205,0.227109195736601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15717603263964,0.323856419956638,0,-0.147225317425691,-0.135905514874538,0,0,0,0,0.104317760423852,0,0,0,0
