,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.182890340279877,0,0,0,0,0,0,0.177974836747493,0.138008971162274,0,0,0,-0.214766068788682,0,0,0,0,0,0.306682167819038,0,0,0,0,0,0.249136705845053,0,0.0422015454502393,0,0.12353053813521,0,0,0,0,0,0,0,0,0,0,0.110088313361236,0,0,-0.0412134570839202,0,-0.0997253023370174,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.175204691890024,0,0,0.148276190550335,-0.114920743020761,0,0,0.0909216578971043,0,0,0,0,0,0.00530934684504704,0,0,0,0,0,0,0,0,0,0.168220439361558,0,0,0,0,0,0,-0.229153031422296,0.327741804164483,0,0.1253687842553,0,0,0,0,0,0.13195352700296,0
X601939.CH.EQUITY,0.473538174869876,0,0,0,0,0.183907295489716,0,0,0,0,0,0,0,0.0324239493824141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365916988829665,0,-0.157250193289035,0.086880413456433,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.498531145114508,0.0303735994625724,0.154415931484762,0,0.171669695573513,0.0745119581114314,0,0,0.01273671139672,0,0,0,0.0295865435938758,-0.0459937329624798,0,-0.0420112735238757,0,0,0,0,0,-0.0554529051108553,0,0,0,0,0.0515997190376027,0,0,0,0,0,0,0.0291874238888974,0,0,0,0.158823660484079,0.163262177252693,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.181492493404591,0,0.00734475371406781,0,0,0,-0.183225395645393,0,0,0.335919511515883,0,0.213577735637684,0,0,0,0,0.463705474960798,0,1.73472347597681e-18,0,0,0,0,0,0,-0.169727877624028,0,0,0,0,0,-0.00555609594747614,0,-0.0784517328227713,0,0.0232310648857477,0,0,0,0.290370813495508,0,0,0,0,0.00591287859303348,0,0,0
X601988.CH.EQUITY,0.114608180737264,0,0.102794033453097,0.183965094754913,0.0149109405695884,0,0,-0.0119642829078664,0.164956290711961,0.0777496569391654,0.236489340852198,0,-0.370831097297281,0,0,0,0,0,0,0,0,0,0.0871230425655775,0,0,0,0.0924338482243242,0,0,0,0,0,0,0,0.0418692372072869,0,0,0,0,0,0,0,0,0,0.0534512546284879,0,0,0,0
X600036.CH.EQUITY,0,0.377671963772032,0,0,0,0,0,0.0336991276987987,-0.0112713659238781,0,0,0,0,0.288252235455389,0,0,0.0201819678057924,0,0,0,0,0,0,0.176949532602619,0,0,0,0,0,0,0,0.0930827317188558,0,-0.040054826358032,0.00054162126322485,0,0,0,0,8.67361737988404e-19,0.16740006638086,0,0,0,0,0,0.0164489977782774,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0427848826226144,0,0,0.0562947228971496,0,0,0,-0.0197895264794677,0,0,0.193135793374692,0.252926741033437,0,0,0,0.1602503306587,0,0,0,0,0.166976037883501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16822649873853
X601628.CH.EQUITY,0.0794351465166216,0.422931876994395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225032454798283,0,0,0.0368763693214019,0,0,0,0,0,0.0708383473504966,0,0,-0.136916361548424,0,0,-0.0204078075346142,0.0252578296779032,0,0,0,0,0,0,0,0,0,0,0,0.222241661973551,0,-0.175724482372109,0.113018743417392
X601166.CH.EQUITY,0.131429016662061,0,0,0,0,0.0499475734298925,0.500937244485267,0,0,0,0,0,0,0.0645153770404017,0,0.267764589749883,0,0,0,0,0,0,0,0,0,0,0,0.0575302410633924,0,0,0,0,0,0.0894360824026478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
