,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.151824209619755,0,0,0,-0.089700145392472,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.192582219883391,0,-0.0284656185892446,0,0,0,-0.394759942055737,0,0,0,0,0.823033756797445,0,-0.198039198250212,0,0.30612333367616,0,0,0,-0.0397572978615001,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.214262135491746,0,0.165099642306456,0.0183648757882815,0,0,0,0,0,0.00643907653806056,0,0,0,0,0.0712748134419196,0,0,0,0.133018153554598,0,0,0,0.0019859700519044,0.0585880657124059,0,0.0382682924644463,0,0,0,0,0.25818045072025,0,0,0,0,0.0860179461537372,0,0,0.0488750524981009,0,0,-0.0595629295763402,0
X601939.CH.EQUITY,0.422393210121155,-0.0851873623275852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287394687127124,0,0,0,0,0,0,0,0,0,0,0.00940615078397953,0.0756706848545807,0,0,0,-0.239646606364757,-0.138076284624711,0,0,0,0,0.539967294386371,0,-0.024953251229375,0,0.119803752124233,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.34954921927301,0.142069215837897,0,0.566178556623015,0,0,0,0.309735296001525,0.107844368751237,-0.270433111910261,0,0,0,0,-0.184985464729698,0,0,0,0,0,0,0,0,0,0,-0.604450819255941,0,0,0,0,0,0,0,0,0,0.288609726252437,0,0,0,0,0.255919461745858,0
X5.HK.EQUITY,-0.0678235602594919,6.93889390390723e-18,0,0,0,0.00970892528680082,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.422588176907795,0,0,0.494866014008077,0,0,0.0449260381286012,0.0686125138301826,0,0,0,0,0,-0.130428219434197,0,0,-0.162307827093242,0,0,0,0,0,0,0,0,-0.147344729925261,0.204438923869814,0,0,0,0,0,0,-0.124837556022597
X601988.CH.EQUITY,-0.347980031537179,0,0,-0.0133100725586009,0.467625903861069,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0510951803937271,0,0,0.738609964840953,0,0,0,0,-0.561195917607364,0,0,0,0,0,0,0,0,0,0,0.141104036251598,0,0,0,0,0.143312716025871,0,0,0
X600036.CH.EQUITY,0,0.323176885440799,-0.0537761386516771,0,0,0,0,-0.00542794025061996,-0.0823839726945741,-4.33680868994202e-19,0,0.610688636170363,0,0,0,0,0,0,0,0,-0.0929144583860401,0.264779019083861,0,0,0,0,0,0.0750008293362113,0,0,0,0.173444114508207,0,-0.0861986285192645,0,0,0,0,0,0,0,0.113111694692841,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0260992813889251,0,0,0.139532985377045,0.0219013695949439,0,0,0.113918039203518,0,0,-0.0547907702985075,0,0.0480804058615355,0.244334558170187,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.123098717286796,0,0,0,0,0.178487255036703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.124420314530519,0.00848370803010351,0.0423055994501517,0,0,0,0,0,0,0.107583342268821,0,0,0.274277963760305,0,0,0,0,0,0,0.0540126023242387,0,0,0,0.0478437704277576,0,0,0,0,0,0,-0.0503469450554258,0,0,0,0.18004068028809,0.101834289040395,0,0,0,0,0,0,0,0,0.00102279993809327,0,0,0
X601328.CH.EQUITY,0,0.0360778218414262,0.079896452438577,0.0613860877962442,0,0,0.574450064633661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283794567363256,0,0,0,0.212804039182391,0.148528689786592,0,0,0,0,0,0,0,0,0,0,0,-0.0886405590056131,0,-0.0613375225061451,0,0,0,0.0212232816483486,-0.286009091844765,-0.00364311781716998,0,0
