,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.614488799599348,0,0.00946175345284822,0,0,0,0,0.00823777116825756,0.0919604123360729,0.0824564612035367,0,0,0,0,0,0.0214900552561071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1030023324672,0,0,0,0,0.0258991725530763,0,0,-0.0275867548588687,0
X601318.CH.EQUITY,0,0,0,0.100240450176249,0,0,0,0,0.0546129313111714,0,0,0,0,0,0,0.00836499292216857,0,0.243062124043021,0,0,0,0,0,0,0,0.0347921732589393,0,0,0.0500229658156953,0,0,0,0.101082441909336,0,0,0,0,0,0,0.19109217237461,0.0866305314259266,0,0,0,0,0,0.0821056092227243,0,0
X601939.CH.EQUITY,0.168590953743843,0,0,0.287450365720825,0,0.264826630366938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864983499885254,0,-0.0112575165807355,0,0.0864596763811654,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.0447512254616256,0,0
X601288.CH.EQUITY,0.313649681427756,0,0,0,-0.0491491740745009,0.0290056364032059,0,0,0,0.125191385111563,0,0,0,0,0,0,0,0.0563667125102831,0,0,0,0,0,0,0.0362477107791404,0.174431036909163,0.070877977193963,0,0,0.0995371799713403,0,0,0,0,0,0,0,0,0,0,0,0.112995027153208,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.58948157741155,0,0,0,0,0,0,-0.221768541084211,0.00811885865818195,0.213310694987767,0,0.254222339075071,0,0,0,0,0,0,0,0,-0.165373001619297,0,0.133806841244151,0,0,0.228000456241561,0,0,0,0,0,0,0,0,0,0,0,0,-0.738884059495472,-0.0041341671120135,-0.0966537335881853,0
X601988.CH.EQUITY,0.156582291505619,0,0.18991008436534,0,0,0,0,0,0.0221538448080523,0,0,0,0,0.1355501574891,0,0,0,0.0936831941311077,0,0,0,0,0.381989583536354,0.0130293368311093,0,0,0,0,0,0.0411877485805619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043721532487307,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0242872735341293,0,0,0,-0.0225468738457853,0,0,0,0,0.0745765090152361,0,0,0,0,0,0,-0.0076636709521671,0.69565657590626,0,0,0.0281924492495088,0.0934946925123361,0,0,0,0,0,0,0,0,0,0,0,0,0.0659413408072537,0,0.0494084002449223,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0422499791405191,0,0,0,0,0.257373298433465,0,0,0,0.168572043124779,0,0,0,0.0707142429073919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.162163860867175,0,0,0,0,0.0131833144990344,0,0,0,0,0,0,0,0,0,0,0.0328588036946389,-0.0160684484101686,0,0,0,0,0,0,0.147894901757245,0,0,0,0,0,0,0,0,0,0,0.359907524102675,0,0,0,0.215527026169049,0,0.032190669537761,0,0.0195542717095782,0,0,0,0
X601328.CH.EQUITY,0,0,0.0616368643958325,0,0,0,0.14468863654954,0,0,0,0,0,0,0.203230921345615,0,0,0,0,0,0,0,0.243313693598187,0,0,0,0,0,0,0.0778568196040459,0,0,2.16840434497101e-19,0.0445769367581274,-0.00710995710724453,0,0,0.00777846880207156,0,0,0.239753072438584,0,0,0,0,0.0361763890608688,0,0,0,0.0161460252690788
