,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0,0.107986836332671,0,0.0963045868000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440080018839696,0,0.448984893398082,0,0.159494017676176,0,0,0,0,-0.145399831764537,0,0,0,0,-0.162098116785759,0,8.67361737988404e-19,0,-0.754558472720703,0,0,0,0,0.0761656625508986,0,0,0
X601939.CH.EQUITY,0,0,0,0.246133823124449,3.46944695195361e-18,0,0,0,0,0,0,0.0465193763623063,0,-0.0219944435160812,0.346812256879781,0,-0.0671442999620692,0,0,0.0449697599222382,0,0,0,-0.0564685510795265,0,0.0289875051054396,0,-0.0741575648686209,-0.0505485737143287,0,0,0,0,0,0,0,-0.131974644760124,0,0,0,0.11121259884708,0,0,0,0,0.37876334079154,0,0,0.0402975246162915,0
X601318.CH.EQUITY,0,0,0,0,0.0200257012043164,0.347080873226365,0,0,0,0,0,0,0,0,0.0112636050093919,0,0,0,0,0,0.118915110087503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356401911270757,0.0429500169043656,0,0,0,0.0340890958087244,0,0
X601288.CH.EQUITY,0,0.570520263962724,0,0,0,0,0,-0.0495564204039027,0,0,0,0.154532044801123,0.0503000145557095,0,0.116619455526175,0,0,0,0,0,0,0.137399040473719,0,0,0,0,0,0.0302880275295116,0,0,0,-0.0850324377682857,0,0,0,0,0,0,0,0,0,0.0532995736033113,0,0,-0.0769334335422605,0,0,0,-0.0254007689126877,0
X601988.CH.EQUITY,0,0,0,0.527514323254767,0,0,0,0,0,0.143772970297653,0,0,0,0,0,0,0.343247816202638,0,0,0.229540561815336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.577979100226474,0,0,0,0,0,0,0,0.0635718107778451,0,0,0,0.0236019439781498,0
X600036.CH.EQUITY,0,0.0649859300445494,-1.35525271560688e-20,0.0455449945389174,0,0,0.0150471051065884,0.0619407543460581,0,0,0,0,0,0,0,0,0,0,0,0.0403167089306351,0.188457613733845,0,0.0312853216800349,0,0,0,0,0,0,0,0,0.105971514647647,0,0,0,0,0,0,0,0,0,0,0,0.15909747688382,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.118036785620694,0,0,0,0,0,0.22570984685315,0,0,0,0,0,0,0.0391780948139936,0,0,0,0.0561954446673939,0.0408247561134244,0,0,0,0,0.0444983543417245,0,0,0,6.93889390390723e-18,0,0.1313850486313,0,0.101723923232297,0.241460071387942,0,0,0.0545201452482381,0,0.0448965256138346,0
X601628.CH.EQUITY,0,0.0571034325517585,0,0,0,0.358091095287854,0,0,0,0,-0.15404261676338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156977023748412,0,0.11067261185009,0,0.0713290302411143,0,0.230886943940051,0,0.0680696111642781,0.161902920597418,0,0,-0.0794932097715525,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144706188890747,-0.136848899054265,0,-0.0028592382889853,0,0,-0.331365802546118,0,0.714942393159749,0.0788965208774654,0.474004022463395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106003683260601,0,0,0,0.212429395141696,0.119885928801433,0
X601658.CH.Equity,0,0,0,0.220053257545597,0.00116843757405242,0,0,0,0,0,-0.0305033390044365,0,0,0,0,0,0,0,0.272183433846915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090955952818432,0,0.239980140132796,0,0,0,0,0,-0.0406812141264783,0,0,0.108521761819276,0,0
