,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.521286873978637,0,0,0,0.122278701403971,0,0,0.0509986277143114,0.0496972177631528,0,0,0.169709868638227,0,0,0,0.0361530709978219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253425753569278,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.138634403060837,0.271478163761634,0,0,0,0.0338878158062956,0,0,0,0,0.315411264194568,0.0930382603908345,0,0.0647108559674942,0,0,0,0,0.0462316376191538,0,0,0,-0.0474802338647295,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0677964509404708,0,0.000619680106312668,0,0,0,0,0.00177655256374375,0,0
X601939.CH.EQUITY,0.456005636898524,0,0,0.221599115649324,0.155801773061746,0.0375493999942225,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0132942226870721,0,0,0,-0.0603259416874763,0.250268851045844,0.109630442130758,-0.152691472357203,0,0,0,0,0.00519000495694054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.217175920236176,0.103834716609876,0,0.853528994828856,0,0,0,0.0685513391198128,0,0,0,0,-0.139271617954123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581192463585812,0.0237911391914285,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.286596118168158,0,0.0870657151851157,0,0,0,0.0761052783139386,0,0,0,0,0,0,0.166454976663497,-0.199460828081058,0,0,0,0,0,0.0398042579548191,0,0,-0.0248070670975754,0,0,0.0193657703247466,0,0,0.201122517392534,0,0,0,0,0.387259940120995,0,0,0,0,0,0,0.19566799949834,-0.141027274039474,0
X601988.CH.EQUITY,0,0,0,0,0.320373128225623,0,0,0,0,0.0915115270771849,0.160064783536497,0,0,0,0,0.154161751771634,0,0,0,0,0,0,0,0,0.104716625336529,0,0,0,0,-0.182787937578321,0,0,0,0,0,0,0,-0.019330050426216,0,0,0,0.113160831887798,0,0,0,0,-0.0281250738856591,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102938574462725,-0.0483297694079654,-0.0362889709180791,-0.0137015150380594,0.0984307888768768,0,-0.107001738809349,0,0,0,0,0,0.516779442271638,-0.0425095318794664,0,0.085126572998851,0,0,0.138091422315004,0,0,0,0,0,0.0284761602371039,0,0,0,0,0.0266769713598831,0,0.242977983897263,0,0,0.097078177079659,0,0
X1299.HK.EQUITY,0,0,0,0,0.234139434791803,0,0,0,0,0,0,0,0,0,0,0,0.141188703537903,0,0,0,0.0331016049642764,0,0,0,0,0,0.0353131171460665,0,0.0335145843952753,0,0.0234591658702008,0.28514759516774,0,0,0.176980676191376,0,0,0,0,0,0,0,-0.0556592077407378,-0.225481415194024,0,0.0773241773501275,0,0,0
X601628.CH.EQUITY,0,1.73472347597681e-18,0,0.0318314958284555,0,0,0,0,0,0,0,0,0.132122010191632,0,0,0,0,0.409295220558574,0,0,0,0,0,0,0.00349863717659768,0,0,0,0,0,0,0,0,0,0,0.0655475402391699,0.182434797875952,0,0,0,0.190276362094348,0,0.0782388999656007,0.0490402125438371,0,0,0,0,0
X601328.CH.EQUITY,0.0130631922228608,0,0.371152134128237,0,0,0,0,0,0,0,0,0.428898656146011,0,0,0,0,0,0,0,0,0.0249147235381774,0.0515977659880749,0.148022268424351,0,0,0,0,0,0,0,-0.0208594427744435,0,0,0.0209912426600534,0,0,0,0,0,0.0505821605749926,0,-0.0544658726599107,0,0.210734386176544,0,-0.0169398020220805,0.079404084111834,0,0
