,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.158586848369968,0.0302385136337484,0.226944799984893,0.0470609955076176,0.095357604431094,0,0,0,0,0,0,0,0,0.167119778828839,0,0,0.126275086650912,0,0,0,0,-0.105655521303259,0,0,0,0.00763593281026882,0,0.0217709923269122,0,0,0,0,0,0,0,0,0,0,0,0.102469934800006,0,0,0.00649405342004818,0,0.025081253722009,0,0.0862170725991547,0.108836428635769
X601318.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0.114151311984854,0,0,0.0612037461979978,0.0421555571813721,0,0,0,0.0421900179625956,0,0.256206963087037,0,0.278282900336594,0.033962419439651,0,0.0142872168615367,0,0,0.0682837221025011,0,0,0,0.215090306383051,0,0,0,0,0,0.0033293069113389,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,8.67361737988404e-19,0,0,0,0.245188314606808,0,0,0,0,0,-1.73472347597681e-18,0.242458331861697,0,0,0,0,0,0.176746372586611,0,0.0330681228106808,0,-0.150333350498636,0,0,0.372854611313453,0.205090136374259,-0.0386694387592518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294782510940048,0,0,0,0,-0.0108089177910596,0,0,0
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.123130294215399,0.0201642254176699,0.14940534217572,0,0,0,0,0.268263257595864,0,0,0,-6.93889390390723e-18,0,0,-0.0629636734320063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136284926220073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238463403975332,0,0.115176487495416,0,0
X601628.CH.EQUITY,0.144915083101951,0,0,0,0,0,0,0,0,0.0423224605168524,0.0242466009393562,0,0,0,0,0,0.147333530646424,0,0,0,0,0.187629057141477,-0.133158234279434,0,0,0,-0.0360896026905951,0,0,0,0,0.188180954494127,0,0,0,0.60687297694993,0,0,0,-0.0207533083951422,-0.0646440490033085,0.0934031322427234,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136049872300042,0,0,0,0,0,0,0,0,0.0307642386312474,0,0,0,0,0,0,0.106955402486783,0,-0.239131893663381,0,0,0,0,0,0,0,0.00928816292290957,0,0.088918962005018,0,0.261790179999782,0.137955366434024,0.0666372393587461,0.0524529752524985,0.0822275094500628,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0928222676699837,0.106116735848073,0.166164408245448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230479902133912,0,0,0,0.211020395135556,0,0.0440763151573488,0,0.331412248345835,-0.0298373855394475,0,0,0.142509187807708,-0.0743134256200703,0,0,0,0,0,0,0,0.0902404551162966,0,0,0,0,0,0.0287023783328772,0,0,0,0
X5.HK.EQUITY,0,0.111628038480891,0,0,0,0,0,0.21385827453048,0,-0.0487531912227604,0.063032926609594,0,0,0,0,0,0,0,0,0,0.0881738386729049,0,0,0.126023923891728,0,0,0.204349842275795,0,0,0.0376297977084105,0,0,0,0,0,0,0,0,0.180139441264267,-0.116680913003334,0,0.144795354729664,0,0,0.105170987528501,0,0,0.0695098717042402,0,0
X601166.CH.EQUITY,0,0,0.0336037162937568,0.101195187231839,0,0,0,0,0,0,0,0.0325828580723674,0.0871317416186592,0,0.0510136502992002,0,0,0,0,0,0,0,0.165957012171222,0,0,0,0,0,0.362188128697687,0,0,0,0,0,0,0.0254690848085011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
