,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.112242032467798,0.00269909144200882,0.306398763176902,0,0.0545021315512091,0,0,0,0,0,0,0,0,0,0.00446302153335789,0.221575040525882,0,0,0,-0.0708830538513922,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0396250992218865,0,0,0.123386498364623,0,0,0,0,0,0,0.131959145736087,0,0.0624146553185517,0,0,0,0.00293748209130834,0,0.184891180993334
X601318.CH.EQUITY,0,0,0,0.142669433226843,0,0,0,0,0.134630731589735,0,0,0.0230056797509275,0.0895475816749337,0,0,0.0270013710470747,1.73472347597681e-18,0.082584834776099,0,0.260755680225029,0,0,0.012099331856481,0,0,0,0,0,0,0,0.211511297268948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841400213000717,0
X601939.CH.EQUITY,-6.93889390390723e-18,0,0,0,0.228633394435681,0,-0.0464089352388957,0,0,0,-0.0294389793649997,0.143896000186821,0,0.0637588613373365,0,0,0,0,0.17840852855402,0,0.0245140930115045,0,-0.144749288213111,0,0.450905092536958,0,0.151235869126144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.194009043742133,0,0,0,0,0.137157887815871,0.0921935422666757,0,0,0,0,0.192130666744351,0.0969470370194535,0,0,0,0,0,0,0,0,0,0,0,0.259590872052428,0,0,0,0.0608054780344217,0,0,0,0,0,0,0,0,0,0.0295138267134189,0.00512732000052659,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.169112861525581,0.154176149293209,0.174885567817401,0,0,0.0859274573681594,0,0.169469674123962,0,0,0,0,0,-0.0376160906272023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132932015574421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105407096073913,0,0,0,0,0.0899508898252639,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135974631236036,0,0,-0.0395964281945397,0,0.0565032309223182,0,0,0,0.129753762710054,0,0,-0.108940823858554,0,0,0,0.0112373626254539,-0.0200310881836744,0,0,0,0.735943895201775,-0.0720748303097283,0,0,0,0,0,0.0949876967112084,0,0,0,0,0.155243438495401,0,0,0
X1299.HK.EQUITY,0,0,-0.0792140085199529,0,0,0,0,-0.0453508469614318,0,0,0.140585625316195,0,0,0,0,0,0,0,0,0,0,0,0.0500165455823636,0.108493198766615,0,0,0,-0.243820271893428,0,0,0,0.0189990449231558,0,0,0,0,0,0,0,0.265606409539088,0,0.23670569864521,0.116458653316684,0.225237618876583,0.0273028098997818,0,0,0,0,0
X601988.CH.EQUITY,0.0854741357434922,0,0,0.452588762943707,0.134667004997083,0,0,0,0,0,0,0,0,0,0,0,0,0.146227264380055,0,0,0,0,0,0.144078792019108,0.146945007275419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321586600372185,0,0,0.010310328502638,0.0189020277850544,0,0,0,0,0,0,0,0.207608465431115,0,0.0996094596629682,0,0.128283887286417,0,0,0,0,0.0296099090868511,0,0,0,0,0,0,0,0.0128358440210274,0,0.243973053170172,0,-0.0669317172321202,0,0,0.191386622933188,0,0,0,0,0.0830356233636174,0
X601166.CH.EQUITY,0,0,0.050289935435724,0.0572470738254991,0,0.0276207059932325,0,0,0,0,0,0.0193898787086988,0.106100928617769,0.0682139071719654,0,0,0,0,0,0,0,0,0,0,0,0.163804354143259,0,0.368978991038811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490743243775258,0,0
