,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.33815448678331,0,0.160566259545445,0,0.0776995464933426,0,0,0.219923298111114,0,0.145232237277057,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0763894109447434,0,0,0,0,0,0,0,0.0597857342101809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.425354052405427,0,0,0.207424881630686,0,0,-0.123331715365052,0,0,0.042621504590902,0.00602310573336203,0,0.203909139863636,0,-0.0267607031265419,0,0,0,0,0,0,0,0,-0.00860122210774665,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372138401038872,0,0,-0.011630695175212,0,0,0,0,0,0,0,0.169320293387651,0,0
X601318.CH.EQUITY,0.0856221222104748,0,0,0,0.143602156497193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.0300042356629489,0,0,0,0,0,0,0,0,0,0.182749925678025,0,1.38777878078145e-17,0,0,0.244405416607641,0,0,0,0,0,0,0.0885160936854134,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292116850550142,0.158996448004742,0,0,0.124977854661303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163542737470663,0,0,0,0,0,0,0,0,0,0,0.0382718889682218,0,1.73472347597681e-18,0.0243226870050382,0,0,0,0.109935518181157,0,0.00070985944051641,0.0761637898546381,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00339636996506625,0,0.516412810235972,0,0,0,0,0,0.279456221768967,0,0,0,0,0,0.0696165611805021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164522999216308,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0150977725453818,0,0,0,0,0,0,0,0,0.351606686846488,0,0.0240579785051102,0,0,0,0,0,0,0,0,0.00661943189975111,0.112363380022723,0,0,0,0,0,0.0324532114570526,0,0,0,0.0498373387403914,0,0,0,0,0,0,0.0531860529671654,0.0682242563387439,0,0,0,0,0,0,0.285736362127535,0
X1299.HK.EQUITY,0,0,0,0,0,0.110700968596055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242740327406049,0,0,0,0.153990027249806,0,0,0.147899476984857,0,0,0,0,0,0,0,0,0,0,0,0.14987320569586,0,0.0294523191119733,0
X5.HK.EQUITY,0,-0.215733699599028,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-1.38777878078145e-17,0,-0.150510012438363,0,0,0,0,0,0,0,0.668709709594807,0,-0.343459415558907,0,0.787355564231884,0,0,0,0,0,0,0,0,0,0,0,0,0.433720689474751,0,0,0,-0.376949727210369,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127867187592492,0,0,0,0.146676409567573,0.127165015109889,0,0,0,0,0,0.189726784692003,0,0,0,0,0,0,0,0,0,0,0,0.0453892184229746,0,0,0.0275582480898326,0,0,0,0,0.251773260503712,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09687951922473,0.20918645468509,0,0,0,0.021555338854475,0.504774119057744,0,0,0,0,0,0.161007130182385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
