,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0648956870722443,0.135978558798625,0,0.012619949225537,0.0101614038929249,0,0,0,0,0,0,0,0,0,0.0638780774028438,0.158305711065209,0,0,0,0,0.104535268173799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735558810744018,0.0488332258960505,0,0.0152027529066134,0,0,0.0373301449415418,0
X601318.CH.EQUITY,0,0,0,0,0.0841224000922398,0,0,0,0.133997077323952,8.67361737988404e-19,0,0,0.0809586136269023,0,0.0750492212282859,0,0,0.0549427896992447,0,0.210101917287062,0,0.125828785073032,0,0,0,0,0,0,0,0,0.153738934412775,0,0,0,0,0,0,0.0615442613841678,0,0,0,0,0,0,0,0,0,0,0,0.0695611034259092
X601939.CH.EQUITY,0,0,0,0.0764845511258004,0,0,0,0,0,0,0.109034871075677,0,0,0,0,0,0,0,0,0,0,0,0.640813371832766,0,0.150098544333551,0,0,0,0.0821459707701593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.334118706462718,0,0.0333265999691689,0,0,0.0151553589955016,0,0.178327317487105,0,0,0.132032233174745,0,0,0,0,0,0.0243983238012573,0,0,0,0,0,0,0,0,0,0,0.123621248695961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127926333029938,0,0
X600036.CH.EQUITY,0.0346752731278503,0.0419557075589357,0,0,0,0,0.257082377714139,0.0462401214587571,0,0,0,0,0.220220424619464,0,0,0.148319315763552,0,0,0,0,0,0,0.181707088297235,0.232995208040149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112184426875141,0,0.0225481325165395,0.0423405006814297,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792206062904157,0,0,6.93889390390723e-18,0,-0.0198915702751874,0.214131374346463,0,-0.120384517611215,0,0,0,0,0,0.0422455374428692,-0.000836489226600115,6.93889390390723e-18,0,0,0.686826666302734,-0.0670390988229224,0,0,0,0,0,0,0.0955691347999895,0,0,-0.0762848458931829,0,0.135985211699255,0,0
X1299.HK.EQUITY,0,0,-0.0956234662310118,0,0.114039320981355,0,0,0,0,0,0,0.192413197712351,0,0,0,0,0,0,0,0,0.138976142710168,0,0,0,0,0,0.164629294210159,0,0,0,0,0,0.0493297123694678,0,0,0,0,0,0,0.0330042477035779,0.132638814185234,0,0.0862612069365583,0,0.0489801259832442,0.118259201291463,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.663404664388269,0.158414770334416,0,0,0,0,0,-0.00366355118062079,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0842373226391813,0,0,0.2374280691177,0,0,0.0077826094926325,0,-0.023928216397724,0,0.100469898029446,0,0.132653070986826,-0.0107978693294169,0,0,0,0,0,0,0,0,-0.0188519305447561,0,-0.0324887985526699,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00958341523484193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131023524450187,0,0,0,0,0,0.0858163669825074,0.180462408782058,0,0.0160039305867194,0,0,0,0,0,0,0,0,0,0,0.342797589092944,0,0,0,0,0,0.152739485795634,0,0,0,0
X601166.CH.EQUITY,0,0,0.0850490986907815,0,0.0419117946274632,0.0376630930508624,0,0,0,0,0.0348510276213687,0,0.12316341057883,0,0,0.0439824545312606,0,0,0,0,0,0,0,0.158185835160068,0,0,0,0.391090145797524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,6.93889390390723e-18,0
X601658.CH.Equity,0,0.0757670396277384,0,0.144518773332416,0,0,0,0,0,0.408792137649185,0,-0.0689510745021223,0,0,0,0,0,0,0,0,-0.0590226305595578,0,0,0,0,3.46944695195361e-18,0.115866467765741,0.128015633168486,0.286673717602365,0,0,-0.0155753020850648,0,0,0,0,0,0,0,0,0,0,0,0,-0.00117177264333187,0,0,-0.142295836258445,0,0.010693912966967
X388.HK.EQUITY,0,0,-0.0264912785624424,0,-0.204622465177495,-0.044921935851745,0.100439282066787,0,0,0,0,0,0.0519245269757697,0,-0.132491684127656,0.0309187222953936,0,0,0,0,-0.0364323365974563,0.584523131492698,0,0,0,0,0.250432115305088,0,0,0,0,0,-0.0799229048341386,0,0,0,0,0,0.159829552826922,0,0,0,0,0,0.0939265863812005,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0.363644284788116,0,0,0,0,0,0,0.113323979557181,0,0,0,0,0,0,0,0.103437403520501,0,0,0,0.50862119894836,0,0,0.202665148556796,0,0,0,-0.18797165763695,0,-0.139481990336131,0,0,0.138089746575888,0,0,0,0,-0.00852472859474296,0,0,-0.0986667990546884,0,0,0,0,0,-0.105301299689615
