,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.073753271396627,0,0,0,0,0,0,0,0.39145400224107,0,0,0,0,0,0.2253125492463,0,0,0,0.202864611730186,0,0,0,0,0,0,0,0,0,-0.0224380455570628,0,0,0,0,0,0,0.00854234697675319,0,0.238605731440172,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0666116423586997,0,0.110233459434054,0,0,0,0,0,-3.46944695195361e-18,0,0.0682970437569886,0,0.0561261819521528,0.00491820605579512,0,0,0,0,0,0.163136066690445,0,0.0482770962570515,0,0,0,0,0,0,0,0.254418546281258,0,0,0,0.131333629113034,0.04929795913358,0,0,0,0.116104455548828,0,0,0,0
X601939.CH.EQUITY,0.803935770804462,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.228964342262843,0,0,0.0704958736784458,0,0,0,0,0,0,-0.495358530777041,0.100974619451045,0,-0.0875470020226451,0,0,0,-2.77555756156289e-17,-0.218725137610364,0,0,0,0,0,0.717381568792357,0,0,0.0955430860563591,-0.0459074368408056,0,0.0917715518582769,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0487267033154996,0,0.154660121620781,0,0.257960343925956,0,0.0202440723702098,0,0.346200667049628,-0.104628879139464,0,0,0,0,-0.0746757792081193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.155553801307473,0.390489060363193,0,0,0,0,0,0,0,0.175587155138307,0,0,0,0,0,0,0,0.096703860212063,0,0,0,0.0462332781586988,-0.131612366872868,0,0,0,0,0,0,0,0,0.0578380014593906,0,0,0.141667221242965,0,0,0,0,0,0,-0.177730126816253,0,0.132565621243967
X601988.CH.EQUITY,0,0,0,0,0.187309067216011,0,0,0,0.0218097062816616,0,0.00824255982961519,0,0,0,0.117320624802755,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.184036326940285,0,0,0.316758303377123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754753801880447
X1299.HK.EQUITY,0,0,0,0,0.235985119766952,-0.00390785871890239,0,0,0,0,0,0,0,0,0,0.128419373101292,0,0.0829766580834132,0,0,0,0,0,0,0,0.133181122126425,0,0.0547919032348751,-0.0644012565939263,0.0924169438687312,0.0730356128660566,0,0,0,0,0,0.333103733391515,0,0,0,0,0,0,-0.0758558071170958,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,-0.0521384156625249,0,0,0.47406578994431,0,0,0,0,0,0.0224399701708542,0.201269614443668,0,0,0,0.343429185879863,0,0,0,0,0,0,0,0.189211073349691,0,0,0,-0.132463128633367,0,0,0,0,-0.174175133836202,-0.0353144675019885,-0.0782752289402444,0,0,0,0.140696055044249,0.0218858238759309,0,-0.0684431181115108,0,0
X601628.CH.EQUITY,0,0.236999616788173,0,0.0587581183128418,-0.0511231261709514,0,0,0,0,0,0,0,0,0,0,0,0.143806323946579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146074110410377,0.136223030343157,0,0,0,0,0,0.151115092136676,0,0.11607095331363,0.107546752984735,0,0,0,0
X601328.CH.EQUITY,0,0,0.0563337472782545,0,0,0,0,0.617272024389392,0,0,0,0,0,0,0.0392503641859007,0,0,0,0,0,0.17178947645054,0,0,0,0,0,0.0799322669617385,0,0,0,0,0,0,0,0,0.0773528657374939,0,0,0,0,0,8.67361737988404e-19,0,0.0810576958362826,0,0,-0.168833972105986,-0.0854823002896272,0
