,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0.724526186860728,0,0,0,0,0,0.00439321608073414,0,0.0362341759879897,0,0.0735916880319889,0,0,0,0,0,0.0050886956033609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714107442019515,0,0,0,-0.0197386742458114,0,0,0,0,0
X601939.CH.EQUITY,0.0922802164820158,0,0,0.316808403327456,0,0.333246399565467,0,0,0,0,0.0629288046724738,0,0,0,0,0,0,0,0,0,0.079969962000342,0,0,0,0,0,0,0,0.0107116310842504,0,0,0,0,0.0529001508175516,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0
X601318.CH.EQUITY,0,0.0176351121475321,0,0.0926358103197262,0,0,0,0,0,0,0,0,0,0,0,0.00893182722133872,0,0.00847570417354843,0.192183354974361,0,0,0,0,0,0.0104227941614493,0.0465734282588994,0,0,0,0,0,6.93889390390723e-18,0,0.214466413046173,0.0168096441435061,0.0445386994357191,0,0,0,0.236985293146126,0,0,0,0.0860560956463443,0,0,0,0,0
X601288.CH.EQUITY,0.190870472390194,0.0496361546764108,0,0,0,0.0318030586281508,0,0,0,0.162483190647708,0,0,0,0,0,0,0,0,0.0924733351375403,0,0,0,0,0,0.0233048751090413,0.259841209005397,0,0,0,0.0553374197781171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599554907939952,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.196927955305213,0.487369713155553,0,0,0,0,0,0,0,0.408431900848656,0,-0.314327963610424,0,-0.0406251932785941,0.13249080919004,0,0,0,0,0.272055689041621,0,-0.0584688674324456,0,0,0.0113662099645702,0,0,0,0.0381335569874504,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.731716524430217,0.00206227473984339,0,-0.105034443549277
X601988.CH.EQUITY,0.0286798746711797,0.231926522308562,0,0,0.0555452505602387,0,0,0,0.0919046797441632,0,3.46944695195361e-18,0.0682915814800012,0.140991386181089,0,0,0,0,0,0.116957977482172,0,0,0,0.383341868076621,0,0,0,0,0,0,0,0,0,0,0,0,0.0367590553314384,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.194678944899615,0,0,0,0,0.0632277769855918,0,0,0,0,0,0,0.207641873995512,0,0,-0.0915951561076732,0,-8.67361737988404e-19,0.214192483305784,0,0,0,0.00324640003994652,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0832601586194593,0,0,0,0,0,0,0,0,0,0,0.03009211574698
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249431413857156,0.000775799788559447,0,0,0,0,0,0,0.775957729755986,0,0,0,0.104931104959818,0.00414417668338143,0,0.000702287350072497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.140896355389022,0.0723330970211561,0,0,0,0,0,0,0,0,0,0,0,0.0306048994151056,0,0,0,0,0,0,0,0,0,0.0626762946053035,0,0,0,0,0,0,0,0,0,0.325120715758295,0,0,-3.46944695195361e-18,0,0,0,0.207980310959296,0.0712448980503762,0,-0.0261885216009803,0,0,0
X601328.CH.EQUITY,0.00162336393072313,0,0,0,0,0,0,0.171620275467562,0,0,0.0383789542752791,0,0.149564915913879,0,0,0,0,0,0,0,0,0.252392477971058,0,0,0,0,0,0,0.0314336278604647,0,0,0,-0.00883576696826064,0.0403104788012331,0,0.000780967889259224,0,0,0.0689024012104425,0.25625292286667,0,0.0395390948468846,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.292428224690009,0,0,0,0,0.0593157065487691,0,0.135738904426866,0.0590814200227428,0,0,0,0.05332750546655,0,0,0.0094431200863605,0,0,0.0618089710422681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100618927712907,0,0,0,0,0,0,0,0,0,0.0997355363025298,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.142604218533524,0,0,0,0,0,0,0,0,0,-0.00771409917717261,0.0742619409978808,0.0790311938485088,0.21703453918746,0,0,0,0,0,0,0.205008023914004,0,0,0,0,0,0.298102298000727,0,0,0,0,0,0,0,0,0.084149524248449,0,-0.0277090467116767,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.00744361376734043,0.123402679449417,0,0.171669391950084,0.0780538274994775,0.0861710236168309,0.0720098422045829,0,0,0,0,0,0.0366920238059808,0,0,0.0530052782254848,0,0,0.0973266455084872,0,0,0,0,0,0,0,0,0,0.0530724165680019,0,0,0,0,0.00202686422353153,0,0.210553725473222,0,0,0,0.00888297131625323,0,0,0,0,0
X16.HK.EQUITY,0.0863989850729187,0,0,0,-8.67361737988404e-19,0,0,0,-0.167600160602887,0,-0.00374787675714129,-0.036244868470139,0,0,0,0,0,0,0,0,0,-0.199423963935378,0,0,0,0,0.161467605566506,0,0,0.142621328372283,0.144103410813627,0.27489905821162,0.233784883587981,0,0,0,0,-0.007173120517956,0,0,0.0589171132666426,0,0,0.0564312118641691,0,0.142407435252268,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.0730594389837288,0,0.0203849377937198,0,0,0,0,0.0489400276219278,0,0,0,0,0,0.0584266355735834,0,0,0,0,0,1.0842021724855e-19,0.175215074530153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044726956739961,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0864397492761606,0,0,0,0,-0.00338888730298549,0,0,0,0,0.114299667697853,0,0.088559690799635,0,0,0,0.104781760305679,0.140327271523376,0,0.678600563763468,0,0,0,0,0,0,0.120951403153873,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,-0.423724078101138,0,0,0,0,0,0,0.0464190310815227,0,0,0,0,0,0,0,0,0,0.190221877861235,0,0,-0.199339062339538,0,0.202134026093168,0.175715575227675,0,0,0.190604833117134,0,0.112618553115734,0,0,0.503880429504728,0,0,0,0,0,0,0,0,0.111247850812058,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.464300770559108,0,0,0.124944778255598,0,0,0.0427517940325504,0,-0.0859448935333075,0,0,0.0342257633231207,0,0,0,0,0.0738873634306335,0,0,0.133177558340843,0,0.0542316170873323,0.062426509246554,0,0,0,0,0,0,-0.0268595241385749,0.0047407452587404,0,0,0,0,0,0,0.0926526980930218,0,0,0
X601601.CH.EQUITY,0,0.14678898287423,0.0255032972275695,0,0,0,0,0.158038583713782,0,0,0,0,0,0,0,0,0,0.0416479126003973,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144675002965566,0,0,0.128640977796399,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.258913178971847,0
X267.HK.EQUITY,0,0,0,0,0.419461962284794,0,-0.230167546993834,0,0,0,0,0,0,0.230919891101627,0.144110116458124,0,0,0.0833486215222844,0,0,0.0623129791034651,0,0,0,-0.072062133232768,0,0.0485983764435625,0,0,0.31167178618018,0,0,0,0,0,0,0,0.0923231485956739,0,0,0,0,0,0,0,0,0,0,0.0551741640475909
X688.HK.EQUITY,0,0,0,0,0.0861036308799884,0,0,0,0,0.179168496233861,0,0,0,0,0,0,-0.0386659670643127,0,-0.0907820004088867,0,0,0,0,0,0,0,0.0175922105578183,0.35795093415763,0,-0.0138384708995256,0,0,0,0.074873720531394,0,0,0,0,0,0,0,0,0,0,0,0.206842826971572,0,0,0
X601998.CH.EQUITY,0,0,0,0.0042878830712005,0,0.12828887230113,0,0,0,0.295591705404105,0,0,0,0,0,0,0,0,0,0,0,0,0.119139424560682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110376207738729,0,0,0,0,-1.38777878078145e-17,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.115381674619771,0.290699216002444,0,0.0878892062780088,0,0,0,0,0,0,0.0869595607259504,0,0,0,0,0,0,0,0,0.0493265785625992,0.000709844471039963,0,0,-0.0203989404649047,0,0,0,0,0,0,0,-0.00971090745624016,0,0.364895653983075,0,0,0,0,0,0
