,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.443889696156442,0.0634640739014119,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.13082655124632,0,0.0899584435262575,0,0,0,-0.120395594073798,0,0.0104093871661853,0,0,0,0,0,0,0.04761294363682,0,0,0,0,0,0,0,0.041386090265548,0,0,0,0,0,0,0,0,0,0.12130866826294,0.137853202155996,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0
X601939.CH.EQUITY,0.163250262631788,0,0,0,0,0,0,0,0,0,0.17060819162731,0,0,0.288585740742302,0,0,0,0,0.0431434900868616,0.177699298709322,0,0,-0.0326218912374802,0,0,0,0,0,0,0.0187536098984352,0,0,0,0,0,0.0878713111376705,0,0,0,0,0.0368252383550758,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.3470465151614,0,0.0192659884542072,0,0.502078290727302,0,0,0,0,0,0.0113151476441832,0,0,0,0,0,0.0453441948341746,-0.0268093439627027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0893340263561552,0
X601988.CH.EQUITY,0,0,0,0.115333514283484,0,0,0,0,0,0,0,0.475445479668433,0,0.0154452758735241,0,0,0,0,0,0,0,0,0,0.0388238688047888,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0895109649003698,0,0,0,0,0,0,0.0892757647609267,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0351222103175836,0,0,0.338241826119587,0,0,0,0.224354942963253,0,0,0,0.72066264773986,0,0,0,0,0.689795255827494,-0.614091610582749,0,0,0,0,0,0.082083183320974,0,0,0,0,0,0,0,0,0,0.127110996585382,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0796969060012639,0,0,0,0,0.0946972741825723,0.16824518632872,0,0,0,2.77555756156289e-17,0,0,0.049733386976007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267159662634289,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.22464009951306,0,0,0,0,0,0.0806892756370603,0,0,0,-0.111476325908153,0,0,0,0,0,0,0.45038958065549,0,0,0,0,0,0.146996431209465,0,0,-0.166232390624559,0,0,0.139598558209884,0,0,-0.022027669654825,0,0.575290922832425,-0.207908046747202,0,0,0,0,0.513040298523622,0,-0.230584051495332,0
