,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0649132776436208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0965965409375236,0,0.519202014750527,0.0251136240609273,0.590708361602083,0,0,-0.182118954902757,0,0.184450127860883,0,-0.162805874071094,0,0,-0.145719702102198,0,0,0,0,0,-0.0179677650503633,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.270201848574182,0,0,0,-0.0847808987118747,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193725814520979,0,0.00979953991197517,0.0390629363588117,0,0,0,0.227438750949757,0,0.158723418861193,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.833406579833794,0,0,0,0,0,0.0132650761663192,0.00056293750424353,0,-0.0492531764444058,0,0,0.0457332736108305,0,0.14073200641897,0,0,0,0.00892711867286769,0,0,0,0,0,0,0.0239567003426358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671661484405491,0,0.00895158415903221,0
X601288.CH.EQUITY,0,0,0.907867546997146,0,-0.0857859621996174,0,0,0,0,0,0,0,0,0,0,0,0.0184941538491683,0,0.135929626423306,0,0.0558123142475321,0,0,-0.0678468551166324,0,0.0275833972875617,0,0,-0.0150665346231607,0,0,0,0.0315080681627495,0,0,0,0,0,0.00199964956546374,-0.01452659873425,-0.0927777787198348,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0108301316498875,0,0,-3.46944695195361e-18,0,0,0,0,0,0.259942947541954,0,0.200009610831155,0,0,0,0,0,0,0,0.156101536351509,0,0,0,0,0,-0.134883201963622,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.385923586621126,0,0,0,0,0,0,0,0.0989578493852449,0.291425773250849,0,0,0
X600036.CH.EQUITY,0,0,0.131043961026819,0.197273805832356,0,0,0,0,0.0662328503662178,-0.0102271402545024,0,0,0,0,0,0.145410795005833,0,0.107982193466678,0,0.00816641191560553,0,0,0,0,0,0,0,0,0.150402964322755,0.139062947058115,0,0,0.0358754276667508,0,0,0,0,0,0,0,0,0,0,0,0.060151243621311,0,-0.0359977099925224,0,0,0
X601988.CH.EQUITY,0,0,0,0.00284522142695565,-0.136556049773701,0.0796573004387277,0,0.0512781559117074,0,0,0,-0.0218258195387148,0,0,0,0,-0.000939560675844696,0,0,0,-0.0439081153232944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108660603167997,0,0,0,0,0,0,0,1.05182989962409,0
X1299.HK.EQUITY,0,0,0,0,0.112465926993411,0,0,0,0.00955045991047932,0.0854637194635203,0,0,0.0740820470056965,0,0,0,0,0,-0.0426515864409582,0,0,0,0,0.168820114034762,-0.159898136166304,0,0.0448782807528818,0,0,0,0.278337158060335,0.209795863367279,0,0,0,0,0,0,0,0.0219972717140194,0,0.150447410716089,0,0,0,0,0.0998468583431907,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288190567766989,0,0,0,0,0,0,0.191764850198728,0.53186117094935,-0.0325736797706106,0,0,0,0,0,0,0,-0.00450087475752052,0,0,0.0491075341008592,0,-0.0841116152617088,0,0,0.0756121148656941,0.122064056834273,0,-0.108016499844958,0,0,0
X388.HK.EQUITY,0,0,0,0,0.310049076788464,0,0,0,0.0749428087293771,0,0,0,0,0,0.00521850759280694,0,0.054307492151638,-0.226213121937234,0,0,0,0,0,0.421451542153656,0,0,0,0.12894187555235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.273227370493115,0,0.105185619504532,0.183694613710612,0,0,-0.154954527870566
