,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0327488354191967,0,0,0,0,0,0,0,0,0,0,-0.0505440715390474,0.565222635745615,0,0.859041488908015,0.0697894089147358,0,0,-0.121677829211307,0,0,-0.195040184202906,0,0,0,0,0,-0.0029901258816004,0,0,-0.314359036375698,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.114886808131845,0.0648406555986843,0,0,-0.0349229376683524,0,0,0,0,0.0254661032566119,0,0,0,0,0.248361928540613,0,0,0,0,0,0,0,0,0,0.152569586882869,0,0,0,0,0,0.492608130727975,0,0,0,0,0,0,0,0,0,0,0.0590829947016796,0,0,0
X601939.CH.EQUITY,0,0,0,0.808901971804662,0,0,0.065352338064937,0,0,0,0,0,0.0305592470611935,0,0,0,0.024809795351837,0,0,0,0,0,0.0107434517777626,0.00716822611168912,0,0,0,0,0,0,0,0.0416412660304457,0,0,0,0.00978881781832786,0,0,0,0,0,0,-0.0132897779244355,0.025090762563944,0,0,0,0,0,0.0499560451597666
X601288.CH.EQUITY,0,0,0.879694081443765,0,-0.0698696329292525,0,0,0,0,0,0,0,0,0.0368421230827083,0.0202668202627493,0,0.0355046220958823,0.126630713767506,0,0,0,0,0,0,-0.116126288399745,0,0.0314537580546033,0,0,0,0,0,0,0,0,0,-0.102843410693953,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.138554703633313,0.84702490816617,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.117841448584089,0,0,0,0,0,0,0,-0.0651599085933114,0,0,0,0,0.19298223045475,-0.000842726522283709,0.0383103024779031,0,-0.115352450003798,0,0,0,0.0407427505971672,0,0,0,0,0,0.0927844668006539
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.21234871816182,0,0,0,0,0,0,-0.248908608061625,-0.211843890245175,0,0,0,0,0,0.0198458555387234,0,-0.0910879329189924,0,0,0,-0.0531444051312508,0,0,0,0,0,0,0,0,0,0,0,0.0392335692157215,0,0,0,0.00873721310800789,0
X600036.CH.EQUITY,0,0,0.374200044186409,-1.73472347597681e-18,0,0,0,0,0.0864817403693,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040061852103412,0,0,0,0.452932988667445,0,0,0,0,0,0,0,0,0,0,-0.0263241114410013,0.0754456317857078,0.0751457658882011,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.138810912718933,0.0561616995133504,0,0.113218084510427,0,0,0,0,0,0,0,0,0.0722316281780837,0.07992957165505,0,-0.241892226508043,0,0,0,0,0.0505640089173361,0,0.240528709775231,0,0,0.0628377543540829,0,0,0,1.38777878078145e-17,0,0,0,0.0935439917823026,0.00929458081869495,0,0,0.455938102904661,0,0,0,0.0146427850869898
X5.HK.EQUITY,0,0,0,0,-0.223676016211943,0,0,0,0,0.0843256211015029,0,0,0,0,0,0,0.345239972488248,0,0,0,0,0.151319678036176,0,0,0.0637823263823082,0.497199241844052,0,0,0.0423624109264452,0.0778046387361132,0,0.0109552850112941,0,0,0,0,0,0,-0.232413879483458,0,0,0,0.0770368613989514,-0.0329358513482463,0.0503306194092476,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.172343379466777,0,0,0,0,0,-0.0424631601277533,0,0,0,0.082006761423343,0,0.0400215546749864,-0.127472039633549,2.77555756156289e-17,0,0.0561569518376649,0.00497848181052665,0,0,0,0,0,0.517796326522612,0,0,0,0,0,0,0,0,0.274210011239622,0,0,0,0,0,0,0,-0.206822737850986,0.0201974843140631,0,0,0,0
