,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.731614286106426,0,0,0.00395931699122062,0,0,0,0,0.0465399497560651,0,0,0.0675212614531939,0,0,0,0,0.00442945879944881,0.00992997963226485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635689991769777,0,0,0,0,-0.0312374759937374,-0.00314935364962648,0,0,0,0
X601939.CH.EQUITY,0.171912732143268,0,0,0.218179992685186,0,0.414264122776337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103698506804708,0,0,0,0,0,0.0695817009608126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0847444978031466,0,0,0,0,0,0,0.00711795825500158,0.0593731783162211,0,0,0,0,0,0,0,0.0257046114540393,0.113073831275197,0,0,0,0,0,0,0,0,0,0,0,0,0.0893405585834042,0,0.167220539360066,0.0317481677467219,0,0,0,0.11028207446834,0,0,0,0,0.223106193031601,0,0,0,0,0
X601288.CH.EQUITY,0.323472054821483,0,0,0,-0.0397276550447821,0.0300894695673984,0,0,0,0.131381993744476,0,0,0,0,0,0,0,0,0.069855524909729,0,0,0,0,0,0.0180243368750565,0.242082605874972,0,0.0746902892247926,0,0.0836068794896605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584467735635534,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.412875729345718,0.173079338806604,0,0,0,0,0,0,0,0.566709509213702,0,-0.373580682158367,0,-0.311188962011594,0,0.124148531406107,0,0,0,0.0377733886468086,0,0,0,0,0.153001522552738,0,-0.185233455757738,0,0.575911246609543,0,-0.0113508328922017,0,0,0,0,0,0,0,0,-0.551516115349781,0,0,0,-0.0802993271793671
X601988.CH.EQUITY,0.0290250642290441,0.233922035118985,0,0,0.0535367413092416,0,0,0,0.0932957615903897,0,0,0.140630473016453,0.0692608666575387,0,0,0,0,0,0.11753921288178,0,0,0,0.387695550337747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371309751847915,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0525122900239288,0,0,0.278791328193573,0,0,0,0.0856016790654289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169387276755355,0,0,0,0,0,0,0,0,0.112794906642599
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250429741256066,0.000775117816919069,0,0,0,0,0,0,0.775033741955309,0,0,0,0.104333289930819,0.0041951732640682,0,0.000700083101345943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.135481351112346,0.0673027218323172,0,0,0,0,0,0,0,0,0,0,0,0.0295828955886561,0.00342996081745713,0,0,0,0,0,0,0,0,0.0702675085417503,0,0,0,0,0,0,0,0,0,0,0.319931991036084,0,0,0,0,0,0.209944292758518,0.0698301922548579,-0.0271518497483378,0,0,0,0
X601328.CH.EQUITY,0.0016238217287674,0,0,0,0,0,0,0.170596873194201,0,0,0.0379725475317227,0.147453311889998,0,0,0,0,0,0,0,0,0,0.251188629549055,0,0,0,0,0.031356337053949,0,0,0,0,0,-0.00875499210306973,0.0403752224551649,0,0,0.000782499850571095,0,0.252478580111499,0.0685561300916114,0,0.0396113119203775,0,0,0,0,0,0,0
