,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,2.77555756156289e-17,0.0901111918332001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466784052284868,0.368112470243451,0,0,0,-0.238337729714693,0,0.334777284280534,0,0,0,0,-0.0838158321607979,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190077700219185,0
X601318.CH.EQUITY,0,0,0,0,0,0.207712257417042,0,0,0,-0.0424846904569062,0,0,0,0,0,0,0,0.0486801410190478,0,0,0,0,0,0,0,0,0,0,0,0,0.0958529730186763,0.0610460313537234,0,0,0,0,0.257633918942433,0,0.170274063705134,0,0,0,0,0,0,0,0,0,0,0.185807889037413
X601939.CH.EQUITY,0,0.0684940360871232,0,0.804172682230894,0,0,8.67361737988404e-19,0,0,0.00205334891139984,0,0,0,0,0,0,0.0829082959690443,0.0184509066307093,0.0584026565224203,0,0,0.00323174806097983,0,0,0,0.0104608175885135,0,0,0,0.00997761018494549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.92251110294466,0,-0.0638217804147845,0,0,0,0,0,0,0,0,0,0,0,0,0.152182224421137,0,0,0,0,0,0,-0.0974189650474479,0,0,0,0.0228457458044504,0,0,0,0,0,0,0,0,0,0,0.017516335184235,0,-0.0815277979907967,0,0,0,0,0,0,-0.048060611407188,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0637935282133617,0,0.379754487880537,0.126937511891127,0,0,0,0,0,0,0,0,0.00193693245537972,0,0,0,0,0,0,0,0,0.0186572173488346,0,0,0,0,0.00669341511203247,0.276451492545473,0,0,0,0,0,0,0,0,0.301239102992399,0.11926224332994,0,0,0
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,-3.46944695195361e-18,0,-0.0408795976394848,0.140457470027549,0,0,0,0,-0.0695823758477256,-0.0929434716392327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00575172275525025,0,-0.116847266138872,0,0,0.0193407792190476,0,0,0,-0.0484445138574893,1.08290550373745
X1299.HK.EQUITY,0,0,0,0,0.170624708971604,0,0,0,0,0.128576898499743,0,0,0,0,0,0,0,0,0,0,0,0,-0.230798458171537,0,0.00233000555071531,0.408895345830932,0,0.0918699935339628,0.180813205530746,0,0.354465155954667,0.0409810384599562,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0310463260470996,-0.138909919387052,0,0.0630305428402062,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155162425105477,0,0,-0.144447146355067,0,0,0,0,0,0,0.287754150512806,0.332246075647421,0,0,0,0,0,0,0,0,-0.232196327263605,0,0,0,0.0231638773543001,0,0,0,0.0706712486256368,0.0313016958710971,-0.0617925076398448,0,0,0.289929485242183,0
X388.HK.EQUITY,0,0,0,0,0.226039836569765,0,0,0,0,0,0,0,0,0,0,0.025309487396036,0,0,-0.21477603669723,0,0,0,0,0,0.43402101515859,0,0,0.126379927920102,0.0145260849776743,0,-1.38777878078145e-17,0,0,0,-0.0561871106566428,0,0,0,0,0,0,0,0,-0.242728191892479,0,0.0757081898080692,0.155501374786816,0,0,0
