,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.20583659079729,0,0.0998035365386501,0,0.0251036705076941,0,-0.0757529469631957,0,0,0,0.433721936227449,0,0,0,-0.109339903023008,0,0,0,0,0,0,0,0,0,0,0,0,0.0768977136598211,0.0235887027457205,0,0,0,0,0,-0.0879162314206883,0,0.147175878511646,0,0,0,0,0,0.111242783298893,0,0,0.069442379404297,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019396,0,0.103702075595263,0,0.0152227318226143,0,0,-0.155903891648827,0,0.079414494841049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723
X601939.CH.EQUITY,0.138263641666084,8.67361737988404e-19,0,0.363787224737256,0,0.0718487371867502,0,-0.0783917675966255,0,0,0,0,0,0,0.0889806549327691,0,0,0,0,-0.0197936349418319,0,0.102218750591189,0,0,0,-0.0883317718163202,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154265891266608,0.491695736985387,0,0,0,0,0,0,0,0,0,0.00175015985460001
X601288.CH.EQUITY,0.416100540597168,0,0.156633042690451,0,0,0.156483912898185,0,0,0.0392885071519047,0,0,0,0,0.0266600995192661,0,-0.124288512598937,0.0447315511974982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129465307787617,0,0,0,-0.00242849075487618,0,0,0,0,0.174598998340473,0,0,0,0,0,0,0,0,0.198745960162395,0
X5.HK.EQUITY,0,-0.127680570923112,0.0274354208903156,0.286149434598578,0,0,0,-0.25027993779247,0,0,0,0,0.144578492060072,0,0,0,0,0,0,0,0.540077698360074,0,0,0,0,0.303908206139923,0,-0.0108652026095503,0,0,0,0,0,0.0221786751933382,0,0,0,0,0,0,0,0,0,0,0,0,0.201555398673482,0,-0.0718360717327336,0
X601988.CH.EQUITY,0.205620482979717,0,0.0223534180103412,0.112514395343895,0,0,0,0,0.0915010286458076,0,0.0661699550493942,0.117576519537303,0,-0.376476302509231,0,0,0,0,0,0,0,0,0.0473892689929457,0.377873009319392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746257445239908,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0877440996987135,-0.01690334211435,0,0,0,0.077857140661982,0,0.298033478184443,0.251682807996883,0,0,0,-0.0442120586548961,0.0611752360933528,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.121016024700388,0,0,0.00462964288947872,0,0.0287526723123957,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0693522005253933,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0335437248575916,0.0695965695800514,0,0,0,0.13850989200478,0,0,0,-0.145107123406513,0,0,0,0.370200602150091,0,0.251919910942705,0,0.0424713811990226,0,0,0,0,0.103117371089222,0,0,-0.00418077616977318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.124444256567105,0.2503905096956,0,0,0,0,0,0,0,0,0.0741504504670737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939743610199514,0,0,0,0,0,0,0,0,0,-0.348280397355586,0,0,0.0276582862381894,0,0,0.198950763667419,-0.0269736119771812,0,0.217155013904843,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127264708240857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
