,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.0886058268281255,0,0.415634733679807,0,0,0.0463219783734281,0,0.240256853152132,0,0,0.147153251850796,0,0,0,0,0,0.0265990481646741,0,0.00819173985999317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059973711645752,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0
X601939.CH.EQUITY,0.360076835783779,0,0,0.143842028336946,0,0,0.00359772844981564,-0.0910523201968295,0,0.0332892650239223,1.38777878078145e-17,0,0.392313882591551,-0.0382546911384807,0,0,0,0,0,0,0,0,0,-0.0349853036287798,-1.73472347597681e-18,-0.0854758152631722,0,0,0,0,0,0,0.151114182176696,0,0,0,0,0.0194988766148758,0,0,0,0,0,0,0,0,0,0,0,0.0194473884965794
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0
X601288.CH.EQUITY,0.428897955339311,0,0,0,0.384077224401935,0,0,0,0,-0.0100163170351216,0.0713169724861905,0,0,0,0.0244146366077721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669758261913284,0,-0.0660877068953266,0,0,0,0,0,-0.0342477067291189,0,0.0706272739035944,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.279248557070213,0,0,0,0,0,0.00145824595679525,0,0,0,0,0,0,0,0.136286384664675,0.135514807119451,0,0,0,0,0,0,0,0,0,0.00150133435030424,0.0667915919820125,0,0,0,0.0119051918969863,0,0,0.0472318110925398,0,0,0,0,0,0,0.165945711376388,0,0,0.147613878614215,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145505574064218,0.209920299057601,0,0,0,0,0,0.594036523673512,0,0,0.0769785153129148,0,0,0.422737910355904,-0.495554032636826,0,0,0,0,0.0316146581714053,0,0,0,0,0,0,0,0.248096962698403,0,0,0,0,0,0,0,0,-0.0831334549412696
X600036.CH.EQUITY,0,-0.0352119068423492,0.00405682428882538,0,0,0.0218162635909249,0,0,0,0,0,0.456847605267049,0,0,0,0,0,0,0,0,0,0,0,0.0481577318278252,0,0.115076074026307,0,0,0,0,0,0.00870997658301858,0,0,0.086719042133188,0.0090123926311095,0,0,0,0,0,0.0458940185747505,0,0,0,0,0.0184420537911127,0,0,0.24262170154916
X1299.HK.EQUITY,0.000857874320824791,0,0,0,0,0,0.104353536928866,0,0,0,0,0,0,0,0.107439385715804,0,0,0,0,0,0.228748458199963,0,0,0.0996247120420308,0,0,0,0.103670367786863,0,0,0,0,0,0,0,0,0.178915962257048,0,0,0,0.185124127160009,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.322767932275616,0,0,0,0,0,0,0,0,0,0.106572707573869,0.310960704847461,-0.0227197537106541,0,0,0,0,0,0,0,0,0,0,0,0.0166368274249847,0,0,-0.0369931721654211,0,0.140661302201182,0,0,0,0,0,6.93889390390723e-18,0,0,0
X601658.CH.Equity,0,0,0,0,0.31115483920518,0,0,0,0,0,0,0,0,0,-0.223453068649064,0,0,0,0,0,0,0,0,0.114357904782483,0,0,0,0,0,0.409190970842099,0,0,0,0,0,0,0,0,0,0.196727367661787,-0.15270236897682,0.162190189205761,0,0,0,0,0.631096409138348,0,-0.243842527372643,0
