,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0953213839179122,0,0,0,0,0,0,0,0,0,0.412500985887201,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.166037078806147,0,-0.0165694675539753,0.0675933023589008,0,-0.0370405336747349,0,0.0582004076942376,0,0,0,0,0.735844707215504,-0.0838884931068807,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.181309703656629,0,0,0,0,0,0,0,0.0282587352267266,0,0.0722593660537458,0,0.0587342958667247,0,0,0,0,0,0.136948047803946,0.0613533266571451,0,0,0,0,0,0,0,0.196063739685682,0,0,0,0.0479905819891986,0.186635110039414,0.00425292236283862,0,0,0.0728834068665419,-0.0325440271728471,0,0,0
X601939.CH.EQUITY,0.407198622836439,0,0,0,0,0,0,0,0,0.0224713813724194,0,0,0,-0.059953535374858,0,0,0,0,0,0,0,0,0.120826960627006,0,0,-0.375517402876626,-0.0790124782938958,0,0,-0.0531550270976116,0,0,-0.0935370556465124,0,-0.327877369436456,0,0,0,0,0.850912953000763,0,0,0,0.170524521192267,-0.135565753091295,0.195496259862969,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.293840204994243,0,-0.24024483033112,0,0,0,0.817320974300642,0,0,0,0,-0.132374587866342,0,0,0,-0.228206401735093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.152477286021312,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133393447124253,0.374189877698406,0,0,0,0.0471943129087327,0,0,0.18788805036693,0,0,0,0,0,0,0,0,0.0259087008187286,0,0,0.0343953265480016,0,-0.122561281997699,0,0,0,0,0,0,0,0,0,0.0785345293925403,0,0,0.131256470399554,0,0,0,0,-0.184130022309287,0,0,0.135650038535391
X601988.CH.EQUITY,0,0,0,0,0.339328782905805,0,0,0,0,0,0,0,0,0.110305832132501,0,0.000275581782488539,0,0.154747918924625,0,-0.0275896458630313,0,0,0,0,0.173549124235099,0,0,0,0,0,-0.335165674652415,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00957702640514449,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.260566521841721,0,0,0,0,0,0,0,0,0,0,0,0,0.140091140598247,0,0,0.0213258181752584,0,0,0,0,0,0.0887406196683818,0.130746585051781,0,0.0897651983361702,0,0,0,0,0,0,0,0.321407412607881,0,0,0,0,0,-0.133722204020461,1.73472347597681e-18,0,0,0,0
X600036.CH.EQUITY,0,0.135933827283332,0,0,0,0,0,0,0,0.484919807135456,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.229636198131108,0,0,0,0,0,0,0,-0.00207037968902728,0.126575985026887,0,0,0,0,-0.211120221237569,0,0,-0.157141020633802,0,0,0,-0.00861266201371847,0,0,0.211356714026608,0,-0.0260022884266732,0,0,0
X601628.CH.EQUITY,0,0.277940753374094,0.0138249161680573,0.0533404581451768,-0.0935537722138279,0,0,0,0,0,0,0,-0.0134369326710838,0,0,0,0.242808691151588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149691374359064,0.0721154682626158,0,0,0,0,0,0.158353288667639,0,0.0747884014413881,0.0972402063705477,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.761058943417753,-0.0217267539060739,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.17054204036645,0,0,0,0,0,0.0652683407201941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00954153493616637,0,0.0268311983972873,0,-0.219550601193671,0,-0.00351309521852783,0
