,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.713798473167143,0,0,0,0,0,0,0,0.0621957048393436,0,0.0922831276220464,0,0,0,0,0,0,0.000574747356123045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140682960722404,0,0.0634619717441279,0,0,0,0,0,-0.0257113407946238,0,0,0
X601939.CH.EQUITY,0.270080625845834,0,0,0.0641741833809734,0,0.366470519795663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06285139635969,0,0,0,0,0,0.0427711217245055,0.223542351251027,0,0,-0.0416586120570897,0,0,0,0,0,0,0,0,0,0,-0.0101967486881811,0,0,0,-4.33680868994202e-19,0,0,0
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0
X601288.CH.EQUITY,0.289375664429595,0,0,0,-0.0271041392599091,0,0,0,0,0.11518128675754,0,0,0,0,0,0,0,0,0.0632917252025506,0,0,0.0566730264667762,0,0,0.030499950914336,0.259763283919261,0,0,0.0354738355197845,0.0700075161497876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733775409057081,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-6.93889390390723e-18,0.445125371716467,0,0,0,0,0,0,0,-0.326417168232214,0.159629339134748,0.193179061022323,0.221764152251801,0,-0.0678661940513748,0,0,0,0,0,0,-0.125075998654769,0,0,0.195287532953752,0,0,0,0.193487115387976,0,0,0,0,0,0,0,0,0,0,-0.556891016252247,0.109507916044275,0,-0.0387561752120326,0
X601988.CH.EQUITY,0.0663815395431975,0.195603314319051,0,0.0315637606704453,0.0367689747590641,0,0,0,0.0271786670242985,3.46944695195361e-18,-3.46944695195361e-18,0.071928155613014,0,0.120669687712724,0,0,0,0,0.138116741322525,0,0,0,0.433741201245862,0,0,0,0,0,0,0,0,0,0,0,0,0.0364434850629295,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.096752047257916,0,-0.0544331109482583,0,0.0459522533774863,0,0,0,0,0.239329509376818,0,0,-0.0467550149542016,0.205915357433302,0,0,0,0.0921940419985096,0,0,0,0.0425683732341187,0,0,0,0,0,0,0,0,0.049174285617021,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0131060897345931,0,0,0,0,0,0.0367644110773013,0,0,0,-0.00459612399542444,0,0,0,0,0,0.0206357041435595,0,0,0,0,0,0,0.765112572529734,0,0,0,0.111782326467516,0.00146625111015137,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,-2.16840434497101e-19,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124957701590467,0.0917909920668144,0,0,0,0,0,0,0,0,0,0,0,0.0241777281731072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35501767674634,0,0,0.0424534585542962,0,0,0,0.0862614544855765,0,0,0.11591093962506,0,0,0.0327796048567452
X601328.CH.EQUITY,0.0114215482076008,0.0753977674028846,0,0,0,0,0,0.164268872375082,0,0,0,0,0,0.15483570622721,0,0,0,0,0,0,0,0.272390791135654,0,0,0,0,0,0.0297175060271527,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0712028561452275,0.215201880526766,0,0.0271818368806407,0,0,0,0,0.00884480741607179,0,0
