,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.234109467919115,0,0,0,0,0,0,0,0.107731910208214,0,0,0,0,0,0,0,0,0.258532950515607,0,0,0,0,0.268786317273914,0,0,-0.0475845479475418,0,-0.00304638327394102,-0.0917175447940932,0,0,0,0,0,0,0,0,0,0.494835630472423,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.15047530193267,0,0.271692203297333,0,0,0,0,0,0,0,0,0.28040720019488,0.0779167913498683,0,0.0412393674176746,0,0,0,0,0.102570064840212,0,0,0,0,-0.0116230188636493,0,0,0,-1.73472347597681e-18,0.0601104401020364,0,0,0,0,0.0208350714490123,0,0,0,0.00121286381829555,0,0,0.0270234932324027,0.0186189399488289
X601939.CH.EQUITY,0,0,0,0.734947518940308,0.0322633412291953,0.0544025603926162,0,0,0,0.234836089005447,0,0,0,0,0,0,0,0,0,0,0.0506170844138709,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,-0.0234798620516997,0,0.023493889676456,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.399342718540872,0,0.0235627048029236,0,0.971669967167935,0,0,0,-0.0997186336574116,0,0,0,0,-0.265283902337361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192114293837372,0,0,0,0,0,0,0,0,0,0,0.0636065443625927,0
X5.HK.EQUITY,0,0.0438857524301691,0,0,0,0.137094329686178,0.349969615568836,0,0,0,0,0,0,0,0.0591980728090261,0,0,0,0,-0.0104997832191031,0,0,0,0,0,0.00101643620248995,0,-0.216578016547529,0,0,0,0,0,0,0,0,0.114922171792908,0.00839663508075843,0,0,0.318547931474376,0,0,0,0,0,-0.119950383584167,0,0.0407585546667174
X601988.CH.EQUITY,0,0,0.08414924689627,0,0.217087784386391,0,0.104463401754809,0,0.0556079370983974,0.0672415384081864,0.167326528373049,0,0,0,0,0.162554859782705,0,0,0,0,-0.0845030071039122,0,0,0,0.0664580324945769,0,0,0,0,0,-0.181458611980699,0,0,0,0,0,0,0,0,0.0615284935060743,0,0,0,0,0,0,0,0,-0.0113865997400596
X1299.HK.EQUITY,0,0,0,0,0.229943687387396,0,0,0,0,0,0,0,0,0,0,0,0.193316605012498,0,0,0,0,0,0,0,0,0.0351284988036987,0,0.0360942086397371,-0.117701408115054,0.0880365617483053,0.0524649005120701,0,0,0,0,0,0.531840105745218,0,0.00230348717265679,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.418434495713253,0,0,0,0,0,0,0,0.261130048409578,-0.0417820790091481,0,0,0,0,0,0,0,0,0,0.00732492728999801,0,0,0,0,0,0,0,0,0,0,0,-0.00467168658140666,0,0.210989706283238,0,0,0,0,-0.108275506469102,0
X601628.CH.EQUITY,0,0.0276437221330742,0,0.00384775732623097,-0.0406324604854742,0,0,0,0,0,0,0.0908680286422682,0,0,0,0,0,0.165651734463777,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.407109673876459,0,0,0,0,0,0.20820229985881,0.106728360996137,0,0.0862155186832478,0,0,0,0
X601328.CH.EQUITY,0,0,0.133759623530034,0,-0.0838496941535628,0,0,0.464890145015327,0,0,0,0,0,0.444592222667295,0,0,0,0,0,0,0.111794645756381,0,0.149999847810896,0,-0.135483634045612,0,0,0,0,0,0,0,-0.0712181057857561,0,0,0,-0.0565493227671487,-0.200766390507171,0,0,0,0,0,0,-0.0438869832201721,0,0,0,0
