,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.193420783887599,0.403464893538717,0,0.0029795651726128,0,0.137362842189102,0,0,0,0,0,0,0,0,0,0,0.289954712973979,0,0,0.006652324364544,-0.0880441205105816,0,0,0,0,0,0.053354976717866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438477987933791,0,0,0.0583956591397068,0.0345875790179572,0,0.057617580059434
X601318.CH.EQUITY,0,0,0,0,0,6.93889390390723e-18,0,0.0570079927005703,0.0549857893066853,0,0,0,0,0,0,0,0.0111641041531853,0,0.271074133926479,0,0.321151458716555,0,1.73472347597681e-18,0.0546873829827378,0,0,0.0963742444204723,0.176623442796391,0,0,0,0,0,0,0.0688083979855147,0,0,0,0,0,0,0,0,0,0,0,0,0.011956125937152,0,0
X601939.CH.EQUITY,0,0,0,0.385820718491698,0,0,0.0993823048266306,0,0,-0.0939322192076952,0,0,0,0,0,0,0,0.0187248616080888,0,0.036540485290248,-0.099219436575559,0,0,0,0.476786442440047,0.213840953536583,-0.164632522634376,0.051620623295171,0,0,0,0,0,0,0,-0.110850163158487,-0.0118086950515447,0,0,-1.73472347597681e-18,0,-0.0114562105193703,0,0,0,0,-0.0690038090799547,0,0,0
X601288.CH.EQUITY,0.2475149766345,6.7762635780344e-21,0.0680445463947933,0,0,0,0.0806188834763732,-0.0130058978581465,0.0732793992226178,0,0.0361126641825806,-0.0447734444479216,0,0,-0.0693023823358599,0.200924403230125,0,0,0,0,0,0,0,0,0.145967545250209,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645875598398322,0,0,0,0,0,0,0,0.237462777224886,0,0,0,0
X600036.CH.EQUITY,0,0.19495318281171,0,0,0,0.0455361293983198,0.0814762511318739,0.111518527494168,0,0,0,0,0,0.199569929900367,0.0529024502406166,0,0,0,0,0,0,0.0676673699137072,0,0,0,0,0,0,0.323604704240421,0,0.0634218449469594,0,0,0,1.73472347597681e-18,0,0,0,0.014525227729944,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0900589472956708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832002058757487,0,0,0,0,0,0,0.154146146237051,0,0,0,0,-0.0793636045898643,0,0,0.0199065613140956,0.296595315838294,0,0,0,0.535457855293357,0,0,0,-0.019577246669458,0.040543168423819,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.151241225194403,0,0.0232097050405931,0.150508169313212,0.30736843125874,0,0,0,0,0,0,0,0,0.0524447058212756,0,0.195697294538797,0,-0.00731820601187111,0,0,0,-0.00610153205517932,0,0,0,0,0,0.114131257575742,0,0,0,-0.0555702686240391,-0.154615870293248,0,0.262005732648826,0,0,0,-0.09050269510905,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.206574010543255,0,0,0,0,0,0,0.166766357892877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489468290609393,0,0.0705395507294026,0,0.0332611852603551,0,0,0,0.068426085651532,0,0,0,0.065731682372731,0,0.204444630880925,0.224715030793542,0.0479817714699973,0.104021487786394,0.103101790295278,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0.0189279430016184,0,0,0.0133824524403177,0,0,0.0311291726697952,0,0,0,0.0934796781506702,0.0537501799755832,0,0,0,0,0,0,0,0.0899453024040668,0,0,0,0,-0.056938976330872,0,0,0,0,0,0,0,0,0,0,0.535198125055071,-0.011426910361927,0,0.213783217780235,0,0.159187025079862,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.177298349966332,0,-0.020850970149877,0,0,0.125216741666341,0,0,0,0,0,0.0521139339260408,0,0,0,0,0,0,0,0,0,0.398859163040702,0,0,0.183928558029734,0,-0.0301604850970166,0,0,0,0,0,0,0,0,0,0,0.309179099269218,0,0.0103995202142381,0,0,0.167817323590165,-0.0708650516910352,0,0,0,0
