,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.168488240378758,0,0.194450808807983,0,0.156790276249962,0,0,-0.055450388932135,0,0,0,0,0,0,0,0,0.0753925584728109,0,0,0.138219002416926,0,0,0,0,0,0,0,0,0,0,0,0.0698016169659623,0,0,0,0,0.0316642197463488,0,0,0,0,0,0,0,0,0.174746492087104,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0499344051591689,0.00718868425454949,0,0,0,0.170256290896464,0,0,0,4.33680868994202e-19,0,0,0.525188378469797,0,0,0,0,0,0.0750649749354789,0,-0.101284703046537,0.0732763814167425,0,0.112161817133101,0,0,0,0,0,0,0.151435278312092,0,0,0.0239941038383336,0,0,0,0,0,0,0,0.0215847442469524,0
X601939.CH.EQUITY,0,0,0,0,0.13271610232889,0,0.28612586930949,0,0,0.0642586074984185,0.0274674835476855,0,0,-0.122305943904542,0.0278308958101883,0,0,0,0,0,0.0765879842255343,0,0.460005503900182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195316697337597,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0658463318454007,0,0,0,0,0,0.0245509498477143,0.112735667087027,0,0,0,0,0,-0.128812039056047,0.329904853564103,0,0,0,0,0,0,0.0434578968346378,0,-0.167851753695781,0,0,0,0,0.0411123305949246,0,0,0.331692978124277,0.340745187317702,0,0,0.0113189212766925,-0.0192101591953449,0,0,0,0,0,0,0.0969458095224724,0,0,0,0
X601288.CH.EQUITY,0.163124141557309,0.00130720206178603,0,0,0,0,0.0936954959783513,0,0,0.0439321470826441,0,0,0,0,0,0.321737566565411,0,0,0,0,0.110279830759791,0,0.214969535317751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101132435939655,0,0,0,0,0,0,-0.0515062517659786,0,0.0269888279287768,0,0,-0.0481534307280526,0
X600036.CH.EQUITY,0.179177866152457,0.110236928829712,0,0.127032009888313,0,0,0.0264285600965032,0.0678638854934039,0,0,0,0,0.301272049686871,0,0,0,0,0,0,0,0,0,0,0,0.217457743588443,0,0,0,0.0487055314667969,0,0,0,0,0,0,0,0,0,0,0,0.0489915917025063,0,0,0,0,0,0,0,-0.0275014486816033,0
X601988.CH.EQUITY,0,0.0582388484956267,0,0,0.253427740894174,0.288089461744896,0,0,0,0,0,0,0.0752463987492706,0,0,0.239692887024831,0,0,0,0,0.135572748254319,0,0,0,0,0,0,-0.0599571687454104,0,0,0.0926948692781855,0,0,0,-0.0458335639337897,0,0,0.0127468660228005,0,0,0,-0.0682349310704724,0,-0.120354534207544,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.132571233816076,0,0,0,0,0.360297570893376,0,0,0,0,0,0,0,0.120081127772861,0,0,-0.0483678417226408,0,0,0,0.0477867009455847,0,0.34695343504905,0.12705659110202,0.0487328770710987,0,0,0,0,0,0,0,0,0.0227585699857696,0,0,0,0.0517374269222148,0.0277481741720224,0,0,0,0,0,6.93889390390723e-18,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.121744341189854,0,0,0,0,-0.0671249239355793,0,0,0,0,0,0,0,0,0.433526471506823,0.0842635658827167,0,0.0369004318018861,0,0,0.135632794978149,0,0,0,-0.00209350984927116,0,0,0,0,0,0.306910960875121,0,0.183702983746597,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.0990118993605438,0,0,0,0.028078338225422,-0.0556854472317992,0,0.0261734554596932,0,0.133891284346437,0,0,0,0,-0.113292655629199,0,0,0,0,0,0.486817136551097,0,0.1053526795978,0.034309402251617,0.06103058347074,0,0,0,0.369860512454647,0,-0.107091994953305,0.413261301757495,0,0,0,0,0,-0.0497782496593943,0.153456572264348,0,0,-0.394430589861822,0.0673796651990343,0,0,0,0
