,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.489087139458808,0.0211389963092973,0.0897966410294874,0.0362732082095783,0.0595329588518492,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0168595720390158,0.0531630695622897,0.0568697360122454,0,0,0,0,0,0.122108006827956,0,0,0,0,0,0,0,0,0,0,0,0,0.0447491670871193,0,0,0,0,0,0.00281782993056027,0,-0.00597343228164715,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.0836612871915759,0,0,0.0600035450242928,0,0,0,0,0,0,0,0.229952850821648,0,0,0,0,0,0,0.0930813286257414,0,0.030632861821287,0,0,0,0,0,0,0,0,0,0.156517322861871,0,0,0.281909577842062,0,0,0,0.0125716770105174,0,0.0149652630242335,0,0,0
X601939.CH.EQUITY,0.467796080631598,0,0,0.183795332229543,0,0.110185137501676,0,0,0,0.0170118707171691,0.133472421115166,0,0,0,0,0,0,0,0,0,0,0,0.000808294995985981,0,0,0,0.00120247192127054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441851020774574,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.430428442257217,0,0.0773701719317557,0,0,0.013301476798844,0,-0.020988664445807,0,0.0778692654130923,0,0,0,0,0,0,0,0.20147905126622,0,0,0.151421762495706,0,0,0,0,0.032428876167419,0,0,0.0896151085355439,0.067824350064652,0,0,0,0,0,0,0,0,-0.0876744886196635,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.532945447129421,0,0,-0.0938843602034793,0,0,-0.272713896970521,0,0.0825331202905251,0,0.152936625613653,0.79264706638308,-0.227750039495506,-0.195072437819004,0,0,0,0.209466265152528,-0.00120792815531874,0,0.152277167363892,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,-0.497047994143147,0,0,0
X601988.CH.EQUITY,0.124470706992664,0,0.190325197278043,0,0,0,0,0,0,0,0,0,0,0.0393441995295249,0,0.0468058002643111,0,0.0346875190867878,0,0,0,0.133628514524829,0,0.036892581604957,0.0908287686877404,0,0,0,0,0,0,0.0848585331526227,0,0,0,0,0,0,0,0,0,0.240522774857705,0,0,0,0,0.0566713456078493,0,0
X600036.CH.EQUITY,0.0288115713072523,0.118132670471373,0,0,0,0,0,0,0.0518508498059536,0,0.117076291728956,0,0.213216398027175,0,0,0,-0.0516916433295886,0,0.0683592290870332,0,0,0,0,0,0.334207566168366,0,0,0,0,0.114881433072187,0,0,0,0,-0.0459920456479239,0,0,0,0,0,0,0,0,0.0133015082103815,0,0,0,0,-0.0439004122430591
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102824623258522,0,-0.0641879363807163,0,0,0,0.244530911596902,0,0,0.0835095053044584,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321009432661022,0
X601628.CH.EQUITY,0,0.0306671297504505,0,0,-1.35525271560688e-20,0,0,0,0,0,0.0548021698784765,0,0.0874061095253318,0,0,0.0115587085822306,0,0,0,0,0,0,0,0,0.0453241669376911,0,0.106708956303582,0,0,0,0,0.237634914672982,0,0,0,0,0,0,0,0,0.080331434966521,0.195040220615874,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0679069169236518,0,0,0,0,0.0898698918577772,0.00892535605065219,0,0,0,0,0.0928843470187277,0,0,0.0124098964142879,0,0,0,0,0.167114797469173,0.0251819176980946,0,0,0,0,0,0,0,0,0.068847203291786,0,0,0,0,0,0.000483107000571505,0,0,0.190277343346301,0.238194936005412,0,0,0,0,0,0,0,0
