,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.135072038805716,0,0.0165911388343515,0,0,0,0,0,0,0.275778211966066,0.2447239838312,0,0,0,-0.087862157439207,0,0,0,0,0,0,0.0202148843819125,0,0,0,0,0,0,0,0,0.0222672309858415,0,0.261115715081374,0,0,0,0,0.0409227880194591,0,0,0.0551876825713171,0,0,0,0.0199017409284152,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.26178047219243,0,0,0.139940885148839,0,0,0,0.0412645032678869,0,0,-0.0311536693065691,-0.130488350261378,0,0,0,0,0,0,0,0,0,0,0,0.187139951957983,0,0,0,0,0,0,-0.312392510181157,0,0.309611827868724,0.0558452477026948,0.267612123900993,0,0,0,0.0217093795517629,0.0823306754957243,0
X601939.CH.EQUITY,0.492559266118087,0,0,0,0,0.1828602898348,0,0,0,0,0,0,0,0.0691640190307895,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372934418099141,-0.113397081068454,0,0,0.0443425229382151,0,0,-0.0482321261154097,0,0,0
X601288.CH.EQUITY,0.612849196855861,0.083159570357046,0.114494656862092,0,0.046738758260647,0.019908394029269,0,0,0,0,0,0,0,0,0.00619051643151819,0,0,0,0,0,0,0,-0.038839526949251,0,0,0,0,0,0,0,0,0,0.117971334937657,0,0.0353695646134327,0,0,0.0529969319353211,0.180798919667367,0,0,0.0314467090808864,0,0,0,8.67361737988404e-19,0,0,0
X5.HK.EQUITY,0.0141188087785168,-0.0439970937132321,0.115473292734321,0.0382599640569596,0,0.0698694554143374,0,-0.131278585771255,0,0,0.0515276330515282,0.28455917514423,0,0,0,0,0,0.70927281205041,0,0,0,0,0,0,0,0,-0.167123405767432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933640916077942,0,0,0
X601988.CH.EQUITY,0.133261454717903,0,0.203799224423971,0.0664395779636472,0,0,0,0,0.0774184924939287,0.105168307047276,0.10383597897256,0,-0.277179959303612,0,0,0,0,0,-0.0165582437757002,0,0,0.21182209556704,0,0,0,0,0.163290297000278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100690732759656,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0396299763998864,0,0,0,0,0,0.043362938653768,0,0,0,0,0,0.247619733782151,0,0.148018875265057,0,0,0,0,0,0,0,0.165838752030043,0,0,0,0,0,0.00915335927166373,0,0.136984347267856,0,0,0,0.0383185284139462,0.089851510514266,0,0,0,0.0167004225786431,0,0,0,0,0,0.0278515547753499,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.183435575802386,0,0,0.0346623630462388,0,-0.0996798703697481,0,-0.0498586211527387,0,0,0.272199629155396,0.262995853117424,0,0,0,0,0.121477735191725,0,0,0,0.137262657620754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178517582679822
X601628.CH.EQUITY,0.366322778574471,0.294269073113782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103318903810151,0.0370372514729399,0,0,0,0,0,0,0,0,0,-0.0574067828407116,0,0,0,0.0527253445299381,-0.156437062150981,0,0,0,0,0,0,0,0,0,0,-0.0503756993058685,0.175005452990028,0,-0.184928464030164,0.0370199263016452
X601166.CH.EQUITY,0.204369420745888,0,0,0,0,0.0107534541294395,0.433415134282038,0,0,0,0,0,0,0,0,0.429286421024227,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0339881408324841,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0.00241598724397213,0,0,0,0,0,0,0,0.058289785034519,0,0,0,0,0,0,0,0
