,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.260406723645988,0.0295802928187914,0.0581922168751485,-0.0129277065862584,0,0.450327596288428,0,0,0,0.0397774619903793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812226822967332,0.0339213726516323,0,0,0,0,0,0,0,0,0,0,0.0801527668221354,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0791897239353123,0,0.0911720652608318,0,0.160926700531907,0,0.161658554957067,0,0,0.0224482180829192,0.0965380662414487,0,0.0728128575130149,0,0,0,0,0,0.326240871921419,0,0,-0.0405806964517223,0,0,0,0,0.0808724059370633,0.101349858334732,-0.00941462908314368,0,0,0,0,0,0,0,0,0.0732833231777582,0,0,0,-0.183090962609022,0,0,0,0,0.11049827791181,0
X601939.CH.EQUITY,0.30579903692435,0.182306833369421,0,0.186021379143941,0,0,0,0.0509879337774854,0,0,0,0.033879336603959,0.0552321007539609,0,0,0.0294193514344979,0,0,0.247503132223181,0,0,-0.240072739253685,0,0,0,0.131203753722778,0,0,0.0783043402936087,0,0,0,0.208378159079165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.019716967554789,0,0,0.0662985768611241,0,0.436639143351977,0,0,-0.0605154925933833,0.0999702044785504,0,0,0.0740924280420764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067301486592023,0,0,0,0.043838036998379,0,0,0,0,0,0,0,0,0.0406763271930089,0,0,0,0,0.0890132171948722,0,0,0.0473029827954478
X600036.CH.EQUITY,0,0.0739729192130768,0,0,0,0.135553022836824,0.126104912497936,0.0490476949605898,0,0,0,-0.0518077646294587,0.218867496078282,0,0,0.0889645438427183,0,0,0,0.0337472831412509,0,0,0,0,0,0.201469271254459,0.229336904043133,0,0,0,0,0,0,0,0,0,0,0,0.19783361440922,0.00769242266679989,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152859713247153,0,0,0.0174236391088733,0,0,0.194887063753067,0,0,0,0,-0.144735911816594,0,0,0,0,0,0,0.00101167582720381,0.629453523357258,0,0,0,0,0,0,0.122240342467027,0,-0.0691062937903205,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.160542032712538,0,0.0795575890935054,0,0,0,0,0,0.238741337085952,0,0,0,0.130594569171559,0,0,0,0,0.144902927234265,0,0,0.113723300254444,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0695386805611754,0,0,0,0,0,0.0259570547372274,0.106966840117379,0,0.118322779359801,0,0.143857324357399,0,6.93889390390723e-18,0,0,0,0
X601988.CH.EQUITY,0,0,0.105122005822794,0.471945343279208,0.0856147019986164,0,0,0,0,-0.00913076477876853,0.0222584184357638,0,0.255407797052578,0,0,0,0.03671007646696,0,0,0,0,0,0.046274879617204,0,0,0,0,0,0,0.052929655663463,0,0,0,0,0,0,0.0380961584841566,0,0,0.0480140283602671,0,0,0,0.00867495173655675,0,0,0,0,0,0
X5.HK.EQUITY,0,0.195088352816341,0,0,0,0.092981058519744,0,0,0,0,0.040171408907144,0,0,0,0,0,0,0,0,0,0.0821269553359994,0,0.221562028634372,0,0.167543272485793,0,0,0,0,-0.0286018613998829,0,0,0.0699319742670486,0,0,0,0,0,0.21229534718167,0,-0.143513342785618,0,0,0.23022476502657,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.00573547924448922,0,0.208998113616857,0,-0.0473040861704027,0,0,0,0,0.0654110632255536,0.123361184315843,0,-1.0842021724855e-19,0.0975505200946291,0,0,0,0,0,0,0,0,0.0150357842101982,0,0.137705411228437,0,0.318847517869351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
