,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601328.CH.EQUITY,0.0845833429026246,0,0,0.323598882678189,0,0,0,0,0,0,0,0,0.193534155567967,0,0,0,0,0,0,0,0.0201134825964071,0,0,0,0,0,0,0,0,0.0495328738718002,0,0,0,0,0.0411208463969234,0.0630436360131637,0.0514142709256761,0,0.140573056937982,0,0,0,0.0972679933254744,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0376417142421445,0.0704396769234163,0,0,0,0.270270981094919,0,0,0,0,0.098880138630261,0,0,0,0,0,0,0,0.124064658911169,0,0.0442558967752766,0,0,0,0,0,0,0,0,0,0.149979866853213,0,0,0,0,0,0,0.0250669753270922,0,0,0,0.00280233973933619,0,0,0.101095223752342,0,0,0.0643933036846318,0.032726793587165,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.332114307698368,0,0,0,0,0,0,0,0,0,0.165445482644373,0,0.00896930722810184,0,0,0.213555250922001,0,0,0,0,0,0,0.0221747357791611,0,0,0,0,0,0,0,0,0,0.123057214937648,0,0,0,0.11367351440136,0,0,0
X000002.CH.EQUITY,0,0,0.110333704090071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.442413273187609,0,0.225756872105149,0,0.030441788238862,0,0.136575006893181,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0
X388.HK.EQUITY,0,0,0.221441602619316,0,0,0.00556467112233044,0.465630492146608,0,0,0,0,0,0,0,0,0,0,0,0.0314464484401,0,0,0,0,0.0363938779594224,0,0,0,0,0.00854434427599214,0,0,0,0.0154812872404748,0,0,0,0,0,0,0,0,0,0,0.00179798593424365,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0846223751851929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364941058414249,0.245006594198557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138667931551416,0,0,-6.93889390390723e-18,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0617811106193883,0,0,0,0,0,0,0,0,0,0,0,0.054515599673517,0,0,0,0,0.0956062099436566,0,0.0156098194986613,0,0,0,0,0.00247328233451962,0,0,0,0.295940795774522,0,0,0,0,0,0.00771160914682032,0,0,0.178805775546576,0,0,0.371552069223527,0,0,0.033330258959593
X16.HK.EQUITY,0,0,0,0,0.0758096774791485,0,0,0,0,0,0,0,0,0,0.356051999377571,0,0,0,0,0,0.217973357545941,0,0,0,0,0,0,0,0.112727118459052,-0.0487945352610192,0,0.0029724200631365,0,-0.130346825843015,0,0.194903921216648,0,0.153558276403827,0,0,0,0,0.0171829542174967,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.283884906541394,0,0,0.110861526854998,0,0,0,0,0,0,6.93889390390723e-18,0.0950696455879847,0,0,0,0,0,0,0,0,-0.0245603796216146,0.0500835604757557,0,0.314905378325415,0,0,0,0.00708182995228877,0,0.0763143534947031,0,0,0,0,0,0,0,0.0958802588487104,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.0258680998936864,0,0.113079414948307,0,0,0.0615769399137476,0.0803420407608621,0,0.104819486898085,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.374562960117885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491754752666595,0,0,0,0,0.105046989003698,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.107069251037203,0,0,0,0,0,0,0.203169771299688,0,0.213473866050058,0,0,0,0,0.0560846295536285,0,0,0,0,0,0,0,0,0,0,0,0,0.0854548297187184,0,0,0,0,0,0,0,0,0,0,0,0.174156379359519,0,0.142889995005548,0,0,0.00409499032238138,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.235537428042513,0,0.106473001560476,0,0,0,0,0,0,0.168960171787124,0,0,0,0,0,0,0.0231040492857056,0,0,0,0,0,0,0,0.270049665988051,0,0.0224238887198462,0,0,0,0,0,0.0763837051542895,0,0,0,0.0280949868059019,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.101520895878047,0.301913210315443,0,0.0460321990875088,0,0,0,0,0,0,0,0,0,0.218075569661877,0,0,0,0,0.536569994135975,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.230002142481152,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.180049990587323,0.233115411643829,0,0,0,0,0,0,0.196559697130636,0.096074316431587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49401436904328,-0.0918012501286323,0,0,-0.0242629093263588,0,0.13061101388406,0.0572058201204303,0.203130765096695,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.030223345910361,0,0,0.0495265571582153,0,0,0,0,0,0,0.345698583641588,0,0,0,0,0,0,0,0.300799381634977,0,0,0,0,0,0,0,0,0,0,0.0201649660068196,0,0.237231653167012,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0
X601998.CH.EQUITY,0,0.167741085121609,0,0,0.141625542744011,0,0,0.0191495806317478,0.0580571656484215,0,0.136114628152795,0,0.0571529456266821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434383516211121,0,0,0.0131608356817483,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.150845776322188,-0.014312650556947,0,0,-0.264385328084178,0,-0.0454573228349585,0,0,0,0,0,0,0.0391343653580111,0,0.127095693445278,0,0,0,0,0.478687775983514,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.136699711645636,0,-0.154001520154861,0,0,0.167990909561085,0,0,0,0.189372240488842,0,0,0.166229924217694
X1109.HK.EQUITY,0,0,0,0,0,0,0.077165656442302,0,0,-0.0392670374264513,0,0,0,0.221319002883729,0,0.133565377331459,-0.142206265467612,0,0,0,0,0.309329778260537,0,0,0,0,0.21124899369893,0,0,0,0,0,0,0,0,0.236381000076954,0.173824795878859,0,0,0,0,0,0,0,-0.1625502535963,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0633959798704707,0.0779200591439485,0,0,0.110234224664484,0,0,0.135654143236382,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.267462500314318,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0397150676610648,0,0,0,0,0,0,0,0.173327475580199,0,0,0,0.000365564876236408,0
X600048.CH.EQUITY,0,0,0,0,0,0.200670463125051,0,0,0,-0.0213941392222895,0,0,0,0.46741450429314,0,0,0,0,0.237346555026088,0,0,0,0.0218958973419309,0,0,0,0,0,0,0,0.00725525925230264,0,-0.0506405567479037,0,0,0,0.132973822194687,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0.0795013301259961,0,0,0.0838031074805924,0,0,0,0,0.00552314962951124,0,0.240963151848186,0,0,0,0,0.0330696821089033,0,0,0,0,0,-0.00853211563881672,0,0,0.32492554686656,0,0,0,0.149756728397871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818349002213993,0,0
