,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.216788533201056,0.0229758075454847,0,0,0.401152564955032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197230812196219,0,0.0560594495642783,0,0,0.0445084470424092,0,0,0.0640947908365666,0.0251536686307491,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838686909620549,0.0497487944237515,0
X601318.CH.EQUITY,0,0,0,0,0,0.0518176710559677,0,0,0.234020485313161,0,0,0,0.263189747203577,0,0,0.0479434912431025,0.026417845488417,0,0,0.193886483476636,0,0.0230093014645107,0,0,0,0,0.0413094059832448,0,0,0,0,0.093468488967921,0,0,0,0,0.200693023937146,0.0146366921159607,0,0,0,0,0,-0.0529311908294492,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0287518015392391,0,0,0,0.15677325677473,0,0,0,0,0,0,0.0813432776988759,0,0.0276576161586757,0,0,0,0,0,0,0,0,0,0.0512213706364303,0.297256320677785,0,0,0.0679454076118516,0,0,0,0,0,0,0,0,-0.145545759945002,0,0,0.0728889091728439,0,-0.0560103833660194,0,0,0,0,0,0,0.152410297134359
X601939.CH.EQUITY,0.623266502743257,0.0188837473252062,0,0,0,0,0,0,0.104847663993792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184372323370357,0,0,0,0,0,0,0,0,0.148480389336688,0,0,0,0,0,0,0,0,0,0,0,0.129084481013917
X601288.CH.EQUITY,0,0,0,0.0755910946318826,0,0,0,0.393431304668228,0,0,0.0783064680090914,4.33680868994202e-19,0.0109441537065145,0,0,0,0,0,0.0961520576701319,0,0,0,0.0194892324379612,0,0.180187484792863,0,0,0,0.02177640571784,0,0,0,0.176687363350661,0,0,-0.0140245869676173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0654319982097737,0.229683464193191,0,0,0,0,0,0.0821655153165197,0,0,0,-0.195681167173208,0.136219618030618,0,0,0,0,0,0,0.0252937016162622,0,0,0.168098767201567,0,0.0095387476618882,1.0842021724855e-19,0,0,0,0.121254092359416,0,0,0.158472668169009,-4.33680868994202e-19,0,0,0,0,0,0.186431143046135,0,0
X601628.CH.EQUITY,0,0,-0.141296844731956,0,0,0,0,0,0,0.0958607234655857,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0492788238186418,0.0977896573945188,0,0,0,-0.0421982737384222,0,-0.0823695609979341,0,0,0.368278443654649,0,0,-0.000527718780289725,0.3667052681137,0,0,0,0,0.0456852440458223,0,0,0,0,0,0
X601988.CH.EQUITY,0.145360114173758,0,0,0,0.415482127934226,0,0,0,-0.0151594123391191,0,0,0.0417333458037741,-0.0936707867481184,0,0,0,0,0.167920165190458,0,0.0585952089136425,0,0,0,0,0.0948563195132844,0,0,0,0,0,0,0,-0.187887253077579,0,0,0,0,0,0,0,0.0388485028847374,0,0,0,0,0,0,0,0.0785873192678165,0
X5.HK.EQUITY,0,0.181952738452664,0,0.0187296244936819,0,0,0,0,0,-0.149497191733306,0.0609266376693465,0.0905416462859385,0,0,0,0,0,0,0,0,0,0,0,0.312375862711544,0,0,0,0.133069270292001,0,0,0,0,0.112120899218674,0.0123989485127508,0,0,0,0.20306332125841,0,0,0,0,0.140737077799852,0,0,0,0.0810980944398478,0,0,0
X388.HK.EQUITY,0,0,0,-0.171756607121145,0,0,0,0,0,0,0,0,0,0,-0.0350943352896171,0,0.18877740070311,0,0,-0.100090480944473,0,0,0,-0.146620843270109,0,0,0.0186351626526047,0,0,0,0,0,-0.0555150625061999,-0.261364882443298,0,-0.180590772537991,0,0,0.442459054001432,0.17311908172949,0.349725599794551,-0.209002428929827,0,0,0.196619136427476,0,0,0,0,0
