,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0,0.307102789968755,0.288344144935218,0,0.0590386062114363,0,-0.080465670631815,0,0,0.0520355222758005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122074778296088,-0.0178461518173765,0,0,0.0619245317034685,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,-0.031114213172035,0,0,-0.117472346921337
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.201918179867631,0,0,0.268957311239905,-0.00207734669224187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601567947993968,0,-0.00964563335748417,0,0,0,0,-0.257311347195737,0.274494571106985,0,0,0.201544822061743,0,0,0,0,0,0.0623065714746424
X601939.CH.EQUITY,0.460124959539565,0,0,0.0444955732434567,0.101926509453238,0,0,0.0423032114952753,0,0,0,0,-0.00209794020782369,0.148301435972176,0,0,0,0,0,0.135858498389705,0.0322821820759739,0,0.0124051151319797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300714369335548,0,0,0,0,0,0,-0.136967879541844,0,0,0
X601288.CH.EQUITY,0.441095902464904,0.0708286506431192,0.0438107580794655,0,0.0598587516258954,0,0,0,0,0,0,0,0,0,0,0,0.00721030087918492,0,0,0.0532545517198828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703857065539165,0,-0.0384228884362053,0,0.133635062330703,0.133334103338626,0.0242869695399256,0,0,0.0701372492748496,0.157297351404136,0,0,0,0,0
X5.HK.EQUITY,-0.0841665501674629,-0.315597449667825,0,0.14876460056126,0,0,0.108771888993038,0,-0.215137101401609,0,0.226255555216927,0.057131269572363,0,0,0,0.214344721433316,0,0.506445608800642,0,0,0,-0.240449648159418,0.383470658702301,0,0,0,0,0,-0.128814191546818,0,0,0,0,0,0,-0.0478002928672216,-1.73472347597681e-18,0,0,0,0.160137653667836,0,0,0,0,0,0,0,0.19901167368007
X601988.CH.EQUITY,0,0,0.092774599738555,0.112754337546848,0,0,-0.0948313173813882,0.0731038152313483,0,0.199044200574866,0.175481606146909,0,0,0,0,-0.145401047725337,0,0,0,0,0,0,0,0.536466943880089,0,0.022369337794969,0,-0.124658125926806,0,-0.0336924885629235,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718718763735351,0
X600036.CH.EQUITY,0,0.23026719254837,0,0,0,0,0,0,0,0,0,0.0684783233805867,0,0.0871878938520408,0.0603659397983178,0,0,0,0.0255631013402864,0.0189075283163028,0,0,0.118411973991533,0,0,-0.00905321406506165,0,0,0,0,0,0.329404976889186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116252655019986,0.118678572250821,0
X601628.CH.EQUITY,0,0.021571445703501,0,0.523871842049084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755072715523894,0,0,0,0.0450917635996931,0,0,0,0,0,-0.0415135757013498,0,0.117466070519865,0,0,0,0,0,0,0.0510762574870973,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294984547798945,0,0,0.00774820013361226,0.010625364043377,0.167346322345646,0.114607483909834,0,0.179935346048953,0,0,0,0,0,0,0.410874959333046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637457494991548,0,0,0
X601166.CH.EQUITY,0.036491509232126,0,0,0,0,0.108471266143367,0,0,0,0,0,0,0,0,0.267207570139957,0,0,0,0,0,0,0,0,0,0,0.0461242757887853,0,0,0,0,0,0.538845034953365,0,0.215214064040972,0,-0.0567564271297815,0,0,0,0.172198817458921,0,0,-0.180064483165503,0,0,0,-0.0149914823565773,0,0
X601328.CH.EQUITY,0,0,0.0578536617582793,0,0,0.110542801432325,0,0,0,0,0,0.363346238817007,0.100359577397743,0,0,0,0,0,0,-0.0328214675218224,0.222529864763198,0.137040674805024,0,0,0.104732973910648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174221151482056,0,0,0,0.0188003403992383,0,0
X600000.CH.EQUITY,0,0.0935673466015448,0,0,0,0.0425523977971573,0.160252507484675,0,0,0,0.266766680373604,0,0,0.200178928616891,0,0,0,0,-0.0305268741610424,0,0,0,0,0.101106604461024,0,0,0,0.220431517076955,0,0,0,0.00339466352538177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693216256160622,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.233693291440682,0,0,0.0442516117953174,0,0,0,0,0,0,0,0,-0.0714914168538404,0,0,0,0.0842518259944202,0.0647554256937182,0,0,0,0,0,0.128355616596208,0,0,0.0384191607444998,0,0.26449574312608,0,0,0,0,-0.0197385873213592,0,0,0.090261393746138,0,0,0,0,0
