,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.247876590066721,0,0,0,0,0,0,0,0.323379204398684,-0.236968092103353,-0.0967924026647564,0,0,0,0,0,-0.240259502485499,0,0,0,0,0,-0.0209493784332538,0,0,0.908393248963618,0,0,0,0,-0.136248727938334,0,0,0.0644229515337002,0,0,-0.0237159450937674,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0404556779092784,0,0.191252649108022,0,0,0,0,0.0301398162336776,0.0275190606534277,0,0,0,0.0859431821351869,0,0,0,0.0714373894936293,0,0,0,0.0654625442725856,0,0,0,0,0,0.0181514328984162,0,0.169586405104575,0,0.223675528369667,0,0,0.00282364205168955,0,0,0.0203921194567401,0,0,0,0,0,0
X601939.CH.EQUITY,0.20722348728908,0,0,0,0,0.0109967390815166,0,0,0,0.226470444123975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119528710562516,0,0,0,0,0,-0.144203820083665,0,-0.200683659132153,0,0,0.107171885893357,0,0,0.510316839493018,0,0,0,0,0,0.153647882207187,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.39695287581024,-3.46944695195361e-18,0.0551757500953287,0.419674467932084,0,0,0,0.457608107911859,-0.235832793595368,0.196421311321198,0,0,-0.305018777626763,0,0,0,0,0,0,0,0,0,0,0,-0.438353720998563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424898482903325,0,0
X5.HK.EQUITY,0,0,0,0,0,0.102964559908062,0,0.206249703024995,0,0,0,0,0,0,0.165951880208985,0,0,0.11830740608519,0,0,0,0,0,0,0.052833502794219,0,0,0,0,0,0,0,0,0,0,0,0.14859082138351,0,0,0,0,0,0,0,0,0,0,0.131294556479714,0
X601988.CH.EQUITY,-0.126135150543015,0,0,0,0.637538353426735,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0895771508238823,0,0,0,0,-0.181848284186967,0,0,-0.168940983152753,0,0.307828386738945,0,0,0,0,-0.297831864597882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187104095618365,0,0,-0.0464399021754736
X600036.CH.EQUITY,0,0.31201473565957,-0.0428818338211965,0,0,0,0,-0.168898577621916,0,0.585489610960582,0,6.93889390390723e-18,0,0,0,0.119292805713699,0,0,0,0.32929406538601,0,0,0,0,0,0,0,0.105817552391357,0,0,0,0,0,-0.115537654348494,0,0,0,0,-0.0230819078760042,0,0,0,0,0,0,-0.0484812199231621,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.245675781949166,0,0,0,0.0627858480344548,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0473061593303598,0,0,0,0,0,0,0.214700266103339,0,0,0.0382277504120388,0,0.0535503911355109,0,0,0.102095713984259,0,0,0,0,0,0,0,0,-0.139557144377027,-0.0873682562589248,0,0.0307787943047201,0,0,0.0768270770449655
X601628.CH.EQUITY,0,0.168086443594578,0,0.0433527769290338,0,0,0,0,0,0,0,0,0,0.0506049860853793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00226152667359257,0,0.246247433040846,0.098577441010972,0,0,0,0,0,0.170048540022457,0,0.218126105341681,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.130478114571467,0.057732832946497,0,0,0.652770810865478,0,0,0,0,0,0,0,0,0,0,0,0,0.248334930657189,0,0,0,0,0,0.265259170491986,0,0,0,-0.0188134047567541,0,0,0,0,0,0,-0.09693448654436,0,0,0,0,0.0147492780406893,0,0,0,-0.479320925141749,0,0,0
X601166.CH.EQUITY,0.0727289384097742,0.215169434810837,0,0.249157752870258,0,0,0,0,0.115666283897729,0,0,-0.126998835074256,0.300410336155486,0,0.0490160608224004,0,0,0,0,0,0,-0.07541242954215,0,0,0,0,0,0,0,0.0343209914731991,0,0,0.217471974453189,0,0,0,0,0,0,0,-0.251948616495487,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0395812062865859,0,0,0,0.292980071383215,0,0,0,0,-0.159181697369176,0,0.192183287067915,0,0.134698129662738,0,0,-0.0506202333078585,0,0,0,0,-0.0375620121793107,0,0,0,0.31036222891389,0,0,0,0,0,0,0,0,0,0.0853541507756883,0,0,-0.103721624232864,0
X600000.CH.EQUITY,0,0,0.374440664635846,0,0,0,0.12688375084413,0,0,0.0172023019355208,0.616667348522195,-0.123398722313797,0,0.00779103392165188,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.288067816706059,0,0,0,-0.0412200933114642,-0.0678469279792306,0,0,-0.146372786987824,0,-0.147362050838771,0,-0.205410769523261,0,0,0,0,0,-0.00609808122874979,0,0,0,0,-0.0193701859983146
X601601.CH.EQUITY,0,0.0733594743097953,0,0,-0.0458943310458844,0,0,0,0.605687885860734,0,0,0.0239351154606861,0,0,0,0,0,0,0,-0.037637668870508,0.0548406890441147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272872051785777,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0565586318648203,0,0,0,0,0,-8.67361737988404e-19,0.0589233993594333,0.172283581777479,0,0,0.0764261263811429,-0.00516525465305358,0,-0.121597918481469,0,0,0,0,0.0998300846571401,0,0.263986623240154,0,0,0,0,0,0.226522601162225,0.462470600457386,0,0,0,0,0,0,0,0,0,0.205368094171261,0,0,0.0574535602013576,0,0
X11.HK.EQUITY,0,0,0.0439221392607798,0,0.148569149858627,0.0555552009662746,0,0,0,0,0,0,0,0,0,0,0,0,0.428439386908264,0,0,0,0,0,0.000408971963330076,0,0,0,0,0.421052209598142,0,0,0,0,0,0,0.098801606132848,0,0,0,0,0,0.0322937536432496,0,0.0677909221397645,0,0,0,0.0365426876830125
X16.HK.EQUITY,0.0424292964301768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105304992485713,0.299827213353117,0,0,0,0.171405632520014,0,0,0.283115098031613,0,-0.129076701636866,0,0,0,0.573187354336688,0,0,0,0,0,0,0.0283221764661716,0,-0.0409066283006637,0.0908188254393602
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00293236699667012,0,0,0,0,0,0,0,0,0.718106968553362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785456549484159,0,0,0,0,0,0,0.0135334876686873,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.271445909025215,0,-0.0609434230983996,0,-0.290605755736235,0,0,0,0,0,0,0,0,0,0,0,0.627538390842817,0,0,0,0,0.323202084037502,0,0,0,0,0,0,-0.366642606904619,0,0,0.212577689783629,-0.238144545009791,0,0,0,0,0,0,-0.0535021493662778,0,0,0,0,0,0,0,0.0481255794062845
X267.HK.EQUITY,0,0,0,0,0.00424060970207038,0,0,0,-0.0523350138832698,0,0,0,0,0,0,0,0.190382144258273,0,0,0,0,0,0,0.369998246686993,0,0.0942235274534761,0,0,0.0117635123892709,0,0,0,0,0,0,0,0.0455099987803294,0,0,-0.284390506365962,0.0490104388815936,0,0,0,0,-0.166485266640224,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0219692526816328,0.238998194251803,0.136854772979416,0,0,0,0.202158432613983,0,0,0.100907617445057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254006865691717,0,0,0,0,0.0394841447313691,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.230224770651778,0,0,0,0,0,0,0,0,0,0,0,0,0.00790524373944454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395784817989763,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211827380407528,0.0155722818335282,0,0,0,0,0.152253070977889,0,0,0,0,0.175305912251716,0,0,0.213981858579083,0,0,0,0,0,0.300421623528667,0,0,0,0,0,0,0,0,-0.142671340919725,0,0,0,0,0
X600030.CH.EQUITY,0.062219369265817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421654285207746,0,0,0,0,0,0,0,0,0,0,0.0980955939250983,0,0.383879443466503,0,0,0,0,-1.73472347597681e-18,0,0,0,0.451396827579408,0,0
X000001.CH.EQUITY,0,0.182418254805102,0,0,0,0.155024760885071,0,0,0.120778686836425,0,0.136863185333646,0,0,0,0,0,0,0,0,0,0,0,0.0414023196499553,0.034453052349109,0,0,0.0739627645925423,0,0,0,0.0176939821271536,0,0,0.00943390049786707,0,0.0362817032022924,0,0,0,0,0,0,0,0,0,0.0925868490516597,0,0,0
