,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.171137455293551,0,0.18774457356374,0,0,0,0,0.220155421723722,0.0141542484574719,0,0,0,0,0,0,0,-0.0229054813099839,0.300075117339369,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616130041557452,0,0,0
X601939.CH.EQUITY,0.485076398331425,0,0,0,0,0,-0.0489410272075946,0,0,0.016251153354146,0.192023373102076,0,0.229702182398562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150525544383964
X601318.CH.EQUITY,0,0,0,0.0321213818926957,0,0,0,0,0,0,0,0.200559640592704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129679713648815,0,0.129161941660656,0,0.126923969560266,0.207894405275204,0,0,0
X601288.CH.EQUITY,0.38536856010816,0.10896933306743,0.0844730947296385,0,0.130258044138761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0.0554196386447637,0.0290111631358455,0,0,0,0,0,0,0,0,0.0912719270521757,0,0.0219515346014534,0.00617750696315496,0,0,0,0,0,0,0,0.0493901065225062,0.00194096105415279,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.248859532528961,0,0,0,0,0,0,0.272272261774761,0.319472313841823,0,0.0792003754739817,0.063744738679438,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0160071237481902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0211413813980339,0,0,0,3.46944695195361e-18,0,0,0,0,0.409110836577631,0,0,0,0,0,0,0,0,0,0,0.0525329051901814,0.121981815693567,0,0,0,0,0,0,0,0,0,0,0,0.0842579929057074,0,0,0,0.0583539278655333,0,0,0,0,0,0,0,0,0,0.261039941330605
X1299.HK.EQUITY,0,0,0,0,0,0.0877600594556086,0,0,0,0,0,0,0,0,0,0,0,0.162497098862323,0,0,0,0,0.108839215231967,0,0,0,0,0,0.108000164957437,0,0,0.0772373275500631,0,0,0.221767790917182,0,0,0,0,0,0,0,0,0.00909374701867537,0,0,0,0.17600856883933,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00687442734657125,0.338048406096616,0,0,0,-0.23940357521056,0,0,0,0.927211435969361,3.46944695195361e-18,-0.790699202130817,0,0.624554537507372,-0.00903034292806552,0,0,0,0,0,0,0,0,0,0,0,0,0.293596218616625,0,0,0,0,0,-0.237269559728122,0,0,-4.33680868994202e-19
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785699540376721,0.28418234839203,6.93889390390723e-18,0,0,0,0.302161093784325,0,0,0.0380002572944291,0,0,0,0,0,0,0,0.044437784711224,0,0,0,0.0958790370412898,0,0,0,0,0,0,0,0,0.0295194255446447
X601658.CH.Equity,0,0,0,0.232757763595139,0,0,0,0.0955240131026317,0,0,0,0,0,0,-0.151657028931072,0,-0.0912022195201235,0,0,0,0,0,6.93889390390723e-18,0.00964546484092071,0,0,0,0,0.848224701957069,0,0,0,-0.17609530233469,0,0,0,0,-0.0296180350983767,0,0,-0.216548233511479,0,0,0,0,0.769467058351731,0,0,0,-0.1444067467942
