,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.123310559510623,0,0,0,-0.18759136794183,0.251897328364127,0,0,0.0923328824907861,0,0,0,0.273956971482906,0,0,-0.126314372438221,0,0,0,0,-0.136115264960535,0,-0.194820410975892,0,0,0,-0.223819374054491,0,0,0.82380104387406,0,-0.0510998426414748,-0.0807778063343251,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0501972751561188,0,0.157396556644288,-4.33680868994202e-19,0,0,0,0.12065150236583,0,0,0,0,0.0966223361598047,0,0,0.140140491073551,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0597746125715155,0,0.00629008371325914,0.0976039945728225,0,0.241986284690604,0,0,0,0,0,0,0.0204107887700646,0,0,0,0,-0.0310447569988423
X601939.CH.EQUITY,0.179045157010403,0,0,0,0,0.0774504730809165,0,0,0,0.24646844570431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154026512387844,0,0,0,0,0,-0.0191287341598709,-0.154283996956033,-0.215868063648096,0,0,0.0886221764468984,0,0,0,0.516609531516154,0,0,0,0,0.181604658463316,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.836078649837509,0,0.139557923023968,0.264172154600294,0,0,0,0.411634670897566,-0.00246303864595165,0.3389615470875,0,0,-0.567314851356918,0,0,0,0,0,0,0,0,0,0,0,0,-0.450242282041049,0,0,0,0,0,0.0649560370091446,0,0,0,0,0,0,0,0.619683122558549,0,0
X5.HK.EQUITY,0,0,0,0,0,0.147230636425429,0,0.213162654971417,0,0,0.0226999928689682,0,-0.0132993838203875,0,0.10303842460741,0.0569635644271785,0,0.0104328968626666,0.0432988288933764,0,0.0524810519444526,0,0,0,0,0,0,0,0,-0.0278798468830263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117556510728619,0,0,0,0.213003273424646,0
X601988.CH.EQUITY,-0.011396318545693,0,0,0,0.530937090171758,0,0,0,0,0,0,0,0,0,0.109256591823507,0,0,0,0,-0.123805153484578,0,-0.12072056395957,0,0,0.215057376530112,0,0,0,0,-0.354405947066826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109733906960583,0,0,0.0325842454826821
X600036.CH.EQUITY,0,0.320858710450689,-0.0454068912347582,0,0,0,0,-0.166276180322461,0,0.597287409086144,0,0,0,0,0,0.109470336761116,0,0,0,0.319857630319933,0,0,0,0,0,0,0,0.102571061250529,0,0,0,0,0,-0.123442238524693,0,0,0,0,0,0,0,0,0,0,0,-0.0517141543222331,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.215554787015494,0,0,0,0,0,0,0,0,0,0,0,0,0.0409550810196349,0.0624941743464786,0,0,0,0,0,0,0.25737559499021,0,0,0,0.0693627163575184,0.0706392946132101,0,0,0.0867347797647135,0,0,0,0,0,0,0,0,-0.117131879630238,-0.0828751129114069,0,0,0,0,0
X601628.CH.EQUITY,0,0.247417798597933,0,0.0786519341626564,0,0,0,0,0,0,0,0,0,0.207356881279212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130883437589663,3.46944695195361e-18,0,0.0940793972966629,0,0,0,0.174161136645885,0.1833907625081,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.237199756779293,0.0370792211688362,0,0,0.619272815201261,0,0,0,0,0,0,0,0,-0.0616229344026195,0,0,0,0.249478167780303,0,0,0,0,0,0.301708901267932,0,0,0,0,0,0,0,0,0,0,-0.0495335011188531,0,0,0,0,0,0,0,0,-0.505911133470191,0,0,-0.0602749828461519
