,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.347816149785504,0.0821851704838467,0,0,0,0.128448762428347,0,0,0,0,0,0,0.263218663527912,0,0,0,-0.0310728867727747,0,0,0,0,0.0367090718633318,0,0,0,0.0763795343566179,0,0,0,0,0,0,0,0.0132194279968197,0,0,0,0,0,0,0,0,0,0,0.0199960548237156,0.0358356542141562,0
X601939.CH.EQUITY,0.0414969248194015,0,0,0.0546133802122445,0,0,0,0,0,0,0,0.0473975386805695,0,0.193010134657575,0,0.405977704043095,0,0,0,0,0,0,0,0,0,0,0,0,0.000817938496119712,0,0,0,0,0.106885221353957,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.136904305930662,0,0,0
X601318.CH.EQUITY,0.0486136538135002,0,0,0,0,0,0.164205039749672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120749396216597,0,0,0,0,0,0,0,0,0.131921166047403,0,0.076147991578191,0.0272632991382138,0,0,0,0,0.119788971942488,0.033948696188245,0.259302155934028,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.376354959845701,0,0,0,0.402395246852761,0,0,0,0,0,0.0635984384528456,0,0,0,0,0.00349332820706183,0.0712683267384874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360112284857683,0,0,0,0,0,0,0,0,0,0,0,0.000161581850357217,0,0,0,0,0,0,0.0232625853895196
X601988.CH.EQUITY,0,0,0,0.226754892583999,0,0,0,0,0,0,0.0919319226442255,0,0,0.187744137741226,0,0,0,0,0,0,0.10422375765485,0,0,0,0,0.0232076557179907,0,0,0,0.0954503973671636,0,0,0,0,0.108303715612875,0,0,0.093655613752774,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.291232524364694,0,0,0,0.216366656984657,0,0,0.532906403664456,0,0,0,0,0,0.725777901289634,-0.534770662735043,0,0,0,0,0.0612824608966665,0,0,0,0,0,0,0.0841749362152729,0,0,0,0.179310369259422,0,0,0,0,0,0,-0.150330285223731
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042
X1299.HK.EQUITY,0,0,0,0,0,0.145619640434777,0.174103935994227,0,0.00300906644597663,0,0,0,0,0,0,0,0.27951701144532,0,0,0.266607379671785,0,0,0.217162821668867,0,0,0,0,0,0,0.143542929410472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0678273821924522,0,0,0,0,0,0.0825335943287572,0,0,0,-0.132049018989666,0,0,0,0,0,0,0,0,0,0,0,0.102802346907483,0,0,0,0,0.135377256360169,0,-0.347358644543067,0,0,-0.0805491567084567,0,0.236022108651654,-0.213339769643593,-0.111323995093088,0,0,0,1.33169571552962,0,0,0
