,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.238154731776138,0.0834179701003215,0,0,0.240456868825483,0,0,0.0333359976362039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131385987898233,0,0,0,0.0692604217052848,0.0146648014925616,0,0,0.0535503623412391,0.0867541008040962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.216289288860574,0,0,0,0,0.0541998108440956,-0.0319614129622278,0,0,0.250273280667117,0,0.108597012492147,0,0,0,0,0.137587083698783,0,0,0.0571431104170803,0,0,0,0,0.0622279826215059,0.151631613969442,0,0,0.0224227362523008,0,0,0,0,0,0,0,0,0.103474580107794,0,0,-0.174554183675441,0,0,0.0484691336118644,0,0,0.0943871980894743
X600036.CH.EQUITY,0,0.084290226236831,0,0,0,0.127771923021645,0,0,0,0,0,0,0.141472546916916,0,0,0,0,0,0,0,0,0,0,0,0.120709866212184,0,0,0.0596152162147126,0,0,0,0,0.119226677772234,0,0,0,0,0,-0.0750407440385639,0,0.0254375459698168,0,-0.0438097957941169,0,0,0,0,0,-0.0581936712428985,0.384102186620214
X601939.CH.EQUITY,0.62252287512475,0.163126034085205,0,0,0,0,0,0,0,0,0.0637266203793986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10391683486511,0,0,0,0,0.0109070866538192,0,0,0,0,0,0.177392718494288,0,0,0,0,0,0,0,0,0,0,0.094898604625221
X601288.CH.EQUITY,0,0,0,0.135850549250298,0,0,0,0.445457061876079,0,0,0,0,0.0275485931627292,0,0,0.031304385232265,0,0,0,0,0,0,0.0115735328730816,0,0.0566277912232047,0,0,0.0800404684247544,0,0,0,0,0.124175021774187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.075048879300298,0,0,-0.0797158737382864,0,0,0,0,0,0,0,0,0,0,0.0744167040945743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106196032746431,0.102219475386655,0.150341330158345,0,0.184547125621206,0,0,0.0424311081928769,0,0.196257691178213,0,0
X601628.CH.EQUITY,0,0,-0.137434478170764,0,0,0,0,0,0,0.095271339201441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490910252943214,0.104142618507932,0,0,0,-0.040899536907559,0,-0.0797491704973094,0,0,0.381832052647248,6.93889390390723e-18,0,0.395459923777293,0,0,0,0,0,0.0445373329767582,0,0,0,0,0,0
X601988.CH.EQUITY,0.0376268558111023,0,0,0,0.543372988122697,0,0,0,0,0,0,0,-0.111636887875543,0,0.0304182520530395,0,0,0.214232626295544,0,0.0303369648761729,0,0,0,0,0,0,0,0,0,0,0,0,-0.150109501377543,-4.33680868994202e-19,0,0.0192090592510833,0,0,0,0,0.067613026642627,0,0,0,0,0.0496733682755246,0,0,0,0
X5.HK.EQUITY,0,0.188995193610915,0,0,0,0,-0.00274682844669077,0,0,-0.147362312492523,0.0559611660798268,0.110063432886642,0,0,0,0,0,0,0,0,0,0,0,0.315967066614283,0,0,0.137878166772913,0,0,0,0,0,0.123962668378968,0.018242028100642,0,0,0,0,0.210422344239917,0,0,0,0.127459656388951,0,0,0,0.0611395181801899,0,0,0
X388.HK.EQUITY,0,0,0,-0.191489253257778,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0865283589628794,0,0,0,0,0,0,0,0,0,0,0,0.0890721123715548,0,0,0,-0.189017134704574,-0.157358802545517,0,0,-0.136745819034071,0.236238812947904,0,0,0.164712761704648,0.020860220934882,0,0,0.264181505081236,0,0,0,0,0
